Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
20.000000000000004E+0	317.270143195914510E-3	21.135427918133988E+0
21.000000000000004E+0	66.267874919698766E-3	23.516985342297310E+0
22.000000000000004E+0	128.441834195676010E-3	26.402105787639304E+0
23.000000000000004E+0	91.430728042697543E-3	25.961876205322266E+0
24.000000000000004E+0	122.515871221934290E-3	27.535636074589664E+0
25.000000000000004E+0	219.385090668246550E-3	28.538613639256674E+0
26.000000000000004E+0	105.681446642886210E-3	25.516990624162339E+0
27.000000000000004E+0	199.064915529274300E-3	27.823366174601677E+0
28.000000000000004E+0	126.203248163812590E-3	27.407029192108141E+0
29.000000000000004E+0	51.439581942169396E-3	27.781125453294827E+0
30.000000000000004E+0	797.059932727022470E-3	29.165816877292450E+0
31.000000000000004E+0	116.003548422340920E-3	32.216250240300482E+0
32.000000000000007E+0	88.534101772394694E-3	33.697557297996077E+0
33.000000000000007E+0	137.235849635836400E-3	36.201771256377746E+0
34.000000000000007E+0	124.092986243024300E-3	33.986408714222115E+0
35.000000000000007E+0	83.751600744742472E-3	35.068723784446782E+0
36.000000000000007E+0	368.503206418212440E-3	36.649668629898301E+0
37.000000000000007E+0	82.384046867070557E-3	36.347740645772951E+0
38.000000000000007E+0	92.376981232447974E-3	35.655572473106147E+0
39.000000000000007E+0	315.309202024889380E-3	38.336062052579294E+0
40.000000000000007E+0	9.227698547209222E-3	36.313405180941899E+0
41.000000000000007E+0	189.279540201473220E-3	37.786588240519784E+0
42.000000000000007E+0	351.408557859569870E-3	36.171543203872019E+0
43.000000000000007E+0	189.545312853477250E-3	33.931330829312046E+0
44.000000000000007E+0	42.402583589123757E-3	36.482024562414075E+0
45.000000000000007E+0	145.703055924785220E-3	35.998361988620310E+0
46.000000000000007E+0	69.750231002194657E-3	32.904828244685753E+0
47.000000000000007E+0	41.154915009717505E-3	36.040091752001551E+0
48.000000000000007E+0	72.652397422556109E-3	34.326849496987961E+0
49.000000000000007E+0	24.907182717325949E-3	34.439113636454202E+0
50.000000000000007E+0	125.820492371645530E-3	36.376831944149941E+0
51.000000000000007E+0	238.958228367042640E-3	34.640646320062906E+0
52.000000000000007E+0	305.409726561986230E-3	37.702725598331916E+0
53.000000000000007E+0	325.088160534425690E-3	34.728884831177602E+0
54.000000000000007E+0	99.999618345691738E-3	35.363421033899911E+0
55.000000000000007E+0	129.611549177970020E-3	32.609484840705548E+0
56.000000000000007E+0	419.689733252967600E-3	35.045901469173394E+0
57.000000000000007E+0	82.872019078019055E-3	34.295338832206305E+0
58.000000000000007E+0	100.622144809836780E-3	32.252206712672681E+0
59.000000000000007E+0	1.208446951774929E+0	35.220951079368504E+0
60.000000000000007E+0	66.515728659951520E-3	36.661620566277527E+0
61.000000000000007E+0	130.220102373479470E-3	33.990445517574095E+0
62.000000000000007E+0	72.346025688190568E-3	31.545272295761627E+0
63.000000000000007E+0	57.116494043091298E-3	29.797861720649546E+0
64.000000000000014E+0	222.608090795094220E-3	32.520908458322317E+0
65.000000000000014E+0	39.646462660004725E-3	30.754743205807159E+0
66.000000000000014E+0	40.501747739188701E-3	31.433196008128345E+0
67.000000000000014E+0	58.786373270254572E-3	28.364087540347857E+0
68.000000000000014E+0	6.163130917896919E-3	30.223122204122561E+0
69.000000000000014E+0	74.331654399620875E-3	32.579064990440408E+0
70.000000000000014E+0	88.532257551778501E-3	29.567183403058699E+0
71.000000000000014E+0	37.810449642482036E-3	31.789907363340674E+0
72.000000000000014E+0	212.629714102861410E-3	34.256181361416580E+0
73.000000000000014E+0	52.937714971025389E-3	33.031135137548766E+0
74.000000000000014E+0	33.491173372072393E-3	30.660808174500033E+0
75.000000000000014E+0	91.807002624240783E-3	33.435082957792453E+0
76.000000000000014E+0	40.237015095755266E-3	32.035311545343887E+0
