Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
123.000000000000010E+0	109.134548308352630E-12	1.814557164410135E-6
124.000000000000010E+0	157.032305822381550E-12	6.845559228620219E-6
125.000000000000010E+0	170.593122980471510E-12	6.829313668774775E-6
126.000000000000010E+0	191.683310752411770E-12	8.488328644927652E-6
127.000000000000010E+0	156.956749022779570E-12	2.599814661153379E-6
128.000000000000030E+0	92.669986552894559E-12	1.109781372601538E-6
129.000000000000030E+0	131.358038989831400E-12	3.923672620161242E-6
130.000000000000030E+0	100.762814170242640E-12	1.980277117657996E-6
131.000000000000030E+0	207.333102652076880E-12	2.654260062481929E-6
132.000000000000030E+0	411.117204389170940E-12	30.850319074858302E-6
133.000000000000030E+0	185.326953539823220E-12	13.728403457702717E-6
134.000000000000030E+0	99.709991169576457E-12	1.963738943467896E-6
135.000000000000030E+0	114.165274692059820E-12	4.118359473951252E-6
136.000000000000030E+0	50.918318121409094E-12	9.231546681751083E-6
137.000000000000030E+0	116.870266501038800E-12	3.787015778302300E-6
138.000000000000030E+0	64.708395498589938E-12	3.165847510277435E-6
139.000000000000030E+0	120.567703857851850E-12	17.153267561315168E-6
140.000000000000030E+0	154.796823324230710E-12	23.835887530386893E-6
141.000000000000030E+0	82.885515917787611E-12	2.349514568700598E-6
142.000000000000030E+0	198.436241697056010E-12	13.529051183406741E-6
143.000000000000030E+0	205.057942597304020E-12	24.859177824470013E-6
144.000000000000030E+0	93.566654010039737E-12	15.247443033642670E-6
145.000000000000030E+0	78.389345707134569E-12	8.994043562676536E-6
146.000000000000030E+0	93.896155051991213E-12	2.220433695183569E-6
147.000000000000030E+0	23.558717649313875E-12	7.558695573955808E-6
148.000000000000030E+0	57.141478653773179E-12	11.383290042190145E-6
149.000000000000030E+0	145.902603891513720E-12	35.981188090316481E-6
150.000000000000030E+0	148.209858050287470E-12	63.573837566498832E-6
151.000000000000030E+0	82.664339283954515E-12	15.386908871633598E-6
152.000000000000030E+0	64.306054616339918E-12	9.159341478450346E-6
153.000000000000030E+0	112.360101576277180E-12	4.384461640189634E-6
154.000000000000030E+0	87.053118330688936E-12	3.850826005056652E-6
155.000000000000030E+0	72.355824523033167E-12	37.996696663465530E-6
