Freq (Hz)	Coh_Microphone/Source
20.000000000000004E+0	597.525896648129830E-3
21.000000000000004E+0	21.305423078280577E-3
22.000000000000004E+0	8.402568242219008E-3
23.000000000000004E+0	40.709851826577860E-3
24.000000000000004E+0	94.824573717691429E-3
25.000000000000004E+0	64.266579335318666E-3
26.000000000000004E+0	172.202176598923030E-3
27.000000000000004E+0	411.958568914185200E-3
28.000000000000004E+0	76.017506249131242E-3
29.000000000000004E+0	60.606382887882324E-3
30.000000000000004E+0	258.567938827817030E-3
31.000000000000004E+0	38.317720613441707E-3
32.000000000000007E+0	730.819813105838540E-3
33.000000000000007E+0	114.510810960849780E-3
34.000000000000007E+0	233.049642590142820E-3
35.000000000000007E+0	436.887591155486750E-3
36.000000000000007E+0	658.904858045335160E-3
37.000000000000007E+0	420.540369905806790E-3
38.000000000000007E+0	296.946415498084480E-3
39.000000000000007E+0	578.061395950000390E-3
40.000000000000007E+0	11.234248602740887E-3
41.000000000000007E+0	277.459428026249570E-3
42.000000000000007E+0	470.753527587298100E-3
43.000000000000007E+0	497.842860022463200E-3
44.000000000000007E+0	63.540092058931227E-3
45.000000000000007E+0	64.214268927347912E-3
46.000000000000007E+0	137.181243586929460E-3
47.000000000000007E+0	69.427753163310499E-3
48.000000000000007E+0	38.476748521281384E-3
49.000000000000007E+0	1.792129439180343E-3
50.000000000000007E+0	64.843550022483223E-3
51.000000000000007E+0	355.064453043529850E-3
52.000000000000007E+0	325.704165306821170E-3
53.000000000000007E+0	89.836917698683280E-3
54.000000000000007E+0	96.957135386834661E-3
55.000000000000007E+0	581.685364327911180E-3
56.000000000000007E+0	137.413820172898130E-3
57.000000000000007E+0	36.835320791599804E-3
58.000000000000007E+0	68.276458392504222E-3
59.000000000000007E+0	189.295902604350340E-3
60.000000000000007E+0	57.740555651295725E-3
61.000000000000007E+0	431.115595833518440E-3
62.000000000000007E+0	128.418650479463100E-3
63.000000000000007E+0	165.085234825039530E-3
64.000000000000014E+0	317.762814988791660E-3
65.000000000000014E+0	469.155540641921720E-3
66.000000000000014E+0	239.203483544814470E-3
67.000000000000014E+0	420.129236304963570E-3
68.000000000000014E+0	11.330231910315024E-3
69.000000000000014E+0	293.592059137007480E-3
70.000000000000014E+0	280.693668999964010E-3
71.000000000000014E+0	585.680078473144180E-3
72.000000000000014E+0	244.714943398305180E-3
73.000000000000014E+0	119.874368297634220E-3
74.000000000000014E+0	125.991018808651960E-3
75.000000000000014E+0	423.992739029667890E-3
76.000000000000014E+0	192.003037393513040E-3
77.000000000000014E+0	234.007346491478470E-3
78.000000000000014E+0	471.877776929876370E-3
79.000000000000014E+0	177.878605716253500E-3
80.000000000000014E+0	146.304669056881910E-3
81.000000000000014E+0	212.108182410675140E-3
82.000000000000014E+0	389.569803713061550E-3
83.000000000000014E+0	277.252246131294510E-3
84.000000000000014E+0	108.366931947846910E-3
85.000000000000014E+0	46.472285166011207E-3
86.000000000000014E+0	276.749802142130190E-3
87.000000000000014E+0	305.453769246749270E-3
88.000000000000014E+0	136.210018999798090E-3
89.000000000000014E+0	203.185145185944470E-3
90.000000000000014E+0	484.533253259031350E-3
91.000000000000014E+0	26.091272229274567E-3
92.000000000000014E+0	211.814975532511020E-3
93.000000000000014E+0	268.226778024162780E-3
94.000000000000014E+0	136.989712272199000E-3
95.000000000000014E+0	49.305516888694743E-3
96.000000000000014E+0	175.419067466741270E-3
97.000000000000014E+0	497.981511332518610E-3
98.000000000000014E+0	385.958304707326450E-3
99.000000000000014E+0	432.694266755420830E-3
100.000000000000010E+0	70.005414362885168E-3
101.000000000000010E+0	18.603334950127944E-3
102.000000000000010E+0	172.747581670234960E-3
103.000000000000010E+0	124.272398993955810E-3
104.000000000000010E+0	37.571507694676987E-3
105.000000000000010E+0	377.567212817106030E-3
106.000000000000010E+0	295.316101295950540E-3
107.000000000000010E+0	481.067721757385550E-3
108.000000000000010E+0	387.828090183799490E-3
109.000000000000010E+0	127.159726847606990E-3
110.000000000000010E+0	272.595187496244950E-3
111.000000000000010E+0	303.319281890853330E-3
112.000000000000010E+0	114.435593311104300E-3
113.000000000000010E+0	236.424245728067610E-3
114.000000000000010E+0	196.567606604288130E-3
115.000000000000010E+0	52.788593637533562E-3
116.000000000000010E+0	182.255388304458120E-3
117.000000000000010E+0	44.896392414059565E-3
118.000000000000010E+0	9.995175030029653E-3
119.000000000000010E+0	166.612766149581430E-3
120.000000000000010E+0	315.384097307490780E-3
121.000000000000010E+0	26.908448563086187E-3
122.000000000000010E+0	43.352510960457447E-3
123.000000000000010E+0	26.488366987633252E-3
124.000000000000010E+0	260.781152978596160E-3
125.000000000000010E+0	480.655438021938330E-3
126.000000000000010E+0	477.484452139822270E-3
127.000000000000010E+0	528.334354548539160E-3
128.000000000000030E+0	274.000319923258410E-3
129.000000000000030E+0	692.547024418228460E-3
130.000000000000030E+0	348.931366323016470E-3
131.000000000000030E+0	269.397719959132590E-3
132.000000000000030E+0	458.091321435498240E-3
133.000000000000030E+0	196.666528483376460E-3
134.000000000000030E+0	283.488036825187860E-3
135.000000000000030E+0	387.326379129426470E-3
136.000000000000030E+0	150.942669490305600E-3
137.000000000000030E+0	1.382890156073935E-3
138.000000000000030E+0	217.893579838095510E-3
139.000000000000030E+0	539.813693114190250E-3
140.000000000000030E+0	239.685637880487880E-3
141.000000000000030E+0	116.483403396993810E-3
142.000000000000030E+0	134.419661106802150E-3
143.000000000000030E+0	146.690926044448250E-3
144.000000000000030E+0	55.569759525253871E-3
145.000000000000030E+0	373.164928487007440E-3
146.000000000000030E+0	638.815127764743030E-3
147.000000000000030E+0	125.404372753478040E-3
148.000000000000030E+0	133.627072514793830E-3
149.000000000000030E+0	7.391035905283398E-3
150.000000000000030E+0	49.351188570255777E-3
151.000000000000030E+0	20.600844867528292E-3
152.000000000000030E+0	69.966501672593953E-3
153.000000000000030E+0	470.699369836514780E-3
154.000000000000030E+0	529.802040557673550E-3
155.000000000000030E+0	416.183765756146630E-3
156.000000000000030E+0	491.047019195564870E-3
157.000000000000030E+0	714.662484677388690E-3
158.000000000000030E+0	533.343852494748030E-3
159.000000000000030E+0	323.919200076892180E-3
160.000000000000030E+0	27.486009138434211E-3
161.000000000000030E+0	292.371376761351220E-3
162.000000000000030E+0	315.772908839658140E-3
163.000000000000030E+0	288.893574456129450E-3
164.000000000000030E+0	117.501488865626670E-3
165.000000000000030E+0	189.775390450416970E-3
166.000000000000030E+0	30.263202941810650E-3
167.000000000000030E+0	302.928680160926060E-3
168.000000000000030E+0	631.158709122155210E-3
169.000000000000030E+0	427.761258641724820E-3
170.000000000000030E+0	268.832382137812410E-3
171.000000000000030E+0	125.186527941807350E-3
172.000000000000030E+0	283.655129556424970E-3
173.000000000000030E+0	357.192049173181090E-3
174.000000000000030E+0	250.158441995607160E-3
175.000000000000030E+0	762.527428928151060E-3
176.000000000000030E+0	565.756487102187180E-3
177.000000000000030E+0	317.625248814490830E-3
178.000000000000030E+0	897.546320519844620E-3
179.000000000000030E+0	885.576422280243800E-3
180.000000000000030E+0	81.976987063932777E-3
181.000000000000030E+0	533.690234847350560E-3
182.000000000000030E+0	491.005155504387780E-3
183.000000000000030E+0	150.870280863174360E-3
184.000000000000030E+0	530.577533357555420E-3
185.000000000000030E+0	546.591383270984440E-3
186.000000000000030E+0	507.498116494772170E-3
187.000000000000030E+0	6.553472821540330E-3
188.000000000000030E+0	234.909685506882320E-3
189.000000000000030E+0	311.568015809889520E-3
190.000000000000030E+0	543.957210955086530E-3
191.000000000000030E+0	759.678288256763870E-3
192.000000000000030E+0	671.452612945311000E-3
193.000000000000030E+0	437.933236621212310E-3
194.000000000000030E+0	748.228640140179650E-3
195.000000000000030E+0	827.265387738769010E-3
196.000000000000030E+0	396.960690564883420E-3
197.000000000000030E+0	807.221347407139910E-3
198.000000000000030E+0	502.866965333480630E-3
199.000000000000030E+0	813.941570092226670E-3
200.000000000000030E+0	286.008058805279850E-3
201.000000000000030E+0	523.105558490419840E-3
202.000000000000030E+0	746.948071348565780E-3
203.000000000000030E+0	585.073632334533360E-3
204.000000000000030E+0	518.988394641427870E-3
205.000000000000030E+0	441.858112377637340E-3
206.000000000000030E+0	135.569534048435970E-3
207.000000000000030E+0	539.738351097821200E-3
208.000000000000030E+0	245.269737425510950E-3
209.000000000000030E+0	545.619952578349390E-3
210.000000000000030E+0	913.404340323403900E-3
211.000000000000030E+0	885.070109070451250E-3
212.000000000000030E+0	760.939165315599570E-3
213.000000000000030E+0	897.066388061153800E-3
214.000000000000030E+0	764.973669215113670E-3
215.000000000000030E+0	32.162561817567839E-3
216.000000000000030E+0	89.266802615927232E-3
217.000000000000030E+0	466.361435474466730E-3
218.000000000000030E+0	586.477667755094360E-3
