Freq (Hz)	GxyMicrophone/Source_Real	GxyMicrophone/Source_Imag
20.000000000000004E+0	-2.114601913809161E-9	2.435074986210399E-9
21.000000000000004E+0	-92.151344040729507E-12	-2.048268400076123E-9
22.000000000000004E+0	303.202952970782730E-12	975.224756032324970E-12
23.000000000000004E+0	1.253819813372794E-9	1.368588799215668E-9
24.000000000000004E+0	-2.805375077163468E-9	2.554867694271974E-9
25.000000000000004E+0	-1.128014460779454E-9	-305.251336217882790E-12
26.000000000000004E+0	4.535611542964873E-9	1.833967415906138E-9
27.000000000000004E+0	-2.679932139780049E-9	1.297754831037370E-9
28.000000000000004E+0	-811.340253861875590E-12	956.459234130566200E-12
29.000000000000004E+0	-2.417257519470078E-9	1.299315710010220E-9
30.000000000000004E+0	-398.972418436705510E-12	-494.067397542102940E-12
31.000000000000004E+0	135.959279716794330E-12	140.079615536281160E-12
32.000000000000007E+0	-2.306668406395670E-9	2.679117703832390E-9
33.000000000000007E+0	29.504844814332739E-12	-400.945641511264730E-12
34.000000000000007E+0	-726.702013204527310E-12	466.932475076381360E-12
35.000000000000007E+0	-3.031302675557711E-9	-1.700382784665887E-9
36.000000000000007E+0	1.358885069195449E-9	-2.365912051686314E-9
37.000000000000007E+0	844.693585037292560E-12	-3.787593862729174E-9
38.000000000000007E+0	-685.863379374270030E-12	-1.341092059647738E-9
39.000000000000007E+0	653.441250571193810E-12	483.425063213941380E-12
40.000000000000007E+0	75.845926672749368E-12	-405.089218051335650E-12
41.000000000000007E+0	984.396708748520250E-12	86.331797247954934E-12
42.000000000000007E+0	73.286410079237771E-12	-1.694301962662096E-9
43.000000000000007E+0	-2.279223286447314E-9	1.648546114876531E-9
44.000000000000007E+0	450.976670916918680E-12	-1.221372972926130E-9
45.000000000000007E+0	-36.316070074211132E-12	-277.879376580296490E-12
46.000000000000007E+0	111.673692549154220E-12	1.360576903840583E-9
47.000000000000007E+0	-148.130279483571540E-12	-1.674670769672942E-9
48.000000000000007E+0	-1.287507550653961E-9	302.370994246672290E-12
49.000000000000007E+0	-560.539732995218250E-12	66.682937554628005E-12
50.000000000000007E+0	486.803298655178680E-12	-1.918344275681854E-9
51.000000000000007E+0	-6.871250387552832E-9	-572.506632550589600E-12
52.000000000000007E+0	7.265681720995429E-9	26.256509792713495E-12
53.000000000000007E+0	-764.415788207849300E-12	-132.292115901850800E-12
54.000000000000007E+0	-825.541396141375170E-12	-860.108263175445500E-12
55.000000000000007E+0	2.015707967386200E-9	5.087426934139107E-9
56.000000000000007E+0	-962.470829957364480E-12	-511.372272581336260E-12
57.000000000000007E+0	-1.350269670297594E-9	362.355068658317740E-12
58.000000000000007E+0	2.831580870369639E-9	3.135458117197815E-9
59.000000000000007E+0	-916.844732884372060E-12	-716.622961499549620E-12
60.000000000000007E+0	1.164226743673946E-9	-1.972044629439786E-9
61.000000000000007E+0	-1.368508822383587E-9	871.531677722788030E-12
62.000000000000007E+0	1.398730038035547E-9	181.935546719108090E-12
63.000000000000007E+0	-60.681808463236459E-12	-1.282812497783627E-9
64.000000000000014E+0	275.221189135787940E-12	547.473499539338000E-12
65.000000000000014E+0	1.674484264207109E-9	-1.302753366475818E-9
66.000000000000014E+0	476.667044574547240E-12	8.232606721959349E-12
67.000000000000014E+0	-1.050774823114892E-9	-94.564950187123760E-12
68.000000000000014E+0	37.907490094742760E-12	-95.464123825236965E-12
69.000000000000014E+0	267.111459239164500E-12	618.529095380384000E-12
70.000000000000014E+0	-84.269080809250913E-12	-295.336253393437040E-12
71.000000000000014E+0	2.777582938891138E-9	1.090062320135267E-9
72.000000000000014E+0	-204.036161274817420E-12	63.414989974247194E-12
73.000000000000014E+0	-30.870352287671001E-12	694.628973060627380E-12
74.000000000000014E+0	1.366149361398389E-9	-1.285823594550912E-9
75.000000000000014E+0	-677.665981052806610E-12	1.408769107812243E-9
76.000000000000014E+0	1.166617173012623E-9	831.775859517354750E-12
77.000000000000014E+0	-995.429784883717760E-12	237.664841763844510E-12
78.000000000000014E+0	1.773749740272114E-9	-324.993645238803560E-12
79.000000000000014E+0	587.239265553366210E-12	-628.710443194152030E-12
80.000000000000014E+0	-1.213072727968415E-9	-904.071238180552960E-12
81.000000000000014E+0	-558.399783471432710E-12	1.079974271222795E-9
82.000000000000014E+0	-630.308733353362490E-12	3.343501781738968E-9
83.000000000000014E+0	-3.264642378263732E-9	1.898782112599098E-9
84.000000000000014E+0	-634.641262913455460E-12	759.455316712319590E-12
85.000000000000014E+0	-321.708233688912540E-12	61.741523302631464E-12
86.000000000000014E+0	1.500424109264115E-9	3.685242627074425E-9
87.000000000000014E+0	-515.778207668373520E-12	1.707053659511647E-9
88.000000000000014E+0	-2.001099462214874E-9	341.686632270433990E-12
89.000000000000014E+0	2.664331510535190E-9	-2.328277171190895E-9
90.000000000000014E+0	5.779605360751661E-9	-705.343135020861780E-12
91.000000000000014E+0	1.347417489098780E-9	-956.000749701877940E-12
92.000000000000014E+0	3.346179862767435E-9	1.268569163652771E-9
93.000000000000014E+0	1.668321004648826E-9	3.925503657313609E-9
94.000000000000014E+0	-2.583481596350909E-9	41.707953135458572E-12
95.000000000000014E+0	-283.761577589523490E-12	1.058271566780707E-9
96.000000000000014E+0	585.456102728280980E-12	925.582079035619160E-12
97.000000000000014E+0	99.677878430468540E-12	3.408284309330293E-9
98.000000000000014E+0	4.124974285266885E-9	9.483099612598267E-9
99.000000000000014E+0	5.127024379541697E-9	650.884274830673280E-12
100.000000000000010E+0	-2.168239647755508E-9	-1.805029501242766E-9
101.000000000000010E+0	1.252640675304763E-9	856.924194003900780E-12
102.000000000000010E+0	-1.949052153865639E-9	1.822350506932054E-9
103.000000000000010E+0	-4.074731225217994E-9	-1.704182293429939E-9
104.000000000000010E+0	193.861014752865800E-12	-1.095889705945298E-9
105.000000000000010E+0	-4.391395402027611E-9	-2.995110217075264E-9
106.000000000000010E+0	-4.731410699628160E-9	-6.880997764092978E-9
107.000000000000010E+0	-4.075023228571083E-9	-37.307607106454274E-12
108.000000000000010E+0	-869.041843049827800E-12	4.867551943542878E-9
109.000000000000010E+0	7.069528108415347E-9	3.135907343984033E-9
110.000000000000010E+0	7.973922070827976E-9	15.990716657761747E-9
111.000000000000010E+0	-4.762518046469366E-9	13.469929035057467E-9
112.000000000000010E+0	34.883633284935988E-12	496.641053253937120E-12
113.000000000000010E+0	-1.063049283246198E-9	-1.521686256396543E-9
114.000000000000010E+0	-4.535549953339755E-9	-5.058367943957843E-9
115.000000000000010E+0	-847.277359611528810E-12	-2.717953964842246E-9
116.000000000000010E+0	-793.380324969770580E-12	-4.858110169891446E-9
117.000000000000010E+0	-2.058243330486212E-9	-3.490159247237625E-9
118.000000000000010E+0	-526.420663393382700E-12	-1.083814887631914E-9
119.000000000000010E+0	-4.739889214546640E-9	-916.742072460274920E-12
120.000000000000010E+0	-3.811693544967971E-9	80.026378147722848E-12
121.000000000000010E+0	-4.010246780387038E-9	-3.020906142212129E-9
122.000000000000010E+0	-784.243739094174550E-12	6.246997031773576E-9
123.000000000000010E+0	2.268469684247175E-9	315.531018652701340E-12
124.000000000000010E+0	16.454604571898313E-9	-3.094985390479656E-9
125.000000000000010E+0	21.083384184959349E-9	10.745734651860756E-9
126.000000000000010E+0	7.002777139437187E-9	26.978921169669730E-9
127.000000000000010E+0	8.878895250441050E-9	11.694294368404258E-9
128.000000000000030E+0	-3.756630018430111E-9	3.750581584575656E-9
129.000000000000030E+0	4.759575976487306E-9	18.283579719153374E-9
130.000000000000030E+0	3.517514404198737E-9	7.566522477228066E-9
131.000000000000030E+0	11.395247155398456E-9	-4.289779821860182E-9
132.000000000000030E+0	63.761998560796101E-9	-41.766304280704359E-9
133.000000000000030E+0	22.367246421952027E-9	271.593909169533450E-12
134.000000000000030E+0	1.555983957799158E-9	7.286090640041270E-9
135.000000000000030E+0	-917.763765764356620E-12	-13.463594002173308E-9
136.000000000000030E+0	5.838614621915813E-9	-6.071401012000684E-9
137.000000000000030E+0	-493.462426520688230E-12	-607.081177569601930E-12
138.000000000000030E+0	-1.073006860304863E-9	-6.594365955773417E-9
139.000000000000030E+0	4.225796783988693E-9	-33.144344612162364E-9
140.000000000000030E+0	7.538898435611841E-9	-28.766957143181025E-9
141.000000000000030E+0	-4.310503600937244E-9	2.025739713931892E-9
142.000000000000030E+0	14.051044956620560E-9	12.784303891139899E-9
143.000000000000030E+0	27.338755871106704E-9	599.970037305134710E-12
144.000000000000030E+0	8.266231221656773E-9	3.308797751941567E-9
145.000000000000030E+0	4.848635940257266E-9	-15.478562018417588E-9
146.000000000000030E+0	11.462112755331137E-9	-1.344119164038579E-9
147.000000000000030E+0	-129.342485333964840E-12	-4.723814699425106E-9
148.000000000000030E+0	-3.396741534356791E-9	8.682220258513137E-9
149.000000000000030E+0	6.134080391334332E-9	-1.083578032667952E-9
150.000000000000030E+0	7.176444082136040E-9	-20.334671039885988E-9
151.000000000000030E+0	-3.933137858087119E-9	-3.276223972901782E-9
152.000000000000030E+0	-338.136315394846550E-12	-6.410617069789671E-9
153.000000000000030E+0	12.397914955084255E-9	-8.841739776727924E-9
154.000000000000030E+0	5.526863118049170E-9	-12.126723429765164E-9
155.000000000000030E+0	33.442536177547305E-9	-5.079708801849008E-9
156.000000000000030E+0	60.406591127452682E-9	-9.994062315793510E-9
157.000000000000030E+0	76.013763411954032E-9	-35.603244528787141E-9
158.000000000000030E+0	19.269740354775435E-9	-16.902621188158735E-9
159.000000000000030E+0	-15.955651225371064E-9	4.721499967319300E-9
160.000000000000030E+0	-7.361954238652690E-9	-3.327615328933351E-9
161.000000000000030E+0	18.439274708152510E-9	-2.721591980337326E-9
162.000000000000030E+0	3.087929072296625E-9	-11.472676262184029E-9
163.000000000000030E+0	-6.036187913287100E-9	-362.780052898553550E-12
164.000000000000030E+0	-4.325267696488354E-9	3.384306341977576E-9
165.000000000000030E+0	-3.784107690045213E-9	-12.721078464721141E-9
166.000000000000030E+0	-985.341844136344110E-12	9.113911978889955E-9
167.000000000000030E+0	65.388090186388870E-9	-73.465184897250879E-9
168.000000000000030E+0	71.837377570101574E-9	-131.052135956481770E-9
169.000000000000030E+0	15.372982182078109E-9	-25.789348520511658E-9
170.000000000000030E+0	2.605290113654635E-9	-24.191104282980269E-9
171.000000000000030E+0	-16.952341585792394E-9	-4.207525497559863E-9
172.000000000000030E+0	-3.066207705129307E-9	-42.485638698737990E-9
173.000000000000030E+0	24.554161775648730E-9	-25.437961958707475E-9
174.000000000000030E+0	19.484029414496169E-9	-20.602208927513698E-9
175.000000000000030E+0	71.251844311014059E-9	-68.039462679608481E-9
176.000000000000030E+0	33.442250185817114E-9	-28.761770713427405E-9
177.000000000000030E+0	1.908176278660964E-9	-8.516645931165218E-9
178.000000000000030E+0	35.218042988464505E-9	-170.219460254510500E-9
179.000000000000030E+0	72.022889369929427E-9	-203.700879858402210E-9
180.000000000000030E+0	4.918606293888685E-9	-10.580606261558360E-9
181.000000000000030E+0	-12.887886853055917E-9	-103.540822388993780E-9
182.000000000000030E+0	-3.802062595065723E-9	-45.644364257412213E-9
183.000000000000030E+0	3.753217745095793E-9	-9.269583591812890E-9
184.000000000000030E+0	13.328471512932575E-9	-24.728520517424709E-9
185.000000000000030E+0	11.651133705999783E-9	-64.133506187386841E-9
186.000000000000030E+0	12.854361022022974E-9	-52.591153702561059E-9
187.000000000000030E+0	-3.497016520811803E-9	1.199078735500681E-9
188.000000000000030E+0	-11.491281785789776E-9	-1.675195132580111E-9
189.000000000000030E+0	6.401509131179570E-9	-18.897715920747727E-9
190.000000000000030E+0	-9.709129977259071E-9	-76.261753755508472E-9
191.000000000000030E+0	-23.635863704269177E-9	-224.735803692316860E-9
192.000000000000030E+0	9.820791043068997E-9	-127.916180021816930E-9
193.000000000000030E+0	33.047182492077778E-9	-49.808531223218856E-9
194.000000000000030E+0	66.969042003638975E-9	-137.461638689756880E-9
195.000000000000030E+0	18.061197946629376E-9	-158.429925537579850E-9
196.000000000000030E+0	-1.305372225637509E-9	-33.350173456378814E-9
197.000000000000030E+0	-12.846081134610222E-9	-123.859077671268250E-9
198.000000000000030E+0	-25.388991811135056E-9	-32.188640201993187E-9
199.000000000000030E+0	-26.634668351030054E-9	-183.815605249549470E-9
200.000000000000030E+0	-9.367585339591658E-9	-20.617740926738142E-9
201.000000000000030E+0	-18.045492507665364E-9	-75.038978774912738E-9
202.000000000000030E+0	-130.276939158036690E-9	-205.720707920499920E-9
203.000000000000030E+0	-59.577426242249823E-9	-35.410648188732393E-9
204.000000000000030E+0	5.558331273845196E-9	-9.762533583612859E-9
205.000000000000030E+0	14.337571021818266E-9	-56.011739823039639E-9
