Freq (Hz)	Microphone/Source_Real	Microphone/Source_Imag
20.000000000000004E+0	-208.025959185347780E-3	239.552800168505890E-3
21.000000000000004E+0	-2.978370842798276E-3	-66.200910518629655E-3
22.000000000000004E+0	38.132803741851018E-3	122.650699347109320E-3
23.000000000000004E+0	61.762721773470260E-3	67.416201536059719E-3
24.000000000000004E+0	-90.581617472411016E-3	82.493086239704888E-3
25.000000000000004E+0	-211.768235326087820E-3	-57.306478816879357E-3
26.000000000000004E+0	97.975162736153559E-3	39.616103434808328E-3
27.000000000000004E+0	-179.163552148044580E-3	86.759795852526217E-3
28.000000000000004E+0	-81.638900576563297E-3	96.241102236762022E-3
29.000000000000004E+0	-45.308927694900594E-3	24.354294519107502E-3
30.000000000000004E+0	-500.760029541453600E-3	-620.116061050226320E-3
31.000000000000004E+0	80.793508922364421E-3	83.242009602040576E-3
32.000000000000007E+0	-57.765522051576389E-3	67.092709281661778E-3
33.000000000000007E+0	10.071697810898826E-3	-136.865771208420970E-3
34.000000000000007E+0	-104.399579248639490E-3	67.080526886857866E-3
35.000000000000007E+0	-73.044445918299214E-3	-40.973644551045359E-3
36.000000000000007E+0	183.534474065746990E-3	-319.546099913476210E-3
37.000000000000007E+0	17.932417869089189E-3	-80.408703307316490E-3
38.000000000000007E+0	-42.062028305306171E-3	-82.245318629473790E-3
39.000000000000007E+0	253.481275564834240E-3	187.529026605475320E-3
40.000000000000007E+0	1.698216433302862E-3	-9.070087178402823E-3
41.000000000000007E+0	188.555806997941690E-3	16.536383710959151E-3
42.000000000000007E+0	15.185848861147034E-3	-351.080282173905410E-3
43.000000000000007E+0	-153.582357642854940E-3	111.085035200898090E-3
44.000000000000007E+0	14.687390687561409E-3	-39.777627503705670E-3
45.000000000000007E+0	-18.881376685649459E-3	-144.474475670533920E-3
46.000000000000007E+0	5.705785670742633E-3	69.516463767506642E-3
47.000000000000007E+0	-3.626133285143358E-3	-40.994855614521278E-3
48.000000000000007E+0	-70.728089831925758E-3	16.610483435832841E-3
49.000000000000007E+0	-24.732788814609986E-3	2.942262457049597E-3
50.000000000000007E+0	30.947592926316467E-3	-121.955085144943080E-3
51.000000000000007E+0	-238.133088685322850E-3	-19.841042752432703E-3
52.000000000000007E+0	305.407732356676950E-3	1.103673601916983E-3
53.000000000000007E+0	-320.326531006335120E-3	-55.436681476292923E-3
54.000000000000007E+0	-69.245823335392392E-3	-72.145267480879391E-3
55.000000000000007E+0	47.742946400261201E-3	120.497986494941600E-3
56.000000000000007E+0	-370.625084408449380E-3	-196.917543670382190E-3
57.000000000000007E+0	-80.040046335480411E-3	21.479351216498695E-3
58.000000000000007E+0	67.439793196273690E-3	74.677240975919823E-3
59.000000000000007E+0	-952.115334050581130E-3	-744.191121903417960E-3
60.000000000000007E+0	33.815412168743612E-3	-57.278792401920298E-3
61.000000000000007E+0	-109.837597295064370E-3	69.949819746778066E-3
62.000000000000007E+0	71.741682682131616E-3	9.331580724221670E-3
63.000000000000007E+0	-2.698805082615410E-3	-57.052697945851195E-3
64.000000000000014E+0	99.984554171944739E-3	198.890550339814680E-3
65.000000000000014E+0	31.291611299434065E-3	-24.344959719339841E-3
66.000000000000014E+0	40.495708376578218E-3	699.409041984618380E-6
67.000000000000014E+0	-58.549748926615221E-3	-5.269210842243965E-3
68.000000000000014E+0	2.274534032294270E-3	-5.728060548481666E-3
69.000000000000014E+0	29.469544243820599E-3	68.240316586649696E-3
70.000000000000014E+0	-24.291643215626560E-3	-85.134462452635160E-3
71.000000000000014E+0	35.197007753751765E-3	13.813064372144515E-3
72.000000000000014E+0	-203.048678528776560E-3	63.108077669836671E-3
73.000000000000014E+0	-2.350311524311488E-3	52.885515049890683E-3
74.000000000000014E+0	24.387951816997596E-3	-22.954008364771815E-3
75.000000000000014E+0	-39.797261705339738E-3	82.732724429962129E-3
76.000000000000014E+0	32.762411491345997E-3	23.358976370717890E-3
77.000000000000014E+0	-66.727700283155708E-3	15.931639348036999E-3
78.000000000000014E+0	69.961995258321003E-3	-12.818721463882200E-3
79.000000000000014E+0	19.591954979681133E-3	-20.975550207304409E-3
80.000000000000014E+0	-11.863499570110193E-3	-8.841554589613394E-3
81.000000000000014E+0	-19.908429266227923E-3	38.503939335938223E-3
82.000000000000014E+0	-4.623807428851960E-3	24.527200019164915E-3
83.000000000000014E+0	-15.730544944471920E-3	9.149203465858622E-3
84.000000000000014E+0	-11.366479031085289E-3	13.601909357151257E-3
85.000000000000014E+0	-25.734456760124622E-3	4.938899273781795E-3
86.000000000000014E+0	7.640767638307158E-3	18.766748968110421E-3
87.000000000000014E+0	-16.268869939129529E-3	53.844527653185328E-3
88.000000000000014E+0	-18.992946125346022E-3	3.243035101953582E-3
89.000000000000014E+0	13.003773252698192E-3	-11.363596565923692E-3
90.000000000000014E+0	15.230769215529212E-3	-1.858763330142569E-3
91.000000000000014E+0	2.737325109130509E-3	-1.942148500875438E-3
92.000000000000014E+0	9.819276760025893E-3	3.722582831168894E-3
93.000000000000014E+0	4.762867249079833E-3	11.206867715183888E-3
94.000000000000014E+0	-13.717078574796230E-3	221.449717761141920E-6
95.000000000000014E+0	-3.225364364034598E-3	12.028800473836847E-3
96.000000000000014E+0	9.518033975637552E-3	15.047621221212193E-3
97.000000000000014E+0	462.998254014313650E-6	15.831292853058454E-3
98.000000000000014E+0	5.057741996333949E-3	11.627483676047509E-3
99.000000000000014E+0	24.107534911389394E-3	3.060491664788505E-3
100.000000000000010E+0	-3.928541438847276E-3	-3.270456382122959E-3
101.000000000000010E+0	2.137662298781216E-3	1.462362334665482E-3
102.000000000000010E+0	-11.436183008988894E-3	10.692753327541460E-3
103.000000000000010E+0	-4.427536921489181E-3	-1.851736865099734E-3
104.000000000000010E+0	347.136614898759520E-6	-1.962351447036486E-3
105.000000000000010E+0	-6.877617859693060E-3	-4.690815022303581E-3
106.000000000000010E+0	-4.252521090069288E-3	-6.184537756323854E-3
107.000000000000010E+0	-19.439971483699067E-3	-177.976609602989800E-6
108.000000000000010E+0	-1.818038886820347E-3	10.182937435926803E-3
109.000000000000010E+0	3.023440496984543E-3	1.341140329763510E-3
110.000000000000010E+0	3.375802186026404E-3	6.769754679054162E-3
111.000000000000010E+0	-1.619324499586158E-3	4.579969226641712E-3
112.000000000000010E+0	1.508860413833470E-3	21.481765360233530E-3
113.000000000000010E+0	-7.349032896100517E-3	-10.519665016520513E-3
114.000000000000010E+0	-1.864981517749234E-3	-2.079960053909232E-3
115.000000000000010E+0	-869.277745344274150E-6	-2.788528299152076E-3
116.000000000000010E+0	-713.531964169657950E-6	-4.369174256756758E-3
117.000000000000010E+0	-774.572592295489190E-6	-1.313441251389023E-3
118.000000000000010E+0	-440.905728978344110E-6	-907.753487540886970E-6
119.000000000000010E+0	-2.818371210244185E-3	-545.101234921742960E-6
120.000000000000010E+0	-8.498211935505456E-3	178.419674590069730E-6
121.000000000000010E+0	-938.973103454069380E-6	-707.325451757515040E-6
122.000000000000010E+0	-167.184648055646000E-6	1.331731384133262E-3
123.000000000000010E+0	1.250150575986176E-3	173.888717777194990E-6
124.000000000000010E+0	2.403690337394814E-3	-452.115785886418550E-6
125.000000000000010E+0	3.087189314697542E-3	1.573472119313070E-3
126.000000000000010E+0	824.988926839186150E-6	3.178354926890283E-3
127.000000000000010E+0	3.415203161636925E-3	4.498126171508015E-3
128.000000000000030E+0	-3.385018086601921E-3	3.379567973630320E-3
129.000000000000030E+0	1.213041055472083E-3	4.659812754307218E-3
130.000000000000030E+0	1.776273821897603E-3	3.820941225729422E-3
131.000000000000030E+0	4.293191656865400E-3	-1.616186703969361E-3
132.000000000000030E+0	2.066818122888053E-3	-1.353837027725983E-3
133.000000000000030E+0	1.629267852657859E-3	19.783357183981035E-6
134.000000000000030E+0	792.357845208968180E-6	3.710315296377573E-3
135.000000000000030E+0	-222.846930086904590E-6	-3.269164357150206E-3
136.000000000000030E+0	632.463315541433900E-6	-657.679717311360910E-6
