Freq (Hz)	GxyMicrophone/Source_Real	GxyMicrophone/Source_Imag
20.000000000000004E+0	-19.925595879403952E-12	2.270602821377302E-9
21.000000000000004E+0	-10.167856794299605E-9	-13.493607801799535E-9
22.000000000000004E+0	-8.037319630571693E-9	-3.697402987269812E-9
23.000000000000004E+0	4.841474651339851E-9	748.607992085123910E-12
24.000000000000004E+0	51.919343684708958E-12	374.943853561450310E-12
25.000000000000004E+0	1.314269703344871E-9	913.772574087153600E-12
26.000000000000004E+0	-5.218069944473689E-9	-1.315533779982736E-9
27.000000000000004E+0	960.175981647768350E-12	-388.007912963758700E-12
28.000000000000004E+0	-2.013427284765558E-9	90.063695189768122E-12
29.000000000000004E+0	3.152391765796843E-9	-4.626071188239167E-9
30.000000000000004E+0	-683.572262379672360E-12	565.853076481439130E-12
31.000000000000004E+0	-756.909155311482490E-12	10.820942932123484E-12
32.000000000000007E+0	1.203196628711047E-9	-1.343625753592249E-9
33.000000000000007E+0	-127.858604969547840E-12	-699.267843235468470E-12
34.000000000000007E+0	-797.271947956140180E-12	-907.923496342021090E-12
35.000000000000007E+0	2.336685239297821E-9	-1.473523239126181E-9
36.000000000000007E+0	160.137864170965990E-12	604.840785313771970E-12
37.000000000000007E+0	-488.847724200556320E-12	663.349899663405070E-12
38.000000000000007E+0	-1.780388410696787E-12	-976.883473013563920E-12
39.000000000000007E+0	179.650728238311560E-12	158.948943223301100E-12
40.000000000000007E+0	-537.654961635732770E-12	365.593879536543310E-12
41.000000000000007E+0	-714.547084545541200E-12	-277.161060683796630E-12
42.000000000000007E+0	-526.464758220252430E-12	1.358719738664610E-9
43.000000000000007E+0	1.797310513448558E-9	1.683141168426346E-9
44.000000000000007E+0	-2.487424594123113E-9	-1.554816108594293E-9
45.000000000000007E+0	62.275588431905626E-12	-48.101110120749998E-12
46.000000000000007E+0	-180.535305528611010E-12	901.441802462105670E-12
47.000000000000007E+0	-72.203308893151152E-12	-585.960438205271090E-12
48.000000000000007E+0	155.989254938733510E-12	1.433924447705408E-9
49.000000000000007E+0	-2.763746257420784E-9	-1.892874245564708E-9
50.000000000000007E+0	102.826881802869820E-12	4.154594269049051E-9
51.000000000000007E+0	4.393207576504414E-9	-1.414941120832145E-9
52.000000000000007E+0	-5.286174399191914E-9	12.764351199869491E-12
53.000000000000007E+0	615.962406092679190E-12	16.442480257923685E-12
54.000000000000007E+0	-879.710122734898960E-12	1.594756091601791E-9
55.000000000000007E+0	2.614889624468885E-9	4.066025492270908E-9
56.000000000000007E+0	-38.270372221071685E-12	-1.481351383848752E-9
57.000000000000007E+0	-4.012548253775659E-9	-2.552925947655010E-9
58.000000000000007E+0	3.834629504899689E-9	4.244863854075567E-9
59.000000000000007E+0	-652.279588256610650E-12	-439.804204276126370E-12
60.000000000000007E+0	631.131629750908610E-12	1.251972422388903E-9
61.000000000000007E+0	-178.068174069654400E-12	-1.221053399058423E-9
62.000000000000007E+0	52.392439274316697E-12	-1.318369978660518E-9
63.000000000000007E+0	-1.807230027878000E-9	224.173553983898160E-12
