Freq (Hz)	Coh_Microphone/Source
20.000000000000004E+0	238.929375415805330E-3
21.000000000000004E+0	933.252028869931970E-3
22.000000000000004E+0	958.840135723995510E-3
23.000000000000004E+0	371.557488340097660E-3
24.000000000000004E+0	922.348291626758900E-6
25.000000000000004E+0	117.761930428765820E-3
26.000000000000004E+0	316.404041566640260E-3
27.000000000000004E+0	64.258715974645900E-3
28.000000000000004E+0	222.062498225998610E-3
29.000000000000004E+0	155.944397224473540E-3
30.000000000000004E+0	212.263275722358560E-3
31.000000000000004E+0	198.325257834118950E-3
32.000000000000007E+0	115.056209316002520E-3
33.000000000000007E+0	144.060106525478710E-3
34.000000000000007E+0	290.476456861706530E-3
35.000000000000007E+0	373.083978616126240E-3
36.000000000000007E+0	208.164410400857670E-3
37.000000000000007E+0	111.131344192440890E-3
38.000000000000007E+0	158.596064660128210E-3
39.000000000000007E+0	33.577439868135314E-3
40.000000000000007E+0	28.557701004659382E-3
41.000000000000007E+0	148.804180787068610E-3
42.000000000000007E+0	301.143167560422360E-3
43.000000000000007E+0	534.561057904925360E-3
44.000000000000007E+0	623.114504448590180E-3
45.000000000000007E+0	14.711619684157986E-3
46.000000000000007E+0	219.782550038756630E-3
47.000000000000007E+0	15.912203261483352E-3
48.000000000000007E+0	46.045656132189715E-3
49.000000000000007E+0	36.445680606444243E-3
50.000000000000007E+0	377.516980996280890E-3
51.000000000000007E+0	373.090814375432790E-3
52.000000000000007E+0	549.667308217765550E-3
53.000000000000007E+0	159.559722283123980E-3
54.000000000000007E+0	115.244692678661230E-3
55.000000000000007E+0	250.143570450938820E-3
56.000000000000007E+0	204.927803374859690E-3
57.000000000000007E+0	185.066256880089540E-3
58.000000000000007E+0	102.711336292911040E-3
59.000000000000007E+0	248.554237779749640E-3
60.000000000000007E+0	16.719595389538076E-3
61.000000000000007E+0	41.355287123679030E-3
62.000000000000007E+0	83.649149919360358E-3
63.000000000000007E+0	240.637061000610660E-3
64.000000000000014E+0	131.605298056760520E-3
65.000000000000014E+0	6.588021913038898E-3
66.000000000000014E+0	16.220764543109164E-3
67.000000000000014E+0	499.721361115554980E-3
68.000000000000014E+0	215.639134581064850E-3
69.000000000000014E+0	77.774675654453687E-3
70.000000000000014E+0	96.047880518452408E-3
71.000000000000014E+0	109.853305623589870E-3
72.000000000000014E+0	195.077141955100790E-3
73.000000000000014E+0	247.806051097515720E-3
74.000000000000014E+0	112.528058259639680E-3
75.000000000000014E+0	694.378593916105120E-3
76.000000000000014E+0	588.626332993598010E-3
77.000000000000014E+0	365.718810884721520E-3
78.000000000000014E+0	66.338661106681754E-3
79.000000000000014E+0	268.466960102480280E-3
80.000000000000014E+0	738.263027691872460E-3
81.000000000000014E+0	520.291751849130350E-3
82.000000000000014E+0	374.595948511782020E-3
83.000000000000014E+0	339.862586755877720E-3
84.000000000000014E+0	326.688730978129170E-3
85.000000000000014E+0	231.303684374161160E-3
86.000000000000014E+0	77.753582937514762E-3
87.000000000000014E+0	229.067525032729340E-3
88.000000000000014E+0	267.796712706343200E-3
89.000000000000014E+0	54.595200684122887E-3
90.000000000000014E+0	198.549959119856070E-3
91.000000000000014E+0	212.540135000445000E-3
92.000000000000014E+0	272.990389777773680E-3
93.000000000000014E+0	496.531379677290270E-3
94.000000000000014E+0	388.519020840588920E-3
95.000000000000014E+0	357.960593296431260E-3
96.000000000000014E+0	285.297750806965510E-3
97.000000000000014E+0	51.815320860564278E-3
98.000000000000014E+0	148.837501608811010E-3
99.000000000000014E+0	613.907551281453250E-3
100.000000000000010E+0	254.919070380317580E-3
101.000000000000010E+0	50.344011360973627E-3
102.000000000000010E+0	17.491750019621312E-3
103.000000000000010E+0	537.504572688216720E-3
104.000000000000010E+0	470.920876505235840E-3
105.000000000000010E+0	214.933909344869470E-3
106.000000000000010E+0	30.768005615301054E-3
107.000000000000010E+0	56.729359614584092E-3
108.000000000000010E+0	93.396818245574775E-3
109.000000000000010E+0	15.184895431809665E-3
110.000000000000010E+0	1.633769231662670E-3
111.000000000000010E+0	75.509889268595254E-3
112.000000000000010E+0	109.482334723790330E-3
113.000000000000010E+0	120.881716303762280E-3
114.000000000000010E+0	75.497249729900365E-3
115.000000000000010E+0	151.957089640747500E-3
116.000000000000010E+0	156.409323928621590E-3
117.000000000000010E+0	14.706303238791241E-3
118.000000000000010E+0	114.443009147922810E-3
119.000000000000010E+0	163.769963774917090E-3
120.000000000000010E+0	44.457421633898340E-3
121.000000000000010E+0	54.136708311301199E-3
122.000000000000010E+0	101.143560259864570E-3
123.000000000000010E+0	201.519399150339700E-3
124.000000000000010E+0	31.785961482546199E-3
125.000000000000010E+0	142.433280195070980E-3
126.000000000000010E+0	613.099998664652590E-3
127.000000000000010E+0	484.385391669322650E-3
128.000000000000030E+0	59.962516568114813E-3
129.000000000000030E+0	267.705603510110190E-3
130.000000000000030E+0	479.438003597472520E-3
131.000000000000030E+0	259.222675026595960E-3
132.000000000000030E+0	457.395699876870450E-3
133.000000000000030E+0	293.563012543159140E-3
134.000000000000030E+0	342.496190156371390E-3
135.000000000000030E+0	648.731275790763730E-3
136.000000000000030E+0	298.415548327933430E-3
137.000000000000030E+0	342.417924991730130E-3
138.000000000000030E+0	314.038344445814470E-3
139.000000000000030E+0	760.333254370915810E-3
140.000000000000030E+0	731.909064166469500E-3
141.000000000000030E+0	284.238000423733710E-3
142.000000000000030E+0	139.596158091659260E-3
143.000000000000030E+0	87.816570962943638E-3
144.000000000000030E+0	72.126705756307086E-3
145.000000000000030E+0	18.492494408480973E-3
146.000000000000030E+0	418.574210765094430E-3
147.000000000000030E+0	397.725714635886460E-3
148.000000000000030E+0	183.225613948169640E-3
149.000000000000030E+0	629.368368994032920E-3
150.000000000000030E+0	303.976216578245580E-3
151.000000000000030E+0	7.507189329376095E-3
152.000000000000030E+0	13.827022539299754E-3
153.000000000000030E+0	132.150165399033130E-3
154.000000000000030E+0	120.757656098239050E-3
155.000000000000030E+0	81.763986174981554E-3
156.000000000000030E+0	329.198301048388320E-3
157.000000000000030E+0	309.646576129773030E-3
158.000000000000030E+0	41.520617982502200E-3
159.000000000000030E+0	51.624887705523904E-3
160.000000000000030E+0	394.623698386804280E-3
161.000000000000030E+0	56.922431424731766E-3
162.000000000000030E+0	38.925623423088758E-3
163.000000000000030E+0	33.758991364103687E-3
164.000000000000030E+0	68.709853438698537E-3
165.000000000000030E+0	192.636045136385410E-3
166.000000000000030E+0	520.983253274835740E-3
167.000000000000030E+0	569.619640131623580E-3
168.000000000000030E+0	676.358364057396130E-3
169.000000000000030E+0	532.809886329745570E-3
170.000000000000030E+0	108.265426813793490E-3
171.000000000000030E+0	132.872142310587170E-3
172.000000000000030E+0	134.114792443384150E-3
173.000000000000030E+0	64.687294652421984E-3
174.000000000000030E+0	266.261585686160430E-3
175.000000000000030E+0	339.617825963824340E-3
176.000000000000030E+0	33.503098911164056E-3
177.000000000000030E+0	105.940470311909020E-3
178.000000000000030E+0	795.865228793402490E-3
179.000000000000030E+0	858.530396758528050E-3
180.000000000000030E+0	351.166183910696930E-3
181.000000000000030E+0	783.115937946424980E-3
182.000000000000030E+0	550.182149319845770E-3
183.000000000000030E+0	299.604236900866790E-3
184.000000000000030E+0	569.492968293011100E-3
185.000000000000030E+0	789.446240177445690E-3
186.000000000000030E+0	624.048745766495270E-3
187.000000000000030E+0	580.011606412359710E-3
188.000000000000030E+0	255.448253646969100E-3
189.000000000000030E+0	254.818704308288960E-3
190.000000000000030E+0	452.908344192321730E-3
191.000000000000030E+0	555.998947891907070E-3
192.000000000000030E+0	547.551672442462940E-3
193.000000000000030E+0	568.211744367685840E-3
194.000000000000030E+0	625.769824801697630E-3
