Freq (Hz)	Microphone/Source_Real	Microphone/Source_Imag
20.000000000000004E+0	-1.788525967055118E-3	203.809819865893250E-3
21.000000000000004E+0	-321.405782346105780E-3	-426.532715787293740E-3
22.000000000000004E+0	-1.203350759175623E+0	-553.576676829619860E-3
23.000000000000004E+0	226.349162734191920E-3	34.999004317351715E-3
24.000000000000004E+0	1.682149552326597E-3	12.147912331984206E-3
25.000000000000004E+0	224.140178996875970E-3	155.837989567189140E-3
26.000000000000004E+0	-110.060209141090190E-3	-27.747409386570152E-3
27.000000000000004E+0	71.523215035072404E-3	-28.902590696542718E-3
28.000000000000004E+0	-163.371277847715240E-3	7.307848205977210E-3
29.000000000000004E+0	58.706201573502946E-3	-86.150164017286923E-3
30.000000000000004E+0	-926.407161361464500E-3	766.868948874439570E-3
31.000000000000004E+0	-370.594792325257050E-3	5.298106213345500E-3
32.000000000000007E+0	26.235121514743418E-3	-29.297110775313544E-3
33.000000000000007E+0	-34.100910515623958E-3	-186.500315362469670E-3
34.000000000000007E+0	-120.349476653487320E-3	-137.052504990653160E-3
35.000000000000007E+0	59.612287948609663E-3	-37.591751833958624E-3
36.000000000000007E+0	22.872384273602005E-3	86.389005733673502E-3
37.000000000000007E+0	-11.040150461471937E-3	14.981112396222886E-3
38.000000000000007E+0	-102.688986898194860E-6	-56.344544571650335E-3
39.000000000000007E+0	44.858180288835522E-3	39.689014465738075E-3
40.000000000000007E+0	-11.289501636638525E-3	7.676619757801424E-3
41.000000000000007E+0	-124.082260087229950E-3	-48.129467688881891E-3
42.000000000000007E+0	-76.868873860646086E-3	198.386035480241640E-3
43.000000000000007E+0	120.499831483505040E-3	112.845401860566980E-3
44.000000000000007E+0	-72.737178977781716E-3	-45.465875763855919E-3
45.000000000000007E+0	28.174345777521620E-3	-21.761613867470671E-3
46.000000000000007E+0	-7.975263077861203E-3	39.821770611385150E-3
47.000000000000007E+0	-1.983848854766413E-3	-16.099773848206825E-3
48.000000000000007E+0	9.456997768145833E-3	86.933041041614728E-3
49.000000000000007E+0	-85.914968168349495E-3	-58.842677802899479E-3
50.000000000000007E+0	8.412526286734270E-3	339.897825221373350E-3
51.000000000000007E+0	291.383380121155390E-3	-93.847221939951569E-3
52.000000000000007E+0	-216.326778404864970E-3	522.357146203538520E-6
53.000000000000007E+0	203.311468066969370E-3	5.427189657736414E-3
54.000000000000007E+0	-62.641412674515951E-3	113.557604792198310E-3
55.000000000000007E+0	56.722167087618694E-3	88.200195984162039E-3
56.000000000000007E+0	-14.614052196794392E-3	-565.673788598259790E-3
57.000000000000007E+0	-205.248548838867200E-3	-130.586428600884960E-3
58.000000000000007E+0	90.145050080271877E-3	99.788901175626846E-3
59.000000000000007E+0	-879.548782619538170E-3	-593.042093339031020E-3
60.000000000000007E+0	17.869564715057962E-3	35.447759498563124E-3
61.000000000000007E+0	-11.371041086995796E-3	-77.973778541009772E-3
62.000000000000007E+0	2.676097787242055E-3	-67.339620592722846E-3
63.000000000000007E+0	-73.210925643452107E-3	9.081275288024097E-3
64.000000000000014E+0	136.390748446500590E-3	53.069121050002874E-3
65.000000000000014E+0	-6.348959232564966E-3	-5.104870764377744E-3
66.000000000000014E+0	-8.802600182349306E-3	17.953481926177246E-3
67.000000000000014E+0	47.663111416622779E-3	-43.765612921100885E-3
68.000000000000014E+0	-37.376283367054508E-3	-10.514431194367926E-3
69.000000000000014E+0	-45.091183870372351E-3	22.149982341140184E-3
70.000000000000014E+0	90.326585494239039E-3	32.830133990683012E-3
71.000000000000014E+0	-14.682906606265464E-3	-6.623303793384516E-3
72.000000000000014E+0	6.861261738589954E-3	191.262136527970360E-3
73.000000000000014E+0	55.331386753660748E-3	-19.492030158381725E-3
74.000000000000014E+0	6.670631774056524E-3	10.990324400373539E-3
75.000000000000014E+0	-54.329539144358639E-3	-1.577150325801522E-3
76.000000000000014E+0	-27.726926940002655E-3	35.988824832643526E-3
77.000000000000014E+0	10.333182446458585E-3	-53.321159639303672E-3
78.000000000000014E+0	12.566968783190921E-3	3.390626338891483E-3
79.000000000000014E+0	38.562047281432116E-3	-1.204087707512933E-3
80.000000000000014E+0	-28.119915337077337E-3	18.109506100681461E-3
81.000000000000014E+0	46.771360443658802E-3	51.118755442914054E-3
82.000000000000014E+0	23.099939332403917E-3	11.219428574434786E-3
83.000000000000014E+0	3.182738809992618E-3	16.315504598957160E-3
84.000000000000014E+0	8.651623610466081E-3	28.310985893356462E-3
85.000000000000014E+0	-40.402154726828864E-3	6.306265606402977E-3
86.000000000000014E+0	-5.337697562728874E-3	-2.261595453688071E-3
87.000000000000014E+0	-6.591173000430666E-3	-56.751962077454643E-3
88.000000000000014E+0	31.409565000736252E-3	973.311908968092020E-6
89.000000000000014E+0	-7.296883724835345E-3	-2.066756325184419E-3
90.000000000000014E+0	8.297984002526543E-3	1.264709666933374E-3
91.000000000000014E+0	278.426775960704620E-6	5.386207619069987E-3
92.000000000000014E+0	6.797164896511092E-3	1.539069334358367E-3
93.000000000000014E+0	12.018447041877709E-3	12.425421315077515E-3
94.000000000000014E+0	-21.172459479462655E-3	5.697115222789380E-3
95.000000000000014E+0	-22.411857871567485E-3	20.919334232051855E-3
96.000000000000014E+0	-2.020204019710072E-3	23.985397240667623E-3
97.000000000000014E+0	1.687437975866012E-3	3.510459338106482E-3
98.000000000000014E+0	4.145563865715958E-3	-2.954624496817953E-3
99.000000000000014E+0	10.274444641463419E-3	-14.814867138399208E-3
100.000000000000010E+0	-7.080000323190516E-3	-247.223777175216950E-6
101.000000000000010E+0	362.631443492619180E-6	-3.563160593836559E-3
102.000000000000010E+0	367.177873911022540E-6	-3.475318988432170E-3
103.000000000000010E+0	6.367788939947400E-3	-5.672615475733500E-3
104.000000000000010E+0	-1.708261899791710E-3	-12.623551006791432E-3
105.000000000000010E+0	-4.955070660714048E-3	-4.085203058422454E-3
106.000000000000010E+0	-601.951927137740480E-6	-776.084234590266720E-6
107.000000000000010E+0	2.606600213814331E-3	4.535643461549851E-3
108.000000000000010E+0	4.422318764193044E-3	-174.379411135652600E-6
109.000000000000010E+0	331.059885103198880E-6	135.764061025486930E-6
110.000000000000010E+0	155.211615064855970E-6	-140.599065198358550E-6
111.000000000000010E+0	-1.286376231947001E-3	589.052151436350830E-6
112.000000000000010E+0	-10.322893794725261E-3	19.431971411994729E-3
113.000000000000010E+0	-4.211087703076102E-3	-9.702151992174524E-3
114.000000000000010E+0	-1.923718126520372E-3	-170.431886751846890E-6
115.000000000000010E+0	1.788812430518886E-3	1.923382402821529E-3
116.000000000000010E+0	1.871732753382603E-3	-1.025599973587941E-3
117.000000000000010E+0	-285.335821844907350E-6	-310.465983214409040E-6
118.000000000000010E+0	2.683403934361363E-3	712.176858266425400E-6
119.000000000000010E+0	2.971914193858821E-3	943.818602427499510E-6
120.000000000000010E+0	2.814761806743918E-3	-1.315222422960170E-3
121.000000000000010E+0	552.684068597784470E-6	1.259617758028164E-3
122.000000000000010E+0	-803.590152729072740E-6	1.783391462511917E-3
