Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
20.000000000000004E+0	1.937002466323450E-9	11.140792052470078E-9
21.000000000000004E+0	9.668849217667023E-9	31.635575191209052E-9
22.000000000000004E+0	12.221547994473515E-9	6.679116267045695E-9
23.000000000000004E+0	3.019894103303662E-9	21.389408261365332E-9
24.000000000000004E+0	5.032937346292218E-9	30.864879768210155E-9
25.000000000000004E+0	3.710716407537136E-9	5.863606022029585E-9
26.000000000000004E+0	1.930457401025353E-9	47.411048781348913E-9
27.000000000000004E+0	1.243244685029774E-9	13.424675906653987E-9
28.000000000000004E+0	1.484241431182516E-9	12.324242738936964E-9
29.000000000000004E+0	3.742370668334476E-9	53.697764142513961E-9
30.000000000000004E+0	5.027725071722629E-9	737.874544681932550E-12
31.000000000000004E+0	1.414665609366779E-9	2.042417138574284E-9
32.000000000000007E+0	616.484435960423100E-12	45.862056634076697E-9
33.000000000000007E+0	935.538445607990840E-12	3.749419092811815E-9
34.000000000000007E+0	758.699873929876370E-12	6.624639924705795E-9
35.000000000000007E+0	521.832843048475380E-12	39.198046572415098E-9
36.000000000000007E+0	268.606572702942970E-12	7.001362964847872E-9
37.000000000000007E+0	137.986919390164100E-12	44.279081694270719E-9
38.000000000000007E+0	347.059287572861140E-12	17.337676263782976E-9
39.000000000000007E+0	427.886453513468070E-12	4.004859918114501E-9
40.000000000000007E+0	310.822701269499470E-12	47.624330899678284E-9
41.000000000000007E+0	685.479607927877530E-12	5.758656265957873E-9
42.000000000000007E+0	1.029476371274226E-9	6.848867841809017E-9
43.000000000000007E+0	760.456358580310840E-12	14.915460804562102E-9
44.000000000000007E+0	403.809126780194530E-12	34.197430104938776E-9
45.000000000000007E+0	190.416270075290090E-12	2.210365022267565E-9
46.000000000000007E+0	169.880753622197300E-12	22.636909123382406E-9
47.000000000000007E+0	601.869573520409400E-12	36.395569511091880E-9
48.000000000000007E+0	2.739250854340278E-9	16.494585148804247E-9
49.000000000000007E+0	9.571201724881305E-9	32.168390634857149E-9
50.000000000000007E+0	3.742884854726635E-9	12.223068112728251E-9
51.000000000000007E+0	3.787002821229092E-9	15.077069854422531E-9
52.000000000000007E+0	2.080436162596881E-9	24.436061213367719E-9
53.000000000000007E+0	785.420378792070010E-12	3.029649099232245E-9
54.000000000000007E+0	2.049577827248511E-9	14.043586904814273E-9
55.000000000000007E+0	2.026621953847605E-9	46.099959834568142E-9
56.000000000000007E+0	4.091787063321915E-9	2.618737890471366E-9
57.000000000000007E+0	6.251529629033379E-9	19.549703403388040E-9
58.000000000000007E+0	7.489564406046005E-9	42.538436680494901E-9
59.000000000000007E+0	3.357553390344521E-9	741.607061650341350E-12
60.000000000000007E+0	3.328888261497989E-9	35.318802657743487E-9
61.000000000000007E+0	2.351210077632050E-9	15.659795150445598E-9
62.000000000000007E+0	1.062996354898588E-9	19.577924066934665E-9
63.000000000000007E+0	558.287922853544580E-12	24.685250350193278E-9
64.000000000000014E+0	523.299650537443780E-12	3.215357993389266E-9
65.000000000000014E+0	558.665465103298990E-12	55.455121277287437E-9
66.000000000000014E+0	345.754378582179640E-12	14.027548857874431E-9
67.000000000000014E+0	161.830817548806370E-12	19.313693126884273E-9
