Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
20.000000000000004E+0	1.424094572089585E-9	10.287577677536830E-9
21.000000000000004E+0	3.806458126555395E-9	25.246872585152019E-9
22.000000000000004E+0	14.057072104840000E-9	4.252201574990812E-9
23.000000000000004E+0	3.588054474632723E-9	20.291786486171595E-9
24.000000000000004E+0	5.030773556300987E-9	29.336167183136619E-9
25.000000000000004E+0	6.388827593187516E-9	7.932423970417650E-9
26.000000000000004E+0	3.194511335720116E-9	41.959752496445613E-9
27.000000000000004E+0	2.337184009936706E-9	13.537604833606920E-9
28.000000000000004E+0	2.518360829521432E-9	9.674104221242127E-9
29.000000000000004E+0	5.762835162767037E-9	47.588527185821454E-9
30.000000000000004E+0	2.142847612781008E-9	2.159075672665031E-9
31.000000000000004E+0	900.832893722007140E-12	1.143371298439408E-9
32.000000000000007E+0	1.505126760802567E-9	39.817802255026687E-9
33.000000000000007E+0	840.218628169553440E-12	1.657626506105002E-9
34.000000000000007E+0	364.157658430187000E-12	8.277563908838865E-9
35.000000000000007E+0	421.652723726886140E-12	34.464367849267358E-9
36.000000000000007E+0	361.649454344452790E-12	7.364141857388530E-9
37.000000000000007E+0	152.225384983803870E-12	39.054077817014551E-9
38.000000000000007E+0	235.691319265109610E-12	13.993711436156566E-9
39.000000000000007E+0	456.601028066342420E-12	3.753987159239108E-9
40.000000000000007E+0	487.262775386718810E-12	40.964699946680825E-9
41.000000000000007E+0	1.100776219557385E-9	3.823900081156001E-9
42.000000000000007E+0	1.405843823972567E-9	2.694151139952644E-9
43.000000000000007E+0	871.366468118945330E-12	13.960794679315655E-9
44.000000000000007E+0	450.492348014846290E-12	25.826527580866666E-9
45.000000000000007E+0	393.458348907820280E-12	3.195136979120317E-9
46.000000000000007E+0	290.986760812615390E-12	17.010019433609633E-9
47.000000000000007E+0	478.125336006166870E-12	31.957388759601469E-9
48.000000000000007E+0	2.115121031916021E-9	16.296413000395679E-9
49.000000000000007E+0	9.895543839058881E-9	15.564403006768335E-9
50.000000000000007E+0	7.299576881200290E-9	18.907695202411071E-9
51.000000000000007E+0	5.060784951594718E-9	10.099668418635851E-9
52.000000000000007E+0	7.449090540729727E-9	19.756781039033266E-9
53.000000000000007E+0	4.386501835401102E-9	753.649716650119080E-12
54.000000000000007E+0	1.501054881597594E-9	6.381143256062643E-9
55.000000000000007E+0	1.334734497243751E-9	36.101527979006357E-9
56.000000000000007E+0	3.235560151218634E-9	1.277436384488329E-9
57.000000000000007E+0	6.221097510758206E-9	13.123666315168282E-9
58.000000000000007E+0	6.551497941624388E-9	32.322973808434872E-9
59.000000000000007E+0	3.876457364542989E-9	2.145497667933102E-9
60.000000000000007E+0	2.182443569028323E-9	24.873321773313751E-9
61.000000000000007E+0	1.795997506847186E-9	10.186146881076624E-9
62.000000000000007E+0	1.556479552612219E-9	11.569488502574356E-9
63.000000000000007E+0	539.438342131606700E-12	17.446517202116658E-9
64.000000000000014E+0	498.785926961235130E-12	1.769895544475254E-9
65.000000000000014E+0	181.879675614774380E-12	42.938113598755702E-9
66.000000000000014E+0	174.173489502743080E-12	7.576500756319319E-9
67.000000000000014E+0	154.600052241904850E-12	12.513014843162530E-9
68.000000000000014E+0	252.197044944041530E-12	11.517323783697356E-9
