Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
20.000000000000004E+0	61.411745411922611E-3	10.078079268829795E+0
21.000000000000004E+0	229.261700695361030E-3	8.329618112951479E+0
22.000000000000004E+0	647.193991141261970E-3	8.174538235794977E+0
23.000000000000004E+0	123.146335081098300E-3	5.385857002981618E+0
24.000000000000004E+0	51.064459469175205E-3	5.900287150143474E+0
25.000000000000004E+0	293.841793196870930E-3	6.563081654312890E+0
26.000000000000004E+0	140.399948042152030E-3	9.450341044095452E+0
27.000000000000004E+0	252.826274070745260E-3	11.756883146062171E+0
28.000000000000004E+0	182.687302822351240E-3	13.706842443100982E+0
29.000000000000004E+0	67.866826887459986E-3	11.942648838576392E+0
30.000000000000004E+0	268.387489285132560E-3	15.053790804671985E+0
31.000000000000004E+0	325.294627431048870E-3	12.794867687782416E+0
32.000000000000007E+0	87.511878545078151E-3	9.948780933576522E+0
33.000000000000007E+0	362.991254084003290E-3	7.192145338537852E+0
34.000000000000007E+0	114.308393397433830E-3	7.101876648144603E+0
35.000000000000007E+0	72.430120670997744E-3	9.552566681579993E+0
36.000000000000007E+0	46.710468913950663E-3	11.522981793472409E+0
37.000000000000007E+0	35.535368985762796E-3	9.923760603537097E+0
38.000000000000007E+0	52.689866470209935E-3	11.798512224533185E+0
39.000000000000007E+0	35.123581034223215E-3	14.621858559898385E+0
40.000000000000007E+0	44.134588017098381E-3	12.705475457443947E+0
41.000000000000007E+0	396.059289773360190E-3	14.174352435419792E+0
42.000000000000007E+0	523.990072403808240E-3	12.279867400690765E+0
43.000000000000007E+0	66.290891159356519E-3	10.394154395933445E+0
44.000000000000007E+0	54.093771113079107E-3	10.797342480642314E+0
45.000000000000007E+0	188.796374560632250E-3	10.207904920403523E+0
46.000000000000007E+0	83.741277887866047E-3	11.112296380859366E+0
47.000000000000007E+0	77.257962212470999E-3	12.585808605883102E+0
48.000000000000007E+0	158.164669303224950E-3	10.549475149001257E+0
49.000000000000007E+0	173.814073637906380E-3	10.880494894725551E+0
50.000000000000007E+0	84.526153845849689E-3	8.676751638833570E+0
51.000000000000007E+0	319.208825316265040E-3	7.572538364832241E+0
52.000000000000007E+0	216.755098308911010E-3	9.470935100918016E+0
53.000000000000007E+0	1.052730595937029E+0	11.938079229475752E+0
54.000000000000007E+0	92.064062776935074E-3	13.371455654591262E+0
55.000000000000007E+0	135.075137498922500E-3	16.311887375662398E+0
56.000000000000007E+0	370.686620987629560E-3	18.111484461700858E+0
57.000000000000007E+0	195.944892732736960E-3	15.524333192131884E+0
58.000000000000007E+0	240.666303092250400E-3	18.580195222730467E+0
59.000000000000007E+0	791.459963576927940E-3	18.862345423077063E+0
60.000000000000007E+0	130.371208436689280E-3	19.783443597261574E+0
61.000000000000007E+0	113.233685124109970E-3	22.583370056022606E+0
62.000000000000007E+0	89.251235193455763E-3	20.347268272891309E+0
63.000000000000007E+0	66.386650271644268E-3	18.325995676761906E+0
64.000000000000014E+0	269.943868911280800E-3	21.074418435089768E+0
65.000000000000014E+0	37.257184067626570E-3	19.051939840803609E+0
66.000000000000014E+0	117.045113090145310E-3	16.016747930701754E+0
67.000000000000014E+0	74.046963728241183E-3	18.386865467709175E+0
68.000000000000014E+0	51.201920147093016E-3	21.402347265495639E+0
69.000000000000014E+0	122.507329319465800E-3	23.241160262040630E+0
70.000000000000014E+0	320.976005664610540E-3	21.322472652197600E+0
71.000000000000014E+0	39.622973741216233E-3	24.449320258297909E+0
72.000000000000014E+0	221.795714257172320E-3	25.635743377962331E+0
73.000000000000014E+0	89.856851122678258E-3	26.466534042157360E+0
74.000000000000014E+0	37.928681082169298E-3	29.499292920772906E+0
75.000000000000014E+0	28.475158424090239E-3	31.440644494148930E+0
76.000000000000014E+0	9.642005484874497E-3	31.298602240346032E+0
77.000000000000014E+0	61.456552602391155E-3	33.764543175934321E+0
78.000000000000014E+0	57.941931709417693E-3	35.819020110110003E+0
79.000000000000014E+0	43.410013834307162E-3	35.081853455859985E+0
80.000000000000014E+0	3.579642675953259E-3	32.238092978982436E+0
81.000000000000014E+0	40.023759722476071E-3	30.816698818234862E+0
82.000000000000014E+0	4.432196392298555E-3	31.092705915112273E+0
83.000000000000014E+0	8.709649854120257E-3	28.435701712362739E+0
84.000000000000014E+0	17.535261803375130E-3	28.348544798748581E+0
85.000000000000014E+0	56.343100726258068E-3	28.280003823479948E+0
86.000000000000014E+0	14.432049203796839E-3	25.730679638198001E+0
87.000000000000014E+0	28.894071285564843E-3	25.898190217826741E+0
88.000000000000014E+0	16.585501594796121E-3	27.267016814699282E+0
