Freq (Hz)	GxyMicrophone/Source_Real	GxyMicrophone/Source_Imag
20.000000000000004E+0	-501.683338505273630E-12	-384.001819097821980E-12
21.000000000000004E+0	-2.650415037031051E-9	5.145665724036772E-9
22.000000000000004E+0	-867.140831378218190E-12	2.611812966560976E-9
23.000000000000004E+0	1.558539839959181E-9	-1.953266637949622E-9
24.000000000000004E+0	1.389556403304273E-9	-559.681535813033740E-12
25.000000000000004E+0	2.240169430202087E-9	643.919017524430160E-12
26.000000000000004E+0	-5.889222327621068E-9	-150.579482302215900E-12
27.000000000000004E+0	2.361190467590892E-9	-2.477780466886860E-9
28.000000000000004E+0	737.272029984185780E-12	1.606208740126659E-9
29.000000000000004E+0	2.621566554779073E-9	-1.886328919512882E-9
30.000000000000004E+0	-459.838563560720420E-12	352.608423506882230E-12
31.000000000000004E+0	362.265243429590100E-12	84.247896806581896E-12
32.000000000000007E+0	-3.016987619431294E-9	-1.743484937799863E-9
33.000000000000007E+0	369.787060672479700E-12	474.663188189054870E-12
34.000000000000007E+0	646.419102716895970E-12	690.961201217718250E-12
35.000000000000007E+0	-2.475904147630423E-9	-318.126174276633640E-12
36.000000000000007E+0	173.124621041787290E-12	-297.240372725932760E-12
37.000000000000007E+0	-1.218586280032330E-9	-664.107879693108920E-12
38.000000000000007E+0	530.432796506159140E-12	-512.144353878051210E-12
39.000000000000007E+0	-61.435216143117188E-12	116.666414814785010E-12
40.000000000000007E+0	1.790496186773612E-9	250.685716844654980E-12
41.000000000000007E+0	-56.304124033971595E-12	1.513444181321136E-9
42.000000000000007E+0	1.354164290561950E-9	-398.948398270699170E-12
43.000000000000007E+0	-523.645681103931190E-12	-763.083506547300290E-12
44.000000000000007E+0	-275.130383678440020E-12	-1.369694823596411E-9
45.000000000000007E+0	-427.515897052075250E-12	-425.578342872366470E-12
46.000000000000007E+0	165.886434108363020E-12	-1.414748451805814E-9
47.000000000000007E+0	2.468496316982260E-9	47.988654577929774E-12
48.000000000000007E+0	-1.112068875256850E-9	-2.325273216628258E-9
49.000000000000007E+0	-310.638989147744050E-12	-2.687418465131886E-9
50.000000000000007E+0	-1.171529140549809E-9	1.087081387530647E-9
51.000000000000007E+0	895.414708331569470E-12	3.097060693020005E-9
52.000000000000007E+0	-4.277822057141053E-9	-197.592374461857460E-12
53.000000000000007E+0	641.878745510281160E-12	-466.325584947226560E-12
54.000000000000007E+0	407.148797792467030E-12	423.503867489292870E-12
55.000000000000007E+0	-4.013846426831376E-9	-2.769205250229366E-9
56.000000000000007E+0	350.301087476311770E-12	-318.619618427484260E-12
57.000000000000007E+0	-2.528281325673375E-9	469.558229569753330E-12
58.000000000000007E+0	7.498547545608902E-9	-2.070123938640758E-9
59.000000000000007E+0	1.697936629758621E-9	21.716947241275995E-12
60.000000000000007E+0	1.928514621807102E-9	2.606982223124864E-9
61.000000000000007E+0	-956.991479045105800E-12	-643.842645835289890E-12
62.000000000000007E+0	75.398702851887185E-12	1.029834693918819E-9
63.000000000000007E+0	1.003066649761794E-9	-579.069269425450270E-12
64.000000000000014E+0	-290.685559272061800E-12	379.168063550501490E-12
65.000000000000014E+0	1.567102529773984E-9	321.558654143998320E-12
66.000000000000014E+0	-844.850314190748830E-12	-269.497097873447480E-12
67.000000000000014E+0	829.128423177354690E-12	-413.572680113307560E-12
68.000000000000014E+0	-490.406201515788610E-12	327.503544264190870E-12
69.000000000000014E+0	-235.137304037288600E-12	-707.689738724733000E-12
70.000000000000014E+0	-327.781386314075190E-12	258.980491493724850E-12
71.000000000000014E+0	2.085278550483452E-9	-1.698115620920164E-9
72.000000000000014E+0	298.235659556328850E-12	164.091358052316070E-12
73.000000000000014E+0	197.561743015137840E-12	817.915125653404960E-12
74.000000000000014E+0	-597.897478829721840E-12	-1.659359413235326E-9
75.000000000000014E+0	415.441374000908190E-12	10.270954397375806E-12
76.000000000000014E+0	304.125894591952300E-12	-35.845980664053336E-12
77.000000000000014E+0	-453.056396368797490E-12	459.975346542212220E-12
78.000000000000014E+0	-344.001904291605990E-12	-1.076517151360745E-9
79.000000000000014E+0	-1.183676906949924E-9	-684.557452113704620E-12
80.000000000000014E+0	229.753761313312670E-12	247.302196870396010E-12
81.000000000000014E+0	654.172870278692850E-12	-446.802466634333700E-12
82.000000000000014E+0	582.502973773461680E-12	-195.119589570294100E-12
83.000000000000014E+0	-1.744635991677141E-9	-283.997472097355420E-12
84.000000000000014E+0	-1.015185054629991E-9	-75.476420251447327E-12
85.000000000000014E+0	-545.507511727682810E-12	-3.093028645481904E-12
86.000000000000014E+0	2.137677272461281E-9	1.456003120791488E-9
87.000000000000014E+0	927.135482211657090E-12	890.863099747274830E-12
88.000000000000014E+0	-914.713188800826320E-12	1.447773145289482E-9
89.000000000000014E+0	-359.707457240514620E-12	334.195742867898140E-12
90.000000000000014E+0	-4.418330816915499E-9	2.254073984670864E-9
91.000000000000014E+0	-5.403172485590938E-9	-1.388195878594509E-9
92.000000000000014E+0	-55.150858234068683E-12	-1.398711639393801E-9
93.000000000000014E+0	-1.503567376447669E-9	141.778729499693430E-12
94.000000000000014E+0	2.993661612783551E-9	-2.163300209621581E-9
95.000000000000014E+0	3.894531265722577E-9	-1.120650871696126E-9
96.000000000000014E+0	1.929989899575064E-9	-1.333197086427640E-9
97.000000000000014E+0	2.377296487975496E-9	-1.104459647402998E-9
98.000000000000014E+0	6.919562578098025E-9	-2.524898171360907E-9
99.000000000000014E+0	-1.604687393669543E-9	-927.879555258505200E-12
100.000000000000010E+0	13.413852220714767E-9	-960.813030648587530E-12
101.000000000000010E+0	10.498747234743462E-9	-168.883393889475300E-12
102.000000000000010E+0	2.613483566339072E-9	112.939389766459160E-12
103.000000000000010E+0	4.890689439493066E-9	2.425228924645947E-9
104.000000000000010E+0	1.116511349997613E-9	-885.146286980859530E-12
105.000000000000010E+0	1.953606752308912E-9	1.131817639399655E-9
106.000000000000010E+0	4.156773785609032E-9	199.373727943668960E-12
107.000000000000010E+0	-3.147857203535340E-12	-2.615910777489167E-9
108.000000000000010E+0	-5.606872875371090E-9	-160.829149871148640E-12
109.000000000000010E+0	-7.218575198901089E-9	-1.559961118090408E-9
110.000000000000010E+0	-5.525787743484850E-9	-3.673562477820920E-9
111.000000000000010E+0	1.335500605124724E-9	-7.344637585806298E-9
112.000000000000010E+0	658.389272147439240E-12	-367.570890521969560E-12
113.000000000000010E+0	-319.649786260683790E-12	1.312449091998813E-9
114.000000000000010E+0	2.923825198492072E-9	7.045142628794611E-9
115.000000000000010E+0	5.411622056448742E-9	3.279613559019858E-9
116.000000000000010E+0	4.206889074159506E-9	-1.495240978601741E-9
117.000000000000010E+0	-119.053167174319280E-12	3.970788133501356E-9
118.000000000000010E+0	3.636561629618295E-9	2.805468213242519E-9
119.000000000000010E+0	2.310898128302572E-9	5.150379086096425E-9
120.000000000000010E+0	-1.098724821970708E-9	2.544301946863968E-9
121.000000000000010E+0	-3.941224878750299E-9	-3.121704578049448E-9
122.000000000000010E+0	-11.153143982052312E-9	5.134145179550413E-9
123.000000000000010E+0	12.543160873510656E-9	7.424374776059336E-9
124.000000000000010E+0	31.201826474837559E-9	14.386789741558306E-9
125.000000000000010E+0	12.199372825710857E-9	13.531461798024341E-9
126.000000000000010E+0	7.948910380834482E-9	2.027621122617595E-9
127.000000000000010E+0	417.407264191518860E-12	-2.490838414959660E-9
128.000000000000030E+0	4.106065516176289E-9	1.212200142501337E-9
129.000000000000030E+0	7.836243790685135E-9	1.058958928838033E-9
130.000000000000030E+0	3.824375796837494E-9	-1.174966880119241E-9
131.000000000000030E+0	1.591650350852627E-9	-4.065828692529696E-9
132.000000000000030E+0	28.522149384997154E-9	-8.554626798535054E-9
133.000000000000030E+0	5.325332922231773E-9	4.427640422031715E-9
134.000000000000030E+0	-1.830332810339306E-9	1.943461935335762E-9
135.000000000000030E+0	5.664365995796143E-9	-6.945012287764183E-9
136.000000000000030E+0	8.989485655973449E-9	-9.458580127280308E-9
137.000000000000030E+0	1.607077927591083E-9	-5.145874337818432E-9
138.000000000000030E+0	1.969909713185536E-9	-4.157670424019271E-9
139.000000000000030E+0	12.011649170653567E-9	-20.911596178239137E-9
140.000000000000030E+0	9.254033753562418E-9	-42.222664886455296E-9
141.000000000000030E+0	-2.040862885616309E-9	-9.051870751695275E-9
142.000000000000030E+0	-5.585077736147961E-9	-7.195790540794112E-9
143.000000000000030E+0	4.717086047849648E-9	-18.906818161717853E-9
144.000000000000030E+0	13.924890224784562E-9	-14.319088673502934E-9
145.000000000000030E+0	13.152179050704741E-9	-6.469089202838794E-9
146.000000000000030E+0	923.135522910928890E-12	2.315654833348577E-9
147.000000000000030E+0	6.843090362342822E-9	5.503477925085363E-9
148.000000000000030E+0	19.719751546232556E-9	-1.334008816591475E-9
149.000000000000030E+0	19.828416665046374E-9	-28.198461862540245E-9
150.000000000000030E+0	-5.400480275625368E-9	-10.483063272037572E-9
151.000000000000030E+0	5.222990359415489E-9	5.299398359124042E-9
152.000000000000030E+0	14.026123256723201E-9	-4.944656514377672E-9
153.000000000000030E+0	8.606235330265619E-9	1.128160962294897E-9
154.000000000000030E+0	6.187619963975600E-9	-3.912722453383274E-9
155.000000000000030E+0	24.182620549187255E-9	-8.443340575852097E-9
156.000000000000030E+0	36.281624943539546E-9	-5.980214607484113E-9
157.000000000000030E+0	49.353683827326575E-9	-33.387292360921123E-9
158.000000000000030E+0	9.317770688029013E-9	-12.163958848351588E-9
159.000000000000030E+0	643.942673120178160E-12	4.245866988543617E-9
160.000000000000030E+0	27.029435579394937E-9	-29.735919839729779E-9
161.000000000000030E+0	18.235739003609159E-9	-29.477107000895622E-9
162.000000000000030E+0	4.935997489411243E-9	-10.492821115477129E-9
163.000000000000030E+0	-1.409020307786407E-9	-16.190833059000325E-12
164.000000000000030E+0	-221.284672665811910E-12	-750.635842200522200E-12
165.000000000000030E+0	-3.932227039606991E-9	-23.896808180357263E-9
166.000000000000030E+0	-14.201994322260365E-9	-36.287183803408601E-9
167.000000000000030E+0	53.335195801112571E-9	-208.423538707109540E-9
168.000000000000030E+0	47.850265272073855E-9	-234.296624854804030E-9
169.000000000000030E+0	-21.242989678394968E-9	-32.326058965548083E-9
170.000000000000030E+0	-2.802513359810214E-9	-24.883255408142601E-9
171.000000000000030E+0	824.519918061542580E-12	-35.750421031899119E-9
172.000000000000030E+0	47.055181399195823E-9	-89.282820332141711E-9
173.000000000000030E+0	86.892355525556348E-9	-84.834486349254838E-9
174.000000000000030E+0	68.620100302096941E-9	-46.192511410802014E-9
175.000000000000030E+0	98.672714711053687E-9	-67.924611094758687E-9
176.000000000000030E+0	41.980183106413614E-9	-18.866001712948180E-9
177.000000000000030E+0	5.672646365033042E-9	-7.871404669782634E-9
178.000000000000030E+0	37.780106247625005E-9	-123.935739800173880E-9
179.000000000000030E+0	17.015501920385651E-9	-196.330361039091180E-9
180.000000000000030E+0	15.693519405819610E-9	-55.480479345980072E-9
181.000000000000030E+0	21.344079295439690E-9	-97.490904295470561E-9
