Freq (Hz)	GxyMicrophone/Source_Real	GxyMicrophone/Source_Imag
20.000000000000004E+0	162.649735104418480E-12	249.732007348278810E-12
21.000000000000004E+0	-1.298510547051875E-9	1.634742699882910E-9
22.000000000000004E+0	-1.081733768386012E-9	1.348683439737182E-9
23.000000000000004E+0	1.324644763021641E-9	-201.899476757650090E-12
24.000000000000004E+0	80.619232154487118E-12	1.940986487574022E-9
25.000000000000004E+0	267.056524488279590E-12	-376.997396488250190E-12
26.000000000000004E+0	1.333166720921262E-9	-311.414986842073720E-12
27.000000000000004E+0	1.125034686700507E-9	1.801915748340048E-9
28.000000000000004E+0	-1.329040160592089E-9	1.374426482158819E-9
29.000000000000004E+0	-4.501449233894665E-9	-7.255018203957696E-9
30.000000000000004E+0	-284.854998109926570E-12	-1.748389380475285E-9
31.000000000000004E+0	-134.094152250105420E-12	-660.075564805148560E-12
32.000000000000007E+0	1.200326011169839E-9	-7.483388338028551E-9
33.000000000000007E+0	691.597230782083690E-12	-700.798688117705490E-12
34.000000000000007E+0	101.542292840747790E-12	282.108998614710460E-12
35.000000000000007E+0	-1.279538722223721E-9	1.646210295716059E-9
36.000000000000007E+0	102.801382050712960E-12	318.289749382380030E-12
37.000000000000007E+0	1.129422194207935E-9	1.770313495909422E-9
38.000000000000007E+0	-373.509096959576590E-12	-13.975490689804273E-12
39.000000000000007E+0	65.386238541479453E-12	-669.412006125685390E-12
40.000000000000007E+0	-1.142037335954647E-9	847.460082547611680E-12
41.000000000000007E+0	-260.036125650950680E-12	-64.463997462207927E-12
42.000000000000007E+0	1.315726542113776E-9	128.106355311102430E-12
43.000000000000007E+0	508.560548679790290E-12	-1.834233937571361E-9
44.000000000000007E+0	1.167767635654950E-9	252.246457457391640E-12
45.000000000000007E+0	45.380010904013835E-12	236.448864069595580E-12
46.000000000000007E+0	-348.573390749672470E-12	-594.978490006325700E-12
47.000000000000007E+0	436.943742404058960E-12	-334.095737728640730E-12
48.000000000000007E+0	1.697281540128648E-9	-1.582278162632439E-9
49.000000000000007E+0	3.526852803294960E-9	1.683654955146777E-9
50.000000000000007E+0	569.131938156036810E-12	-6.340523307545522E-9
51.000000000000007E+0	-1.709326636152512E-9	-1.515953103421454E-9
52.000000000000007E+0	678.556422958658640E-12	-1.691216727796861E-9
53.000000000000007E+0	-272.161365061329550E-12	711.345356153351590E-12
54.000000000000007E+0	-1.229074880680289E-9	911.453435711393930E-12
55.000000000000007E+0	1.938340707562196E-9	5.138004584807403E-9
56.000000000000007E+0	522.228686324513960E-12	933.026661524942860E-12
57.000000000000007E+0	874.253210047630280E-12	370.426786282662370E-12
58.000000000000007E+0	1.792569321255582E-9	1.318614232875623E-9
59.000000000000007E+0	1.031732257896779E-9	2.007703109689302E-9
60.000000000000007E+0	467.078184462599250E-12	1.171809970206824E-9
61.000000000000007E+0	-343.148580801480560E-12	239.006167679981700E-12
62.000000000000007E+0	564.910367512808370E-12	-294.408051151678930E-12
63.000000000000007E+0	593.714340004590340E-12	-1.367673427018869E-9
64.000000000000014E+0	518.220121983709710E-12	-275.526598379062690E-12
65.000000000000014E+0	-1.788659518235292E-9	-712.528337264905140E-12
66.000000000000014E+0	392.607141723785540E-12	247.557809476295400E-12
67.000000000000014E+0	-218.155056899183600E-12	340.713290123213130E-12
68.000000000000014E+0	669.543055059304620E-12	-19.842955778819785E-12
69.000000000000014E+0	19.179793909981626E-12	-137.966364051518160E-12
70.000000000000014E+0	66.440613010268352E-12	-87.495113261417118E-12
71.000000000000014E+0	-235.948176569976330E-12	2.889215886627125E-9
72.000000000000014E+0	-1.072641651778143E-9	1.139793657926385E-9
73.000000000000014E+0	-1.252561914972951E-9	35.811693954259005E-12
74.000000000000014E+0	499.855630106770140E-12	-34.143777166121713E-12
75.000000000000014E+0	362.569109563945370E-12	-218.247543511629640E-12
76.000000000000014E+0	880.425358049640710E-12	-640.897871467300690E-12
77.000000000000014E+0	-107.553861028184320E-12	166.850027615909600E-12
78.000000000000014E+0	858.233948046639100E-12	-840.370302960621540E-12
