Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
20.000000000000004E+0	1.624790619265397E-9	6.431448337817224E-9
21.000000000000004E+0	4.288229742542826E-9	31.230821228879958E-9
22.000000000000004E+0	11.180017682641478E-9	8.599523257139649E-9
23.000000000000004E+0	2.073630631602597E-9	9.734280921919212E-9
24.000000000000004E+0	4.039385400103040E-9	24.561571490418419E-9
25.000000000000004E+0	1.619900443628357E-9	9.456648543541992E-9
26.000000000000004E+0	1.744705826185375E-9	18.242472839669343E-9
27.000000000000004E+0	2.150329777131347E-9	6.745478333965577E-9
28.000000000000004E+0	3.524048897400059E-9	8.844782601620221E-9
29.000000000000004E+0	13.700521591177716E-9	42.882501221230577E-9
30.000000000000004E+0	6.803873630679594E-9	2.372283113927607E-9
31.000000000000004E+0	542.351183456931270E-12	1.910934924812430E-9
32.000000000000007E+0	1.984381531600705E-9	41.840294587287062E-9
33.000000000000007E+0	975.209478276605530E-12	2.567241786807533E-9
34.000000000000007E+0	993.900628448130550E-12	891.210374623973290E-12
35.000000000000007E+0	692.406314776540170E-12	31.795387693849721E-9
36.000000000000007E+0	428.253768665651050E-12	17.638376955553657E-9
37.000000000000007E+0	678.456491552728670E-12	38.799343276103090E-9
38.000000000000007E+0	782.517319631193000E-12	2.650428128609442E-9
39.000000000000007E+0	709.469755948128760E-12	6.556580305967072E-9
40.000000000000007E+0	575.409907703717660E-12	30.066964999638065E-9
41.000000000000007E+0	1.074722845476829E-9	5.339996147470599E-9
42.000000000000007E+0	1.245301474099541E-9	4.043859503688469E-9
43.000000000000007E+0	1.272386907991158E-9	10.126278446332056E-9
44.000000000000007E+0	430.177031843815840E-12	21.881396858146046E-9
45.000000000000007E+0	412.232643625058760E-12	1.813415751463578E-9
46.000000000000007E+0	379.912727065891980E-12	8.559803974371310E-9
47.000000000000007E+0	513.235061597522640E-12	23.085591902026443E-9
48.000000000000007E+0	1.238174268803272E-9	18.941468403068523E-9
49.000000000000007E+0	6.479783008233906E-9	9.528769389408030E-9
50.000000000000007E+0	5.236245921654455E-9	24.028510045118661E-9
51.000000000000007E+0	3.524317748453900E-9	5.993174490253087E-9
52.000000000000007E+0	1.354544318460320E-9	10.197241729003698E-9
53.000000000000007E+0	1.842292949115466E-9	3.333865971019550E-9
54.000000000000007E+0	2.331536307083833E-9	3.027729036988864E-9
55.000000000000007E+0	2.258227634429379E-9	33.697283578445723E-9
56.000000000000007E+0	1.263747513830246E-9	2.679632009639259E-9
57.000000000000007E+0	3.451298241464870E-9	8.380507545352358E-9
58.000000000000007E+0	4.056492207473639E-9	25.527140376438650E-9
59.000000000000007E+0	5.641960614675637E-9	5.021532789054282E-9
60.000000000000007E+0	3.430967054174126E-9	24.015216612692689E-9
61.000000000000007E+0	1.228826640346048E-9	2.124555898024482E-9
62.000000000000007E+0	416.533134682340220E-12	8.342067008179997E-9
63.000000000000007E+0	384.773853416587410E-12	12.329124217660449E-9
64.000000000000014E+0	425.991791992045570E-12	1.398839058194675E-9
65.000000000000014E+0	364.211164156380410E-12	32.752595641990334E-9
66.000000000000014E+0	244.490524188192600E-12	2.825261673177147E-9
67.000000000000014E+0	183.051295722619510E-12	3.647934960625672E-9
68.000000000000014E+0	183.467171101885400E-12	13.743380890560076E-9
69.000000000000014E+0	303.371631768846150E-12	1.248877191833671E-9
70.000000000000014E+0	245.600524656621430E-12	249.216118229013630E-12
71.000000000000014E+0	373.303836821042730E-12	72.945813513246717E-9
72.000000000000014E+0	568.775099212145690E-12	12.472745026840491E-9
73.000000000000014E+0	370.136316744248100E-12	10.510304949505245E-9
74.000000000000014E+0	192.107861959632230E-12	27.070871215019955E-9
75.000000000000014E+0	191.720165512183720E-12	12.992486623882191E-9
76.000000000000014E+0	355.660598220895620E-12	37.995213042033926E-9
77.000000000000014E+0	149.735246402846440E-12	2.541143019088879E-9
78.000000000000014E+0	150.572616352621190E-12	28.485023979022300E-9
79.000000000000014E+0	255.781580158743220E-12	62.879891030878314E-9
80.000000000000014E+0	391.425763908047060E-12	80.413885230245910E-9
81.000000000000014E+0	348.322648367967280E-12	14.004486873406051E-9
82.000000000000014E+0	120.420781928307620E-12	138.834135285254200E-9
83.000000000000014E+0	231.590578771723560E-12	213.383205955609810E-9
84.000000000000014E+0	169.903196448811720E-12	91.702816165634624E-9
85.000000000000014E+0	479.335261067497570E-12	12.557880771000557E-9
86.000000000000014E+0	505.453748910701670E-12	184.410813460920690E-9
87.000000000000014E+0	772.229863410286710E-12	64.396871510749948E-9
88.000000000000014E+0	613.994036488264750E-12	81.311029025512214E-9
89.000000000000014E+0	193.355535650087140E-12	212.173213145032830E-9
90.000000000000014E+0	326.403095599854380E-12	499.270661793273260E-9
91.000000000000014E+0	288.284101006062840E-12	484.704446881153470E-9
92.000000000000014E+0	369.445334649820840E-12	402.421332271434030E-9
93.000000000000014E+0	218.840170829569740E-12	367.697399914097870E-9
94.000000000000014E+0	249.495290107158380E-12	197.571722387056090E-9
95.000000000000014E+0	536.467078794150810E-12	115.801542582246500E-9
96.000000000000014E+0	395.462213713281620E-12	101.250959058656620E-9
97.000000000000014E+0	324.758668945000400E-12	254.401140766468320E-9
98.000000000000014E+0	310.409751910851930E-12	685.079855281078240E-9
99.000000000000014E+0	408.014455386242690E-12	138.023763812860100E-9
100.000000000000010E+0	204.842679992960880E-12	615.821571606365690E-9
101.000000000000010E+0	172.263854062908660E-12	850.958261110677010E-9
102.000000000000010E+0	286.649139892661720E-12	232.305685017794110E-9
103.000000000000010E+0	332.542134526521580E-12	742.874539068292860E-9
104.000000000000010E+0	168.008786345861950E-12	402.143714902387030E-9
105.000000000000010E+0	110.938840424235570E-12	626.332362680225280E-9
106.000000000000010E+0	186.905201538002480E-12	974.142042311792150E-9
107.000000000000010E+0	242.245389047135450E-12	110.757450072831710E-9
108.000000000000010E+0	226.864729224414240E-12	621.075859614271110E-9
109.000000000000010E+0	152.351302865546140E-12	2.345295463219429E-6
110.000000000000010E+0	181.497698651598880E-12	3.018154767143940E-6
111.000000000000010E+0	141.878513409822080E-12	2.740530586719869E-6
112.000000000000010E+0	62.574724653505626E-12	48.903002978726300E-9
113.000000000000010E+0	79.440224392291529E-12	165.102890126193130E-9
114.000000000000010E+0	207.937000000603310E-12	2.015275832923289E-6
115.000000000000010E+0	279.183763033397050E-12	843.509440308478910E-9
116.000000000000010E+0	173.829744636077610E-12	1.143939657878100E-6
117.000000000000010E+0	142.861770330905500E-12	2.080263442668888E-6
118.000000000000010E+0	231.181831614243280E-12	974.591115303094240E-9
119.000000000000010E+0	182.379787170827950E-12	2.090828984830020E-6
120.000000000000010E+0	81.342187545983823E-12	459.266010730445630E-9
121.000000000000010E+0	96.510868345905847E-12	3.709413918661966E-6
122.000000000000010E+0	95.079135157837015E-12	3.633600995730023E-6
123.000000000000010E+0	100.732936658578710E-12	1.446262497363474E-6
124.000000000000010E+0	210.215796349868220E-12	7.173491626153538E-6
125.000000000000010E+0	148.157862917362120E-12	7.469157145020673E-6
126.000000000000010E+0	158.958075821216660E-12	7.626573882738202E-6
127.000000000000010E+0	162.552269635072060E-12	1.970172746709149E-6
128.000000000000030E+0	151.435806725292040E-12	971.377593663308810E-9
129.000000000000030E+0	230.985310456280600E-12	3.393801092446917E-6
130.000000000000030E+0	261.183790967829440E-12	2.347554963015869E-6
131.000000000000030E+0	113.843577774759650E-12	1.840451322129788E-6
132.000000000000030E+0	196.330553489848510E-12	28.186730843972632E-6
133.000000000000030E+0	228.027609228022770E-12	15.164114203020603E-6
134.000000000000030E+0	172.278022412106580E-12	1.377627485828464E-6
135.000000000000030E+0	317.893802294342330E-12	3.429200710782633E-6
136.000000000000030E+0	252.854129093527770E-12	9.814185434075153E-6
137.000000000000030E+0	321.922008071556270E-12	3.811018534014112E-6
138.000000000000030E+0	187.441077561129130E-12	2.998981574925097E-6
139.000000000000030E+0	80.973510907540087E-12	16.423237692909512E-6
140.000000000000030E+0	45.464967933079876E-12	22.370742777658344E-6
141.000000000000030E+0	155.995267007747780E-12	2.100884292331200E-6
