Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
20.000000000000004E+0	46.339257707963884E-3	7.276695100153114E+0
21.000000000000004E+0	66.847594707059241E-3	8.525250199922132E+0
22.000000000000004E+0	201.046020555007840E-3	8.529981350560274E+0
23.000000000000004E+0	137.651971912581270E-3	6.131931579090661E+0
24.000000000000004E+0	79.093474707071967E-3	7.812470309743022E+0
25.000000000000004E+0	48.854771861569515E-3	5.328715418105652E+0
26.000000000000004E+0	75.047689683623076E-3	6.053709566400587E+0
27.000000000000004E+0	314.920427224603230E-3	7.295846441167654E+0
28.000000000000004E+0	216.162347282317760E-3	8.622593180653887E+0
29.000000000000004E+0	199.103408076325090E-3	10.440246291164726E+0
30.000000000000004E+0	746.724656139828630E-3	10.834069092392291E+0
31.000000000000004E+0	352.475872785285860E-3	10.795152013630336E+0
32.000000000000007E+0	181.142185179457270E-3	11.154618306192086E+0
33.000000000000007E+0	383.522151884443720E-3	11.774364184397392E+0
34.000000000000007E+0	336.426915541876430E-3	13.791664540877059E+0
35.000000000000007E+0	65.575569092467145E-3	14.797889423613515E+0
36.000000000000007E+0	18.963163689905246E-3	13.824762694671321E+0
37.000000000000007E+0	54.122199556518952E-3	13.569289062713668E+0
38.000000000000007E+0	141.022674823574940E-3	15.745362555743821E+0
39.000000000000007E+0	102.583628024601320E-3	17.376127843538004E+0
40.000000000000007E+0	47.298569071194708E-3	15.069563236733384E+0
41.000000000000007E+0	50.169967802423672E-3	15.950968260792491E+0
42.000000000000007E+0	326.902652937062110E-3	18.946615470503819E+0
43.000000000000007E+0	187.969409411086250E-3	17.549226122132673E+0
44.000000000000007E+0	54.598918378437465E-3	19.062294777816881E+0
45.000000000000007E+0	132.768352785517570E-3	20.230734814690958E+0
46.000000000000007E+0	80.558751295512654E-3	23.031988230360891E+0
47.000000000000007E+0	23.825950806084798E-3	24.479949061483694E+0
48.000000000000007E+0	122.504983479342360E-3	24.382395414954221E+0
49.000000000000007E+0	410.138774049924440E-3	25.578131016754714E+0
50.000000000000007E+0	264.935902715498220E-3	23.651466026692383E+0
51.000000000000007E+0	381.219091357668020E-3	22.716662839462497E+0
52.000000000000007E+0	178.701839337251730E-3	23.943505844220482E+0
53.000000000000007E+0	228.453237142587860E-3	27.068955309465249E+0
54.000000000000007E+0	505.380224479918820E-3	27.636245443233609E+0
55.000000000000007E+0	162.964803246860750E-3	26.342790891099177E+0
56.000000000000007E+0	399.022735995535390E-3	26.193266491545280E+0
57.000000000000007E+0	113.297648787020740E-3	25.533515778047956E+0
58.000000000000007E+0	87.174661141116619E-3	25.766962546479846E+0
59.000000000000007E+0	449.521449123242540E-3	26.228842273111603E+0
60.000000000000007E+0	52.527848163919963E-3	26.324242537780989E+0
61.000000000000007E+0	196.831940206380120E-3	27.665954533417942E+0
62.000000000000007E+0	76.362871876345370E-3	24.652310157429348E+0
63.000000000000007E+0	120.931703857937000E-3	23.971502507819967E+0
64.000000000000014E+0	419.571578829545100E-3	24.644073000356542E+0
65.000000000000014E+0	58.784867064038140E-3	22.370239362074344E+0
66.000000000000014E+0	164.281860073095170E-3	19.412135160004262E+0
67.000000000000014E+0	110.903939569420610E-3	20.989870612337462E+0
68.000000000000014E+0	48.738882693659814E-3	18.819928029559303E+0
69.000000000000014E+0	111.534707005235840E-3	17.416892183674371E+0
70.000000000000014E+0	440.831894376387420E-3	17.928226586848755E+0
71.000000000000014E+0	39.739556057541231E-3	20.501836549548951E+0
72.000000000000014E+0	125.485484926967460E-3	21.175407650514522E+0
73.000000000000014E+0	119.223348717771280E-3	21.962565604146079E+0
74.000000000000014E+0	18.507731179323483E-3	25.064539892876059E+0
75.000000000000014E+0	32.571772183996005E-3	24.590891025185165E+0
76.000000000000014E+0	28.661238153726853E-3	24.503507878997151E+0
77.000000000000014E+0	78.118929284113181E-3	27.276117149879337E+0
78.000000000000014E+0	42.168158401884689E-3	24.357859338634785E+0
79.000000000000014E+0	57.944431474975772E-3	23.590177045304589E+0
80.000000000000014E+0	52.319806657754118E-3	24.407957734737352E+0
81.000000000000014E+0	85.509188659184096E-3	22.511267351820258E+0
82.000000000000014E+0	14.206532871674218E-3	22.447509860424940E+0
83.000000000000014E+0	10.729913456195079E-3	23.483394376471917E+0
84.000000000000014E+0	17.677065577335803E-3	26.296331580917656E+0
85.000000000000014E+0	128.959861882355700E-3	26.310587358812288E+0
86.000000000000014E+0	32.890631032563303E-3	24.292526526364217E+0
87.000000000000014E+0	70.746921040533539E-3	24.133976279749824E+0
88.000000000000014E+0	64.110792742825357E-3	25.175337401508948E+0
89.000000000000014E+0	22.247277994329729E-3	27.892663772923939E+0
