Freq (Hz)	Coh_Microphone/Source
211.000000000000030E+0	366.751604086980490E-3
212.000000000000030E+0	86.527577856812102E-3
213.000000000000030E+0	739.286522402841540E-3
214.000000000000030E+0	941.580589682618040E-3
215.000000000000030E+0	13.297120976688361E-3
216.000000000000030E+0	430.772925032127880E-3
217.000000000000030E+0	429.971762236854070E-3
218.000000000000030E+0	693.448954613339550E-3
219.000000000000030E+0	345.798458587159570E-3
220.000000000000030E+0	498.770979909002430E-3
221.000000000000030E+0	661.897031087046340E-3
222.000000000000030E+0	413.969910735123350E-3
223.000000000000030E+0	90.507052961591880E-3
224.000000000000030E+0	762.508173994378870E-3
225.000000000000030E+0	511.526622842270790E-3
226.000000000000030E+0	174.885707511251790E-3
227.000000000000030E+0	392.596302417671900E-3
228.000000000000030E+0	367.716018989765640E-3
229.000000000000030E+0	335.244404847116710E-3
230.000000000000030E+0	397.706056039365540E-3
231.000000000000030E+0	537.651931752201050E-3
232.000000000000030E+0	508.651709730316930E-3
233.000000000000030E+0	480.783101719562290E-3
234.000000000000030E+0	109.715389939973250E-3
235.000000000000030E+0	598.688551691902830E-3
236.000000000000030E+0	649.106910533301160E-3
237.000000000000030E+0	528.894931355813220E-3
238.000000000000030E+0	161.006253780399900E-3
239.000000000000030E+0	208.368021713839250E-3
240.000000000000030E+0	523.864091159040870E-3
241.000000000000030E+0	694.796936764162650E-3
242.000000000000030E+0	103.264233952515150E-3
243.000000000000030E+0	11.257762687560300E-3
244.000000000000030E+0	744.853354579619990E-3
245.000000000000030E+0	731.597965338728670E-3
246.000000000000030E+0	473.372761721145780E-3
247.000000000000030E+0	473.758436357356540E-3
248.000000000000030E+0	755.853529958762650E-3
249.000000000000030E+0	217.559502022014740E-3
250.000000000000030E+0	268.946907856834230E-3
251.000000000000030E+0	690.951281941184710E-3
252.000000000000030E+0	342.206156058419970E-3
253.000000000000030E+0	622.710477432183000E-3
254.000000000000030E+0	743.105927437256560E-3
255.000000000000030E+0	839.714781068186310E-3
256.000000000000060E+0	832.981027040888610E-3
257.000000000000060E+0	163.388621748591390E-3
258.000000000000060E+0	615.496881405751090E-3
259.000000000000060E+0	715.842398720700660E-3
260.000000000000060E+0	271.137046386305150E-3
261.000000000000060E+0	206.662619595104760E-3
262.000000000000060E+0	182.799256959762040E-3
263.000000000000060E+0	618.506875995991300E-3
264.000000000000060E+0	504.772587070259520E-3
265.000000000000060E+0	269.574122182499650E-3
266.000000000000060E+0	520.648398287888110E-3
267.000000000000060E+0	462.993493733051040E-3
268.000000000000060E+0	179.683155304960180E-3
269.000000000000060E+0	103.219535656073820E-3
270.000000000000060E+0	468.498911742375730E-3
271.000000000000060E+0	406.605442057438260E-3
272.000000000000060E+0	505.345237476896410E-3
273.000000000000060E+0	42.280161653962853E-3
274.000000000000060E+0	750.895591450983950E-3
275.000000000000060E+0	594.531917108806370E-3
276.000000000000060E+0	160.898891735866690E-3
277.000000000000060E+0	395.304902274901670E-3
278.000000000000060E+0	369.604952230800370E-3
279.000000000000060E+0	274.875317749155580E-3
280.000000000000060E+0	184.734243901546970E-3
281.000000000000060E+0	940.615965746307350E-3
282.000000000000060E+0	849.360180748132020E-3
283.000000000000060E+0	19.770683527269427E-3
284.000000000000060E+0	765.254704181481450E-3
285.000000000000060E+0	544.809077109157160E-3
286.000000000000060E+0	9.683061872406931E-3
287.000000000000060E+0	176.853069253069570E-3
288.000000000000060E+0	148.320850005158070E-3
289.000000000000060E+0	83.181507693204010E-3
290.000000000000060E+0	155.287378670336730E-3
291.000000000000060E+0	71.108755779007896E-3
292.000000000000060E+0	158.879823134204540E-3
293.000000000000060E+0	227.245398862540910E-3
294.000000000000060E+0	40.628064173669869E-3
295.000000000000060E+0	280.449339002665890E-3
296.000000000000060E+0	337.506297930723790E-3
297.000000000000060E+0	194.643636322668790E-3
298.000000000000060E+0	271.193620067069820E-3
299.000000000000060E+0	632.240635646181710E-3
300.000000000000060E+0	576.824191472437350E-3
301.000000000000060E+0	91.064888183894410E-3
302.000000000000060E+0	299.628863036077050E-3
303.000000000000060E+0	474.077401781257400E-3
304.000000000000060E+0	513.735831357669310E-3
305.000000000000060E+0	13.518927378211745E-3
306.000000000000060E+0	198.603225069845730E-3
307.000000000000060E+0	213.518867814973590E-3
308.000000000000060E+0	427.188037764395840E-3
309.000000000000060E+0	244.469080685447480E-3
310.000000000000060E+0	229.026195742859290E-3
311.000000000000060E+0	431.142827556339370E-3
312.000000000000060E+0	270.305503439661810E-3
313.000000000000060E+0	238.830099766024820E-3
314.000000000000060E+0	221.444480495022880E-3
315.000000000000060E+0	203.787510939792780E-3
316.000000000000060E+0	262.180816712526580E-3
317.000000000000060E+0	106.544285900664200E-3
318.000000000000060E+0	407.716570988193080E-3
