Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
50.000000000000007E+0	43.160208646562080E-3	44.993808376622127E+0
51.000000000000007E+0	117.261028745164020E-3	46.527510905982723E+0
52.000000000000007E+0	50.059479633894115E-3	49.502928973976232E+0
53.000000000000007E+0	167.034228503910390E-3	51.241663964529714E+0
54.000000000000007E+0	100.992646580619890E-3	48.495424660328929E+0
55.000000000000007E+0	16.109448193864166E-3	49.634359044184187E+0
56.000000000000007E+0	538.694655202436760E-3	46.693393302608626E+0
57.000000000000007E+0	176.001559804646570E-3	45.183829523867153E+0
58.000000000000007E+0	155.635786112602590E-3	43.137106671978337E+0
59.000000000000007E+0	1.265995683258364E+0	41.661784988494603E+0
60.000000000000007E+0	127.114798893183280E-3	43.237602892101236E+0
61.000000000000007E+0	69.869310859304409E-3	45.716234223288133E+0
62.000000000000007E+0	12.285127338663760E-3	48.501539179692017E+0
63.000000000000007E+0	7.720698365400395E-3	51.366025522376496E+0
64.000000000000014E+0	43.016033008860678E-3	49.498565216045939E+0
65.000000000000014E+0	13.368700353000808E-3	46.438310831024673E+0
66.000000000000014E+0	67.483874116341894E-3	43.973284340624595E+0
67.000000000000014E+0	63.220661054406449E-3	41.019477560604571E+0
68.000000000000014E+0	19.796530057069932E-3	38.565131011158719E+0
69.000000000000014E+0	37.652822742189798E-3	37.435192070846597E+0
70.000000000000014E+0	70.366861660439650E-3	34.902313649680316E+0
71.000000000000014E+0	14.361258021054309E-3	31.813566578006004E+0
72.000000000000014E+0	178.669461732470310E-3	34.113591836625972E+0
73.000000000000014E+0	67.527904277913525E-3	31.762529344419480E+0
74.000000000000014E+0	23.368414970627631E-3	34.478974614663272E+0
75.000000000000014E+0	30.850277684405444E-3	37.282127497914018E+0
76.000000000000014E+0	23.800137996580369E-3	36.525129029216103E+0
77.000000000000014E+0	70.337012329042992E-3	33.406330277698359E+0
78.000000000000014E+0	71.704135869915808E-3	31.073186457830914E+0
79.000000000000014E+0	59.658583995309336E-3	30.668768421393182E+0
80.000000000000014E+0	27.229940434609537E-3	32.467170395486427E+0
81.000000000000014E+0	31.578199412764477E-3	30.069480269226940E+0
82.000000000000014E+0	16.620321523047005E-3	29.058000762674258E+0
83.000000000000014E+0	20.183514111368657E-3	29.546455843649472E+0
84.000000000000014E+0	39.834049861933375E-3	29.241899995341917E+0
85.000000000000014E+0	40.386414364954819E-3	31.258204575516416E+0
86.000000000000014E+0	23.630288475871244E-3	29.893501608866408E+0
87.000000000000014E+0	47.287692546983458E-3	30.209707009602862E+0
88.000000000000014E+0	12.403123831000663E-3	29.993951134113011E+0
89.000000000000014E+0	3.126906077521257E-3	28.137159971668492E+0
90.000000000000014E+0	11.004975373305957E-3	28.805151883803909E+0
91.000000000000014E+0	7.096796293900590E-3	28.689970592843139E+0
92.000000000000014E+0	7.397444682604896E-3	30.429769157918006E+0
93.000000000000014E+0	7.290485545789275E-3	31.747963614830958E+0
94.000000000000014E+0	11.598348258110432E-3	34.313064460507910E+0
95.000000000000014E+0	14.913471322644348E-3	34.554304263432577E+0
96.000000000000014E+0	15.672407554494304E-3	34.513799058966654E+0
97.000000000000014E+0	8.617033285025373E-3	34.276457514553741E+0
98.000000000000014E+0	5.032134217300189E-3	34.083929754350144E+0
99.000000000000014E+0	9.355765111789378E-3	33.303488052145184E+0
100.000000000000010E+0	8.721513377982623E-3	30.661593285905813E+0
101.000000000000010E+0	11.565075161037762E-3	30.818366814296205E+0
102.000000000000010E+0	15.856390062276363E-3	32.152180440894291E+0
103.000000000000010E+0	3.280737616220579E-3	34.076132067680049E+0
104.000000000000010E+0	518.984508678831480E-6	33.828647041628052E+0
105.000000000000010E+0	4.461334768267346E-3	35.759860951289042E+0
