Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
20.000000000000004E+0	500.957016698276800E-12	10.442828053845565E-9
21.000000000000004E+0	9.882538820398803E-9	36.275720265134749E-9
22.000000000000004E+0	10.989283937024433E-9	10.426892810593820E-9
23.000000000000004E+0	1.483152155254388E-9	21.109503563266440E-9
24.000000000000004E+0	2.737309434521833E-9	31.962085831553164E-9
25.000000000000004E+0	2.566751961111814E-9	8.000946809374259E-9
26.000000000000004E+0	2.903772442136795E-9	46.333189339795578E-9
27.000000000000004E+0	3.283934592669813E-9	12.164991111005028E-9
28.000000000000004E+0	3.639580162700924E-9	10.443929523951315E-9
29.000000000000004E+0	10.338644112555281E-9	62.412715399923551E-9
30.000000000000004E+0	2.557465107392488E-9	449.953436500483070E-12
31.000000000000004E+0	1.737922117429028E-9	1.694733490734795E-9
32.000000000000007E+0	308.810585081729490E-12	48.151277745351682E-9
33.000000000000007E+0	209.302408922372620E-12	3.319246800627756E-9
34.000000000000007E+0	451.154338437376860E-12	7.537154750453115E-9
35.000000000000007E+0	331.161650263949950E-12	40.715333940231070E-9
36.000000000000007E+0	535.843661908080630E-12	7.610805972571234E-9
37.000000000000007E+0	390.675329060321140E-12	50.990885593315652E-9
38.000000000000007E+0	272.451475443557130E-12	17.408995594762272E-9
39.000000000000007E+0	212.953909972018830E-12	2.832430763973580E-9
40.000000000000007E+0	283.059356992922290E-12	46.539902862152055E-9
41.000000000000007E+0	557.631155307744630E-12	5.911912857415057E-9
42.000000000000007E+0	802.245285615717550E-12	6.517700945810167E-9
43.000000000000007E+0	763.922367772441790E-12	17.793307187022805E-9
44.000000000000007E+0	735.317674665994170E-12	33.040624629345993E-9
45.000000000000007E+0	718.558250540849260E-12	2.307837587035531E-9
46.000000000000007E+0	767.178339152346640E-12	20.944441952111540E-9
47.000000000000007E+0	610.877208658998200E-12	41.287542186324496E-9
48.000000000000007E+0	1.224317882777091E-9	16.424097947403009E-9
49.000000000000007E+0	6.861988853123567E-9	31.407154106525313E-9
50.000000000000007E+0	3.195391835174780E-9	9.729055562524157E-9
51.000000000000007E+0	5.614273910165513E-9	28.462881180253951E-9
52.000000000000007E+0	2.700090230783079E-9	26.094207141528156E-9
53.000000000000007E+0	699.528782722280660E-12	3.385439365404408E-9
54.000000000000007E+0	969.926420724979710E-12	13.210248512098822E-9
55.000000000000007E+0	1.004473737151577E-9	47.141021745797258E-9
56.000000000000007E+0	2.245735831349587E-9	3.331889063675300E-9
57.000000000000007E+0	3.768075854153752E-9	17.568541087354821E-9
58.000000000000007E+0	3.162312722452483E-9	44.785475129655548E-9
59.000000000000007E+0	4.173549551382946E-9	709.823510354366400E-12
60.000000000000007E+0	3.294128221341108E-9	36.329304761581151E-9
61.000000000000007E+0	859.131561683935440E-12	16.013098842888151E-9
62.000000000000007E+0	567.824676858102690E-12	20.386914014450863E-9
63.000000000000007E+0	311.717660179233760E-12	26.031419818255272E-9
64.000000000000014E+0	231.090177318644340E-12	3.268851860084798E-9
65.000000000000014E+0	177.620102246816530E-12	56.884301158295881E-9
66.000000000000014E+0	238.906313462165650E-12	14.146341439188240E-9
67.000000000000014E+0	200.478336037221610E-12	19.411361824071466E-9
68.000000000000014E+0	157.533935393195110E-12	19.332761184077235E-9
69.000000000000014E+0	162.212503732384710E-12	10.117200892492765E-9
70.000000000000014E+0	148.964158278159670E-12	4.368436833073703E-9
71.000000000000014E+0	144.034473788739370E-12	83.028016219479259E-9
72.000000000000014E+0	194.583262004219420E-12	1.229494759110924E-9
73.000000000000014E+0	160.922318266516440E-12	15.412896054452820E-9
74.000000000000014E+0	95.321770344971151E-12	59.764860385939261E-9
75.000000000000014E+0	107.540061654382230E-12	18.057361788951263E-9
76.000000000000014E+0	141.478825599856180E-12	39.850865071711348E-9
77.000000000000014E+0	181.908468571502510E-12	16.714240273108966E-9
78.000000000000014E+0	300.818118789150790E-12	26.783041535576066E-9
79.000000000000014E+0	312.972519055552640E-12	28.941923563076991E-9
80.000000000000014E+0	189.231140848511680E-12	106.885384705477950E-9
81.000000000000014E+0	157.338814907116090E-12	31.953406456469502E-9
82.000000000000014E+0	164.479038366908790E-12	135.345280350826100E-9
83.000000000000014E+0	202.691091873029720E-12	209.269037823872120E-9
84.000000000000014E+0	210.697767848757270E-12	54.891805942264948E-9
85.000000000000014E+0	135.092125001145700E-12	14.700735446387900E-9
86.000000000000014E+0	155.604458927580010E-12	199.293307929669970E-9
87.000000000000014E+0	172.360015432744420E-12	26.661603569719737E-9
88.000000000000014E+0	304.858803757156340E-12	106.815657056563250E-9
89.000000000000014E+0	136.356812393869260E-12	208.746481208618290E-9
90.000000000000014E+0	125.198811216114490E-12	368.142224130545650E-9
91.000000000000014E+0	179.664427007205630E-12	492.490716191219210E-9
92.000000000000014E+0	100.884923437171740E-12	329.532884273205490E-9
93.000000000000014E+0	75.496364628064661E-12	350.275935859089830E-9
94.000000000000014E+0	129.434904906281280E-12	187.556257025710520E-9
95.000000000000014E+0	141.693584420454410E-12	85.622957050829906E-9
96.000000000000014E+0	85.492537106579589E-12	62.045892355686648E-9
97.000000000000014E+0	125.282876346676210E-12	208.036268976732400E-9
98.000000000000014E+0	164.994759389848550E-12	823.114015243520090E-9
99.000000000000014E+0	140.095172500723950E-12	209.899203825243090E-9
100.000000000000010E+0	247.920708619513070E-12	626.489669204338820E-9
101.000000000000010E+0	170.894820236706450E-12	598.602945196178090E-9
102.000000000000010E+0	78.853273984379658E-12	163.653314988307310E-9
103.000000000000010E+0	39.493248675014184E-12	927.156424212868700E-9
104.000000000000010E+0	50.134011254920845E-12	581.959424444752840E-9
105.000000000000010E+0	72.257019259780526E-12	631.423992960627900E-9
106.000000000000010E+0	117.196052049087450E-12	1.109170976666099E-6
107.000000000000010E+0	213.964475744046000E-12	225.870315954747910E-9
108.000000000000010E+0	117.247976697434490E-12	458.128500292428440E-9
109.000000000000010E+0	43.983562353170108E-12	2.331180762502942E-6
110.000000000000010E+0	65.053318243357622E-12	2.266129284824030E-6
111.000000000000010E+0	106.820977940099120E-12	2.957666365287975E-6
112.000000000000010E+0	76.521231635596837E-12	18.932368879113703E-9
113.000000000000010E+0	106.153529024562290E-12	133.405541165354890E-9
114.000000000000010E+0	107.046054260171340E-12	2.471584039578231E-6
115.000000000000010E+0	62.810036902943192E-12	982.383446899691290E-9
116.000000000000010E+0	69.935568081178840E-12	1.091516870555526E-6
117.000000000000010E+0	80.588119423069521E-12	2.728998900037858E-6
118.000000000000010E+0	42.400985346722716E-12	1.232848212430468E-6
119.000000000000010E+0	35.307841021659394E-12	1.635516796635311E-6
120.000000000000010E+0	88.957931522144498E-12	451.626120372694530E-9
121.000000000000010E+0	19.576930642918257E-12	4.313387927947604E-6
122.000000000000010E+0	24.849993694144944E-12	4.819093999582132E-6
123.000000000000010E+0	34.181533920772775E-12	1.866194265966516E-6
124.000000000000010E+0	104.196484447319890E-12	6.749543784170271E-6
125.000000000000010E+0	106.632588313249720E-12	6.666947555220357E-6
126.000000000000010E+0	73.682757949759389E-12	8.544501867117871E-6
127.000000000000010E+0	87.732546266540237E-12	2.693166585647741E-6
128.000000000000030E+0	78.206527568639262E-12	1.144366105360648E-6
129.000000000000030E+0	81.321193734229688E-12	4.013367489718533E-6
130.000000000000030E+0	67.274811416743476E-12	1.922508591316619E-6
131.000000000000030E+0	49.657501634773217E-12	2.739759654883264E-6
132.000000000000030E+0	48.413833746910360E-12	31.182435781703645E-6
133.000000000000030E+0	56.626939836503332E-12	13.431528915737086E-6
134.000000000000030E+0	43.143374591997223E-12	2.055728136789289E-6
135.000000000000030E+0	42.653123222274186E-12	4.243706741672852E-6
136.000000000000030E+0	105.475334929635400E-12	9.175171061458812E-6
137.000000000000030E+0	59.494017646007138E-12	3.772658658924048E-6
138.000000000000030E+0	24.970287883984846E-12	3.139747756394187E-6
139.000000000000030E+0	19.671161563589371E-12	17.190715613011329E-6
140.000000000000030E+0	25.065504907308613E-12	23.991751795669631E-6
141.000000000000030E+0	44.301452625254939E-12	2.320413568654982E-6
142.000000000000030E+0	22.740715004503520E-12	13.669624202121427E-6
143.000000000000030E+0	30.993959402603686E-12	24.880916969609106E-6
144.000000000000030E+0	41.717792311302177E-12	15.050731178328658E-6
145.000000000000030E+0	23.673249078831717E-12	9.017065361281764E-6
146.000000000000030E+0	21.822180234918341E-12	2.230080062609076E-6
147.000000000000030E+0	60.057954212633115E-12	7.855684433078972E-6
148.000000000000030E+0	79.920646619259697E-12	11.235278749751515E-6
149.000000000000030E+0	60.026254205122317E-12	36.243956377110859E-6
150.000000000000030E+0	66.781386884599303E-12	64.143131610985333E-6
151.000000000000030E+0	91.650213770133974E-12	15.273277903110827E-6
152.000000000000030E+0	69.118713783113111E-12	9.138540716317635E-6
153.000000000000030E+0	69.581372518757439E-12	4.097202339725104E-6
154.000000000000030E+0	72.612042858321026E-12	4.240072094377631E-6
155.000000000000030E+0	41.949274723115775E-12	38.703802442976912E-6
156.000000000000030E+0	29.804537386628766E-12	39.877213089507869E-6
157.000000000000030E+0	77.234668901604903E-12	39.205977284952591E-6
158.000000000000030E+0	26.284459147544394E-12	6.355565412845906E-6
159.000000000000030E+0	40.318597785381703E-12	5.943699447901863E-6
160.000000000000030E+0	36.085459754903907E-12	44.663843004084727E-6
161.000000000000030E+0	59.118517564413923E-12	18.164867631368075E-6
162.000000000000030E+0	69.111146432456522E-12	4.522559930460605E-6
163.000000000000030E+0	142.201742389788360E-12	547.686662946592320E-9
164.000000000000030E+0	109.348017447572390E-12	1.368584827887160E-6
165.000000000000030E+0	69.506032215953229E-12	14.387644483294931E-6
166.000000000000030E+0	43.270619584937369E-12	32.866675665884279E-6
167.000000000000030E+0	37.103014952520552E-12	189.504107749412890E-6
168.000000000000030E+0	77.142620462443507E-12	209.627210939670180E-6
169.000000000000030E+0	96.245830352460031E-12	38.543428985807774E-6
170.000000000000030E+0	67.086927536554518E-12	36.321611507851449E-6
171.000000000000030E+0	38.944106106458935E-12	28.288018646414691E-6
172.000000000000030E+0	27.834830527129258E-12	61.723830045392139E-6
173.000000000000030E+0	31.017982788647332E-12	78.855013995096494E-6
174.000000000000030E+0	42.428247091043219E-12	36.305918248611458E-6
175.000000000000030E+0	59.113607226905437E-12	64.466258803415577E-6
176.000000000000030E+0	41.696760622716841E-12	28.675199623724464E-6
177.000000000000030E+0	48.893569306129764E-12	3.311572581454115E-6
178.000000000000030E+0	82.319902457159927E-12	89.599497599972085E-6
179.000000000000030E+0	100.382288398125930E-12	123.059774412788520E-6
180.000000000000030E+0	60.933616907106897E-12	20.898270001247026E-6
181.000000000000030E+0	56.793241534980355E-12	75.511765493323449E-6
182.000000000000030E+0	36.579833164797751E-12	25.851495913907968E-6
183.000000000000030E+0	68.926167002293596E-12	17.516696526694374E-6
184.000000000000030E+0	113.785514463268610E-12	18.766193175945813E-6
185.000000000000030E+0	89.387730184848794E-12	49.437770281497035E-6
186.000000000000030E+0	45.805454473974285E-12	87.315186078300013E-6
