Freq (Hz)	Microphone/Source_Real	Microphone/Source_Imag
20.000000000000004E+0	132.534172058486080E-3	26.136520199878496E-3
21.000000000000004E+0	36.853655803855162E-3	511.248915024322350E-3
22.000000000000004E+0	585.155800493732720E-3	784.822881359193090E-3
23.000000000000004E+0	-213.791396711649840E-3	25.702218493929334E-3
24.000000000000004E+0	-96.578141951096041E-3	-61.116560383122638E-3
25.000000000000004E+0	-26.439747876507581E-3	10.605138784237737E-3
26.000000000000004E+0	-27.322195117647136E-3	35.696873815902252E-3
27.000000000000004E+0	38.787269385997879E-3	-192.448361325775920E-3
28.000000000000004E+0	178.751280246852770E-3	190.677722177504420E-3
29.000000000000004E+0	-76.223986196264401E-3	-230.837880676473340E-3
30.000000000000004E+0	754.371207789496730E-3	-308.026351264932050E-3
31.000000000000004E+0	-320.552411675373240E-3	265.188316279600270E-3
32.000000000000007E+0	8.285328437312896E-3	-11.774584117718560E-3
33.000000000000007E+0	147.751128249900660E-3	-9.347937584264799E-3
34.000000000000007E+0	3.641263965075871E-3	25.513495594049640E-3
35.000000000000007E+0	-63.530688218216891E-3	-25.342236428504198E-3
36.000000000000007E+0	118.780687346998870E-3	-161.849478937761890E-3
37.000000000000007E+0	7.478859469212542E-3	-55.041932297877655E-3
38.000000000000007E+0	40.272435507179218E-3	-1.330743198696823E-3
39.000000000000007E+0	-32.622486590435859E-3	119.648214743251570E-3
40.000000000000007E+0	-31.662600766527355E-3	-20.357418593448938E-3
41.000000000000007E+0	82.279293301490877E-3	-60.655950510071985E-3
42.000000000000007E+0	83.205954371824709E-3	41.526578892531141E-3
43.000000000000007E+0	-27.908953155624729E-3	32.828692072403930E-3
44.000000000000007E+0	-21.495566254395644E-3	-91.154910345026832E-3
45.000000000000007E+0	-208.731771222859800E-3	9.987287655240880E-3
46.000000000000007E+0	-63.104060044149646E-3	-84.205637308482004E-3
47.000000000000007E+0	75.200865982610734E-3	14.119225922692751E-3
48.000000000000007E+0	51.884134560529226E-3	-4.412151024728011E-3
49.000000000000007E+0	18.234491041168012E-3	-3.325735365300606E-3
50.000000000000007E+0	22.899959037834861E-3	36.584087886405721E-3
51.000000000000007E+0	-97.018823425375350E-3	65.859674790648789E-3
52.000000000000007E+0	36.196733210150829E-3	-34.579589444199942E-3
53.000000000000007E+0	93.570858771944584E-3	138.365197504926620E-3
54.000000000000007E+0	-19.991036734177684E-3	-98.994308491199390E-3
55.000000000000007E+0	13.006206985514576E-3	-9.505414297164816E-3
56.000000000000007E+0	-489.543433429833750E-3	224.809159798710490E-3
57.000000000000007E+0	63.524084138572995E-3	164.137868232848950E-3
58.000000000000007E+0	103.278164262906760E-3	-116.430746391886680E-3
59.000000000000007E+0	-862.688466575464390E-3	-926.560132784961740E-3
60.000000000000007E+0	93.466895420951490E-3	-86.151677627445813E-3
61.000000000000007E+0	-11.348036952927451E-3	68.941588734733300E-3
62.000000000000007E+0	-2.358108986975868E-3	-12.056685934896345E-3
63.000000000000007E+0	3.498341626614256E-3	6.882644049563674E-3
64.000000000000014E+0	30.973835308673765E-3	-29.849633533605497E-3
65.000000000000014E+0	-10.348077491950823E-3	8.464008586296727E-3
66.000000000000014E+0	67.481133252464534E-3	-608.211076357718100E-6
67.000000000000014E+0	-62.213088726134666E-3	-11.242044979016926E-3
68.000000000000014E+0	12.825461028555139E-3	15.080124392904940E-3
69.000000000000014E+0	36.349088461184613E-3	-9.822363691889076E-3
70.000000000000014E+0	-66.225416189971353E-3	-23.784227345123754E-3
71.000000000000014E+0	13.240755893397608E-3	5.561305181227987E-3
72.000000000000014E+0	-161.351365894502080E-3	76.736648869684038E-3
73.000000000000014E+0	63.512166988483193E-3	22.939540112959476E-3
74.000000000000014E+0	-23.296369221309881E-3	1.833575562625973E-3
75.000000000000014E+0	28.206854714678185E-3	-12.494518010310028E-3
76.000000000000014E+0	9.198311160381660E-3	-21.950800451306252E-3
77.000000000000014E+0	-28.655436446330000E-3	64.235202696389840E-3
78.000000000000014E+0	67.533633088982109E-3	-24.097541423433375E-3
79.000000000000014E+0	43.766912402965479E-3	-40.541386545560151E-3
80.000000000000014E+0	13.519439704714968E-3	23.636717330098100E-3
81.000000000000014E+0	7.025289100011651E-3	-30.786815217127870E-3
82.000000000000014E+0	-11.772671061776646E-3	-11.731977821350765E-3
83.000000000000014E+0	-5.939070079678067E-3	-19.289937492705633E-3
84.000000000000014E+0	-22.598076904525990E-3	-32.803634686115551E-3
85.000000000000014E+0	39.885124242771117E-3	-6.343447753118233E-3
86.000000000000014E+0	1.142584440348726E-3	-23.602648882054877E-3
87.000000000000014E+0	16.860613176984875E-3	-44.179696577886535E-3
88.000000000000014E+0	1.839038378151887E-3	-12.266027010031448E-3
89.000000000000014E+0	-3.097533180980134E-3	427.586026860639240E-6
90.000000000000014E+0	-9.490616531928727E-3	-5.571147171898417E-3
91.000000000000014E+0	-6.492570939461399E-3	-2.865491272571333E-3
92.000000000000014E+0	4.082637393289907E-3	-6.168813479682332E-3
93.000000000000014E+0	6.892281265648691E-3	2.376476056801419E-3
94.000000000000014E+0	-11.253522865609203E-3	2.807116924822356E-3
95.000000000000014E+0	-14.913394251758548E-3	47.945624935431565E-6
96.000000000000014E+0	-15.657431429988589E-3	684.981437248918480E-6
97.000000000000014E+0	-8.278913797520399E-3	2.390156682826785E-3
98.000000000000014E+0	-4.478282138302298E-3	2.295073826848711E-3
99.000000000000014E+0	-2.914267723553885E-3	8.890297208891691E-3
100.000000000000010E+0	6.355613595521330E-3	-5.972518013933009E-3
101.000000000000010E+0	9.560975325095060E-3	-6.506820599446094E-3
102.000000000000010E+0	11.749415655901759E-3	10.647832528355583E-3
103.000000000000010E+0	-2.907893352979858E-3	1.519011373946965E-3
104.000000000000010E+0	-387.124069023348260E-6	345.658611105544410E-6
105.000000000000010E+0	-1.606857455285292E-3	-4.161912665223181E-3
106.000000000000010E+0	-86.298231721204121E-6	-1.958311084832094E-3
107.000000000000010E+0	9.294304559600080E-3	2.930677080274434E-3
108.000000000000010E+0	4.953154185918886E-3	-1.631218251050599E-3
109.000000000000010E+0	-1.640962767651176E-3	-755.154412664107810E-6
110.000000000000010E+0	786.905986480892380E-6	-393.332112892308490E-6
111.000000000000010E+0	-1.771346928855177E-3	1.161593080059806E-3
112.000000000000010E+0	-17.095255854450389E-3	-27.266100660591132E-3
113.000000000000010E+0	2.316219306852235E-3	13.801475104863544E-3
114.000000000000010E+0	397.768479004064010E-6	3.618525521929059E-3
115.000000000000010E+0	2.774485148336161E-3	4.133812794193749E-3
116.000000000000010E+0	727.510845449807720E-6	-134.937102718864190E-6
117.000000000000010E+0	-1.127190493786904E-3	-1.778591839812979E-3
118.000000000000010E+0	-3.769153307187992E-3	-302.061391968306780E-6
119.000000000000010E+0	-364.982900028589060E-6	1.185821256036173E-3
120.000000000000010E+0	-156.745919123464560E-6	3.982411264771504E-3
121.000000000000010E+0	-517.034336901857740E-6	305.518395484180900E-6
122.000000000000010E+0	-294.701860025807810E-6	464.299455112445340E-6
123.000000000000010E+0	-433.126511631764290E-6	-1.243329257813040E-3
124.000000000000010E+0	393.347631364464020E-6	-452.331450986609750E-6
125.000000000000010E+0	-136.037874584430170E-6	658.620927252896700E-6
126.000000000000010E+0	-189.669843098459130E-6	45.520190124335266E-6
127.000000000000010E+0	801.895829570478560E-6	973.822988068062970E-6
128.000000000000030E+0	-5.776545411501347E-3	-199.397893252405910E-6
129.000000000000030E+0	-2.913207080939613E-3	1.831126309107325E-3
130.000000000000030E+0	-1.471956050706643E-3	1.786549185214566E-3
131.000000000000030E+0	626.221663830274220E-6	-404.021712055916520E-6
132.000000000000030E+0	-525.908237970790380E-6	6.466476402581031E-6
133.000000000000030E+0	-1.374579342940309E-3	-59.148346635237295E-6
134.000000000000030E+0	-261.814601757156990E-6	147.147795138459070E-6
135.000000000000030E+0	-922.868465085752000E-6	-464.199296413141690E-6
136.000000000000030E+0	-547.573237457889710E-6	297.967746721286800E-6
137.000000000000030E+0	-468.883106307995740E-6	350.902507127105280E-6
138.000000000000030E+0	-381.137514503078740E-6	1.631217228772211E-3
139.000000000000030E+0	-568.233321514472510E-6	195.253188809579350E-6
140.000000000000030E+0	-518.223664583053580E-6	273.405447632947150E-6
141.000000000000030E+0	-964.153627316743510E-6	1.655606763745853E-3
142.000000000000030E+0	-143.275934261421940E-6	241.682069455559670E-6
143.000000000000030E+0	-216.827853406088040E-6	-102.810430309477270E-6
144.000000000000030E+0	507.607195190930020E-6	82.563015917905315E-6
145.000000000000030E+0	803.839117165195610E-6	501.575361976686130E-6
146.000000000000030E+0	-1.533699163468474E-3	-111.076852552711970E-6
147.000000000000030E+0	-1.640328581383813E-3	808.413179170736750E-6
148.000000000000030E+0	-499.743024222848100E-6	63.660690785313076E-6
149.000000000000030E+0	160.767701277947930E-6	99.141359955437519E-6
150.000000000000030E+0	210.745451558658410E-6	587.010476370687150E-6
151.000000000000030E+0	1.046404673116988E-3	1.280143755043368E-3
152.000000000000030E+0	1.405847252948562E-3	1.959110844781343E-3
153.000000000000030E+0	-261.015244582758040E-6	-1.655292235237516E-6
154.000000000000030E+0	170.354913374665590E-6	-1.394753837832988E-3
155.000000000000030E+0	220.407542245932090E-6	438.367597140272400E-6
156.000000000000030E+0	42.944938035239722E-6	-129.839055482656420E-6
157.000000000000030E+0	371.469345362017280E-6	-1.028237727841473E-3
158.000000000000030E+0	1.106816809678253E-3	-801.537874000239650E-6
159.000000000000030E+0	1.096813480494717E-3	-208.546303641020330E-6
160.000000000000030E+0	682.171801112137970E-6	-248.845826250342650E-6
161.000000000000030E+0	912.598169919505580E-6	-793.834762927515640E-6
162.000000000000030E+0	997.779825960691840E-6	-589.925808849570590E-6
163.000000000000030E+0	-98.375576714954918E-6	3.378716971960335E-3
164.000000000000030E+0	603.671344375671170E-6	247.158907556926830E-6
165.000000000000030E+0	854.782417043946580E-6	95.822483356478166E-6
166.000000000000030E+0	575.587304643847060E-6	-187.741734107607330E-6
167.000000000000030E+0	218.379462330612640E-6	136.980715952858390E-6
168.000000000000030E+0	129.517536652354200E-6	186.188362883728520E-6
169.000000000000030E+0	314.492567810787090E-6	78.344429436326296E-6
170.000000000000030E+0	-234.729277354016060E-6	-360.999874248749380E-6
171.000000000000030E+0	-369.747259907776640E-6	-296.997236124759360E-6
172.000000000000030E+0	-201.341553877743650E-6	-14.638130702767629E-6
173.000000000000030E+0	-321.692098520847350E-6	-83.907301501827134E-6
174.000000000000030E+0	-532.745913023958900E-6	-19.723454179741299E-6
175.000000000000030E+0	-421.183017359067790E-6	145.269190818976400E-6
176.000000000000030E+0	-612.352358600171840E-6	366.448209652299220E-6
177.000000000000030E+0	1.711286832655677E-3	2.737925238158962E-3
178.000000000000030E+0	655.251426200565430E-6	433.839398179499510E-6
179.000000000000030E+0	295.738799488778550E-6	260.835777645146310E-6
180.000000000000030E+0	547.829089552498020E-6	-191.597332719395660E-6
181.000000000000030E+0	508.802507917292680E-6	379.665822238116630E-6
182.000000000000030E+0	319.759427394306770E-6	530.096441488732920E-6
183.000000000000030E+0	774.994358800446370E-6	-284.594716010299550E-6
184.000000000000030E+0	476.507103025585880E-6	350.160754446568830E-6
185.000000000000030E+0	611.047433149349480E-6	530.899906554939770E-6
186.000000000000030E+0	447.468013007098940E-6	296.530749978253580E-6
187.000000000000030E+0	253.253907026668560E-6	233.565982472147130E-6
188.000000000000030E+0	-556.047839674101680E-6	-461.445087652742210E-6
189.000000000000030E+0	729.115003187658160E-6	-249.402014793674070E-6
190.000000000000030E+0	355.640998007008850E-6	-348.265305055152530E-6
191.000000000000030E+0	486.497787021642590E-6	-320.405654808818610E-6
192.000000000000030E+0	672.053282582493580E-6	-289.318458552507760E-6
193.000000000000030E+0	536.346646644364940E-6	-504.255635468540750E-6
194.000000000000030E+0	289.279799307112390E-6	-425.396243918973000E-6
195.000000000000030E+0	309.735759054792550E-6	-447.751136380215910E-6
196.000000000000030E+0	737.052049267188290E-6	-257.423605088156020E-6
197.000000000000030E+0	618.543615242278500E-6	-860.847531142841170E-6
198.000000000000030E+0	1.069892786422993E-3	-189.837167207858260E-6
199.000000000000030E+0	-32.012080364677435E-6	-171.727305007851620E-6
200.000000000000030E+0	-294.063333985626220E-6	-169.694486087319120E-6
201.000000000000030E+0	-335.340831915688840E-6	-507.639828208286400E-6
202.000000000000030E+0	-230.768468272234830E-6	-400.038291743544980E-6
203.000000000000030E+0	-222.547605094199410E-6	-365.994284439248430E-6
204.000000000000030E+0	-939.396044833106410E-6	-1.377642018786293E-3
205.000000000000030E+0	-181.727997043231280E-6	-821.711548210485610E-6
206.000000000000030E+0	-435.663230366724050E-6	-567.397617426179930E-6
207.000000000000030E+0	-43.685000601249505E-6	93.406516668933392E-6
208.000000000000030E+0	-22.174872576899334E-6	584.927426197013180E-6
209.000000000000030E+0	-661.407176334694380E-6	-66.974783772093952E-6
210.000000000000030E+0	-369.994642032821610E-6	-101.334754814690920E-6
211.000000000000030E+0	-609.961823378523250E-6	32.057960357087794E-6
212.000000000000030E+0	-5.072202615247371E-6	403.200560270364270E-6
213.000000000000030E+0	-327.595428781441260E-6	196.880057727881200E-6
214.000000000000030E+0	-280.248807876809160E-6	148.066292274756540E-6
215.000000000000030E+0	-101.254113570212240E-6	185.644482369223340E-6
216.000000000000030E+0	-2.355771772354409E-3	-1.003064268225760E-3
217.000000000000030E+0	39.534236843814280E-6	-36.114472052830100E-6
218.000000000000030E+0	-101.691042039595250E-6	266.626029249635650E-6
219.000000000000030E+0	420.755067922379290E-6	-256.753724657327930E-6
220.000000000000030E+0	-135.371868233177020E-6	9.753740343283213E-6
221.000000000000030E+0	-259.531823995718190E-6	173.542452243142210E-6
222.000000000000030E+0	-311.180056383033430E-6	-155.570886631871250E-6
223.000000000000030E+0	-94.344508418603431E-6	-424.213148444487060E-6
224.000000000000030E+0	447.972468648633400E-6	-399.878337238760350E-6
225.000000000000030E+0	445.179286945778090E-6	122.833854938482760E-6
