Freq (Hz)	Coh_Microphone/Source
20.000000000000004E+0	367.596862711184640E-3
21.000000000000004E+0	907.980083317252990E-3
22.000000000000004E+0	932.550119343966480E-3
23.000000000000004E+0	308.219934360770160E-3
24.000000000000004E+0	100.710919297521950E-3
25.000000000000004E+0	93.901705657171791E-3
26.000000000000004E+0	44.348079399932745E-3
27.000000000000004E+0	79.958596223494896E-3
28.000000000000004E+0	51.094273650435638E-3
29.000000000000004E+0	177.419704880745130E-3
30.000000000000004E+0	146.359608779984660E-3
31.000000000000004E+0	290.980675738059520E-3
32.000000000000007E+0	55.393597562003898E-3
33.000000000000007E+0	14.209530328010731E-3
34.000000000000007E+0	256.238235736215180E-3
35.000000000000007E+0	401.652643295469240E-3
36.000000000000007E+0	52.597155851400922E-3
37.000000000000007E+0	25.531963489144157E-3
38.000000000000007E+0	113.758583109917640E-3
39.000000000000007E+0	56.594130485279628E-3
40.000000000000007E+0	439.447602292993180E-3
41.000000000000007E+0	226.372771895612580E-3
42.000000000000007E+0	350.617221879180370E-3
43.000000000000007E+0	225.119518426084940E-3
44.000000000000007E+0	296.083593925883240E-3
45.000000000000007E+0	626.669125086358750E-3
46.000000000000007E+0	258.410201097742650E-3
47.000000000000007E+0	73.987579034117179E-3
48.000000000000007E+0	132.391648701763180E-3
49.000000000000007E+0	110.437236307894480E-3
50.000000000000007E+0	137.311144342439710E-3
51.000000000000007E+0	25.644405757915097E-3
52.000000000000007E+0	96.577694197992892E-3
53.000000000000007E+0	223.060207955707970E-3
54.000000000000007E+0	214.055968869491440E-3
55.000000000000007E+0	82.070819570565293E-3
56.000000000000007E+0	10.384225486705473E-3
57.000000000000007E+0	70.285148319392671E-3
58.000000000000007E+0	203.176360461765430E-3
59.000000000000007E+0	410.514354360519920E-3
60.000000000000007E+0	88.958963753521553E-3
61.000000000000007E+0	223.550691201816700E-3
62.000000000000007E+0	207.760873378572960E-3
63.000000000000007E+0	411.153801291284260E-3
64.000000000000014E+0	68.765379304820753E-3
65.000000000000014E+0	32.053643391575508E-3
66.000000000000014E+0	106.475538272143640E-3
67.000000000000014E+0	507.344323632196060E-3
68.000000000000014E+0	479.380807031146380E-3
69.000000000000014E+0	363.217540534799210E-3
70.000000000000014E+0	112.583886186765470E-3
71.000000000000014E+0	50.578816518988885E-3
72.000000000000014E+0	44.370117925923380E-3
73.000000000000014E+0	219.334318994447750E-3
74.000000000000014E+0	208.554062720180010E-3
75.000000000000014E+0	179.524149384110900E-3
76.000000000000014E+0	242.206207935373450E-3
77.000000000000014E+0	88.672272339330935E-3
78.000000000000014E+0	36.221052043402500E-3
79.000000000000014E+0	28.358431277914587E-3
80.000000000000014E+0	2.259705177306203E-3
81.000000000000014E+0	12.332247214615372E-3
82.000000000000014E+0	70.011500425162701E-3
83.000000000000014E+0	237.892270999080750E-3
84.000000000000014E+0	356.052740583120200E-3
85.000000000000014E+0	107.594513829809150E-3
86.000000000000014E+0	9.468393125663719E-3
87.000000000000014E+0	89.299847088360931E-3
88.000000000000014E+0	346.316738485168580E-3
89.000000000000014E+0	81.228670345504933E-3
90.000000000000014E+0	176.802825945073320E-3
91.000000000000014E+0	219.963502971198990E-3
92.000000000000014E+0	589.863614589154590E-3
93.000000000000014E+0	439.311011188014970E-3
94.000000000000014E+0	184.375468972641040E-3
95.000000000000014E+0	342.020554948465890E-3
96.000000000000014E+0	136.900607556307620E-3
97.000000000000014E+0	27.030850564239234E-3
98.000000000000014E+0	111.456271736892330E-3
99.000000000000014E+0	46.650709254918966E-3
100.000000000000010E+0	16.181319535475049E-3
101.000000000000010E+0	244.710904758805580E-3
102.000000000000010E+0	132.236614231112910E-3
103.000000000000010E+0	325.856144197316070E-3
104.000000000000010E+0	155.366865334135350E-3
105.000000000000010E+0	67.139362412164297E-3
106.000000000000010E+0	279.168460753850430E-3
107.000000000000010E+0	559.563343408664320E-3
108.000000000000010E+0	17.730361538173298E-3
109.000000000000010E+0	119.443559408982230E-3
110.000000000000010E+0	57.747884270569740E-3
111.000000000000010E+0	208.709755430301460E-3
112.000000000000010E+0	220.539361105604070E-3
113.000000000000010E+0	233.243219485432580E-3
114.000000000000010E+0	130.960209314779670E-3
115.000000000000010E+0	56.502293760589149E-3
116.000000000000010E+0	147.437516298497550E-3
117.000000000000010E+0	159.323034138447560E-3
118.000000000000010E+0	84.340468101634994E-3
119.000000000000010E+0	127.577460427319790E-3
120.000000000000010E+0	424.395331029908670E-3
121.000000000000010E+0	602.403012651537060E-3
122.000000000000010E+0	547.449024572228330E-3
123.000000000000010E+0	143.979844807940320E-3
124.000000000000010E+0	153.504577900688800E-3
125.000000000000010E+0	181.463767303164130E-3
126.000000000000010E+0	83.235133158323746E-3
127.000000000000010E+0	49.252892316365440E-3
128.000000000000030E+0	182.079817454541380E-3
129.000000000000030E+0	297.442547974680890E-3
130.000000000000030E+0	49.812951754022304E-3
131.000000000000030E+0	247.251910279254690E-3
132.000000000000030E+0	55.815541482426297E-3
133.000000000000030E+0	33.825658374275099E-3
134.000000000000030E+0	53.600568197315492E-3
135.000000000000030E+0	94.356464168157614E-3
136.000000000000030E+0	299.989029133644610E-3
137.000000000000030E+0	333.191842166329080E-3
138.000000000000030E+0	403.969597638954680E-3
139.000000000000030E+0	225.867828115012440E-3
140.000000000000030E+0	234.625181343500740E-3
141.000000000000030E+0	410.776963733978540E-3
142.000000000000030E+0	217.050943806733900E-3
143.000000000000030E+0	143.476454520964910E-3
144.000000000000030E+0	130.660952071088880E-3
145.000000000000030E+0	49.792750011437271E-3
146.000000000000030E+0	169.456168117734650E-3
147.000000000000030E+0	245.286114568006030E-3
148.000000000000030E+0	102.449741512976920E-3
149.000000000000030E+0	34.234987323265700E-3
150.000000000000030E+0	282.109077023784960E-3
151.000000000000030E+0	321.356067798432120E-3
152.000000000000030E+0	283.291274747474230E-3
153.000000000000030E+0	213.981061408553720E-3
154.000000000000030E+0	222.928962973615060E-3
155.000000000000030E+0	133.331759057825350E-3
156.000000000000030E+0	71.004958714015701E-3
157.000000000000030E+0	246.153446696782320E-3
158.000000000000030E+0	304.715112325368020E-3
159.000000000000030E+0	31.691944045325771E-3
160.000000000000030E+0	14.157964342729002E-3
161.000000000000030E+0	391.724384674179860E-3
162.000000000000030E+0	382.318022779393810E-3
163.000000000000030E+0	33.942309438691025E-3
164.000000000000030E+0	191.414727717457100E-3
165.000000000000030E+0	669.487569418909970E-3
166.000000000000030E+0	214.597337269416900E-3
167.000000000000030E+0	173.601707526868130E-3
168.000000000000030E+0	160.139835791055560E-3
169.000000000000030E+0	118.100702325373990E-3
170.000000000000030E+0	491.046694047657770E-3
171.000000000000030E+0	413.187290319699640E-3
172.000000000000030E+0	439.618320004864450E-3
173.000000000000030E+0	470.645521844218930E-3
174.000000000000030E+0	302.066167866441580E-3
175.000000000000030E+0	123.285731753025100E-3
176.000000000000030E+0	157.526560591924910E-3
177.000000000000030E+0	99.400658515431339E-3
178.000000000000030E+0	387.433598922234720E-3
179.000000000000030E+0	391.504768398257710E-3
180.000000000000030E+0	60.522478473764248E-3
181.000000000000030E+0	399.149594404580920E-3
182.000000000000030E+0	206.485338248298260E-3
183.000000000000030E+0	220.549001741777970E-3
184.000000000000030E+0	259.175034404965140E-3
185.000000000000030E+0	225.735333847502130E-3
186.000000000000030E+0	423.492124660552080E-3
187.000000000000030E+0	541.257007553473280E-3
188.000000000000030E+0	148.114217704480080E-3
189.000000000000030E+0	60.459145163019999E-3
190.000000000000030E+0	448.122648135067800E-3
191.000000000000030E+0	501.965116555795450E-3
192.000000000000030E+0	211.834748862765290E-3
193.000000000000030E+0	152.441538371231450E-3
194.000000000000030E+0	561.413926368798500E-3
195.000000000000030E+0	543.653982127236480E-3
196.000000000000030E+0	229.412105793905950E-3
197.000000000000030E+0	355.667651804172920E-3
198.000000000000030E+0	122.562358376771690E-3
199.000000000000030E+0	45.110178672764470E-3
200.000000000000030E+0	193.140074798630130E-3
201.000000000000030E+0	202.715590099609990E-3
202.000000000000030E+0	33.173841565495049E-3
203.000000000000030E+0	165.324464081501590E-3
204.000000000000030E+0	74.605494836618949E-3
205.000000000000030E+0	227.487397356351980E-3
206.000000000000030E+0	79.482988427950332E-3
207.000000000000030E+0	55.858972778415117E-3
208.000000000000030E+0	56.788039611740157E-3
209.000000000000030E+0	124.400664926451020E-3
210.000000000000030E+0	89.346053929427155E-3
211.000000000000030E+0	61.121594292832884E-3
212.000000000000030E+0	13.339875188210875E-3
213.000000000000030E+0	12.476604511237834E-3
214.000000000000030E+0	141.974789504101470E-3
215.000000000000030E+0	470.560636987905620E-3
216.000000000000030E+0	116.064540662650890E-3
217.000000000000030E+0	207.792944012042710E-3
218.000000000000030E+0	71.451593877945280E-3
219.000000000000030E+0	38.324159243382484E-3
220.000000000000030E+0	25.898318286988322E-3
221.000000000000030E+0	163.428519284196940E-3
222.000000000000030E+0	297.281544162366240E-3
223.000000000000030E+0	479.327180404275800E-3
224.000000000000030E+0	115.418819508214850E-3
225.000000000000030E+0	103.600756186259650E-3
226.000000000000030E+0	188.238394203792320E-3
227.000000000000030E+0	122.806062915839940E-3
228.000000000000030E+0	36.028897544842134E-3
229.000000000000030E+0	31.059388789942782E-3
230.000000000000030E+0	19.199552689986285E-3
231.000000000000030E+0	211.465726854453830E-3
232.000000000000030E+0	237.990898153335990E-3
233.000000000000030E+0	237.284970026799880E-3
234.000000000000030E+0	83.087150498862755E-3
235.000000000000030E+0	55.330386042188727E-3
236.000000000000030E+0	31.956189619941337E-3
237.000000000000030E+0	39.000756705567595E-3
