Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
20.000000000000004E+0	3.374180982386884E-9	16.540675888868038E-9
21.000000000000004E+0	9.240609211128373E-9	29.252799638094059E-9
22.000000000000004E+0	8.978758924763200E-9	6.808588009069117E-9
23.000000000000004E+0	1.456442060493839E-9	24.581038859004361E-9
24.000000000000004E+0	6.959476532914073E-9	32.308795461538782E-9
25.000000000000004E+0	4.224179302305643E-9	8.066459434365141E-9
26.000000000000004E+0	1.511606362161455E-9	46.772667801825992E-9
27.000000000000004E+0	2.455523513560466E-9	11.975335784256850E-9
28.000000000000004E+0	3.543013678327315E-9	9.258751814383894E-9
29.000000000000004E+0	8.765612266826434E-9	61.967248262764365E-9
30.000000000000004E+0	5.272947409935535E-9	1.637063432615628E-9
31.000000000000004E+0	597.664646930174560E-12	1.519872443026567E-9
32.000000000000007E+0	786.975145821896260E-12	45.951644351267600E-9
33.000000000000007E+0	584.590655749770120E-12	3.060444842080645E-9
34.000000000000007E+0	317.892396576112830E-12	8.086955778979249E-9
35.000000000000007E+0	443.888245813924050E-12	39.029163348107930E-9
36.000000000000007E+0	153.086518100368500E-12	5.195413554774531E-9
37.000000000000007E+0	504.333756467818690E-12	43.927880137125981E-9
38.000000000000007E+0	333.511031479502020E-12	16.329097947028973E-9
39.000000000000007E+0	402.985301504248330E-12	3.758041757435673E-9
40.000000000000007E+0	275.003686281646730E-12	48.806997213760382E-9
41.000000000000007E+0	433.728216419227450E-12	4.764098794872386E-9
42.000000000000007E+0	513.126065231152120E-12	6.637524386851867E-9
43.000000000000007E+0	618.557152926225240E-12	17.745730885779644E-9
44.000000000000007E+0	228.823271968750250E-12	31.622236337836384E-9
45.000000000000007E+0	290.703325586690170E-12	2.027298475602132E-9
46.000000000000007E+0	587.033697286561720E-12	22.903407343845346E-9
47.000000000000007E+0	620.474944390709340E-12	36.042586046998967E-9
48.000000000000007E+0	2.558826339227277E-9	14.927046272007234E-9
49.000000000000007E+0	7.336955332623644E-9	34.610432719920475E-9
50.000000000000007E+0	3.473261932118373E-9	8.115716295204828E-9
51.000000000000007E+0	1.397505483725171E-9	15.695935709239215E-9
52.000000000000007E+0	2.259577118625597E-9	26.554834743888437E-9
53.000000000000007E+0	2.927927222390494E-9	3.587849617366981E-9
54.000000000000007E+0	2.700538527314294E-9	12.262318330024740E-9
55.000000000000007E+0	1.718636145250333E-9	47.342090331685393E-9
56.000000000000007E+0	1.802900580461828E-9	2.778849855023153E-9
57.000000000000007E+0	5.633050123589769E-9	19.341472469273279E-9
58.000000000000007E+0	6.078310507784581E-9	45.436663999421017E-9
59.000000000000007E+0	2.998842715705190E-9	809.381481277897290E-12
60.000000000000007E+0	1.351414539793837E-9	35.684025470086651E-9
61.000000000000007E+0	587.880160145343110E-12	15.839756950579860E-9
62.000000000000007E+0	300.931082273087120E-12	20.804494015374254E-9
63.000000000000007E+0	158.402882559341220E-12	22.977814810836724E-9
64.000000000000014E+0	387.711697519786740E-12	3.666790654336336E-9
65.000000000000014E+0	533.451689907384650E-12	56.679307843877633E-9
66.000000000000014E+0	426.143706003288500E-12	14.852674492253223E-9
67.000000000000014E+0	296.447971638887570E-12	18.938656459279476E-9
68.000000000000014E+0	368.674863573837520E-12	17.460252877401586E-9
69.000000000000014E+0	357.123586434269190E-12	10.297518978867887E-9
70.000000000000014E+0	279.054023296019230E-12	4.670510311670829E-9
71.000000000000014E+0	219.356407963224580E-12	80.096855736159480E-9
72.000000000000014E+0	115.021737029512170E-12	1.375107170892965E-9
73.000000000000014E+0	208.334889855984790E-12	15.601307402767399E-9
74.000000000000014E+0	252.000645738962510E-12	57.122314479110509E-9
75.000000000000014E+0	75.381652975236804E-12	18.261808323997947E-9
76.000000000000014E+0	163.361441104706580E-12	39.017916655278596E-9
77.000000000000014E+0	306.144617479283140E-12	17.550372585003614E-9
78.000000000000014E+0	467.720578427997330E-12	26.072974614913563E-9
79.000000000000014E+0	370.283533553223230E-12	28.573589923357666E-9
80.000000000000014E+0	115.722872257001440E-12	105.513773406764670E-9
81.000000000000014E+0	201.908645137324920E-12	32.137267383448415E-9
82.000000000000014E+0	318.443924373916920E-12	135.157017341869990E-9
83.000000000000014E+0	247.694613508377340E-12	208.348724188353490E-9
84.000000000000014E+0	149.544653434585080E-12	54.131208453550379E-9
85.000000000000014E+0	86.556363731936617E-12	14.120465088443909E-9
86.000000000000014E+0	139.835807235705370E-12	200.957933496843040E-9
87.000000000000014E+0	160.192186568440770E-12	28.461714795641521E-9
88.000000000000014E+0	164.810753669240150E-12	107.159281307387830E-9
89.000000000000014E+0	207.094068750100050E-12	207.859643247362830E-9
90.000000000000014E+0	225.123434213643330E-12	367.095949121692930E-9
91.000000000000014E+0	174.313212665883320E-12	491.732277721966280E-9
92.000000000000014E+0	205.106079903571540E-12	331.001424000793900E-9
93.000000000000014E+0	124.239191032609770E-12	346.505344127533350E-9
94.000000000000014E+0	283.774829978784940E-12	189.173612441390160E-9
95.000000000000014E+0	314.277190812741260E-12	86.191627570896850E-9
96.000000000000014E+0	246.874983056117110E-12	62.250672000840515E-9
97.000000000000014E+0	209.101486365069130E-12	210.106272888737880E-9
98.000000000000014E+0	57.865122261649019E-12	822.528587595711610E-9
99.000000000000014E+0	234.989640109732570E-12	191.155127505403390E-9
100.000000000000010E+0	285.040690409526210E-12	650.516024306605130E-9
101.000000000000010E+0	204.403440097016890E-12	591.919993923579840E-9
102.000000000000010E+0	166.745470600570840E-12	163.583224339456880E-9
103.000000000000010E+0	211.983187787956780E-12	927.817451265465550E-9
104.000000000000010E+0	174.970814603390760E-12	575.929410029888750E-9
105.000000000000010E+0	71.145046410551145E-12	631.279285682061770E-9
106.000000000000010E+0	166.839099043882830E-12	1.109474559075469E-6
107.000000000000010E+0	70.942296386043922E-12	224.718396403420510E-9
108.000000000000010E+0	129.834133441042810E-12	463.382653068128980E-9
109.000000000000010E+0	140.276128890058770E-12	2.331343468240123E-6
110.000000000000010E+0	79.101675819831223E-12	2.278294448771024E-6
111.000000000000010E+0	131.799774568939520E-12	2.954164618675192E-6
112.000000000000010E+0	112.408648443199850E-12	19.701911704629052E-9
113.000000000000010E+0	122.203283919753490E-12	134.465381372424810E-9
114.000000000000010E+0	155.321570081783350E-12	2.458634797427267E-6
115.000000000000010E+0	71.509727577660881E-12	977.291337466665570E-9
116.000000000000010E+0	75.921610199953807E-12	1.092164776033756E-6
117.000000000000010E+0	112.122640889375010E-12	2.718663484695207E-6
118.000000000000010E+0	94.104614777480387E-12	1.227036420288605E-6
119.000000000000010E+0	58.232148479273062E-12	1.641536920555485E-6
120.000000000000010E+0	183.900482191772530E-12	452.035552052158780E-9
121.000000000000010E+0	159.280666502662410E-12	4.312112002112809E-6
122.000000000000010E+0	73.702928496586816E-12	4.798182760115515E-6
123.000000000000010E+0	65.533445378395784E-12	1.855193820520254E-6
124.000000000000010E+0	124.086574034111900E-12	6.751968794294939E-6
