Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
20.000000000000004E+0	273.837838972316060E-3	11.441250924575408E+0
21.000000000000004E+0	535.555822115927340E-3	12.752232157559055E+0
22.000000000000004E+0	1.108959584442080E+0	12.224411992117943E+0
23.000000000000004E+0	135.137802134836810E-3	14.339680307434755E+0
24.000000000000004E+0	147.287599488723110E-3	15.816119556048410E+0
25.000000000000004E+0	221.751433288071730E-3	16.013710655270323E+0
26.000000000000004E+0	37.858263782109200E-3	16.343271712587367E+0
27.000000000000004E+0	128.044455949932720E-3	14.765490594087973E+0
28.000000000000004E+0	139.828696119324300E-3	13.759301432590370E+0
29.000000000000004E+0	158.420342860867590E-3	14.620247096219646E+0
30.000000000000004E+0	686.601244180615300E-3	15.637642119644687E+0
31.000000000000004E+0	338.265173855279650E-3	15.851891912178505E+0
32.000000000000007E+0	30.800641768169455E-3	16.399541439671932E+0
33.000000000000007E+0	52.098295882285574E-3	14.416281961493594E+0
34.000000000000007E+0	100.362045413557140E-3	16.028573142933418E+0
35.000000000000007E+0	67.587676456581716E-3	18.114889828340388E+0
36.000000000000007E+0	39.367654577765310E-3	20.701599583795872E+0
37.000000000000007E+0	17.121073960393952E-3	20.046708739975696E+0
38.000000000000007E+0	48.202114701861372E-3	22.100777760971162E+0
39.000000000000007E+0	77.902159747114869E-3	23.327516010477467E+0
40.000000000000007E+0	49.760159384237959E-3	21.767300784545842E+0
41.000000000000007E+0	143.559042491762820E-3	24.239813199524821E+0
42.000000000000007E+0	164.636299245564890E-3	23.216554678878396E+0
43.000000000000007E+0	88.582829154608661E-3	20.628094953121707E+0
44.000000000000007E+0	46.287207155346115E-3	22.894532548088204E+0
45.000000000000007E+0	299.768021993219450E-3	22.140321505726945E+0
46.000000000000007E+0	81.383487054519046E-3	24.266684188395203E+0
47.000000000000007E+0	35.688932746921850E-3	23.152441927418213E+0
48.000000000000007E+0	150.648135843283240E-3	22.384416926473975E+0
49.000000000000007E+0	153.007312810498150E-3	23.895386081384935E+0
50.000000000000007E+0	242.414298779960710E-3	20.973787984839277E+0
51.000000000000007E+0	47.783666947161053E-3	22.079506137745593E+0
52.000000000000007E+0	90.652586265257865E-3	24.062071856941909E+0
53.000000000000007E+0	426.652283492882920E-3	21.029005783304964E+0
54.000000000000007E+0	217.121368120314070E-3	17.922805707870882E+0
55.000000000000007E+0	54.583658480772020E-3	15.988455509440602E+0
56.000000000000007E+0	82.080577489374529E-3	17.747736316557969E+0
57.000000000000007E+0	143.073375566519640E-3	16.643305166072100E+0
58.000000000000007E+0	164.863611955686630E-3	13.648232838853485E+0
59.000000000000007E+0	1.233287660458727E+0	13.201734869229609E+0
60.000000000000007E+0	58.043318045745002E-3	15.657601154873969E+0
61.000000000000007E+0	91.087368115726403E-3	13.399445124780382E+0
62.000000000000007E+0	54.819721612849481E-3	12.592628017644319E+0
63.000000000000007E+0	53.238931751006725E-3	10.643112727881306E+0
64.000000000000014E+0	85.270010335606189E-3	8.310068710808524E+0
65.000000000000014E+0	17.368966560718464E-3	10.464107063564322E+0
66.000000000000014E+0	55.271420937837212E-3	13.041984022191384E+0
67.000000000000014E+0	89.115051278641985E-3	15.342017021161700E+0
68.000000000000014E+0	100.608997262300440E-3	13.261271399674410E+0
69.000000000000014E+0	112.234499273467080E-3	16.398154910068815E+0
70.000000000000014E+0	82.016285137979830E-3	14.813157113267600E+0
71.000000000000014E+0	11.769330551752144E-3	11.863649674825153E+0
72.000000000000014E+0	60.920993757053218E-3	13.020748264871191E+0
73.000000000000014E+0	54.119503280075990E-3	10.957686822270482E+0
74.000000000000014E+0	30.332433640508138E-3	13.992289871912753E+0
75.000000000000014E+0	27.222147134435628E-3	13.062819300393610E+0
76.000000000000014E+0	31.844568957898653E-3	12.521125171769613E+0
