Freq (Hz)	Coh_Microphone/Source
20.000000000000004E+0	115.193417006209280E-3
21.000000000000004E+0	136.296623245867500E-3
22.000000000000004E+0	5.821910891750250E-3
23.000000000000004E+0	34.009944058513396E-3
24.000000000000004E+0	11.864910173377289E-3
25.000000000000004E+0	150.639187623496930E-3
26.000000000000004E+0	201.015744217476390E-3
27.000000000000004E+0	17.244110292710810E-3
28.000000000000004E+0	385.053610643464550E-3
29.000000000000004E+0	434.215933469863040E-3
30.000000000000004E+0	194.124145587836780E-3
31.000000000000004E+0	325.323710706546310E-3
32.000000000000007E+0	157.430021500698350E-3
33.000000000000007E+0	223.249789766813590E-3
34.000000000000007E+0	59.475842851641161E-3
35.000000000000007E+0	94.920984708981471E-3
36.000000000000007E+0	77.070856950399336E-3
37.000000000000007E+0	417.417339005848150E-3
38.000000000000007E+0	483.014106670106640E-3
39.000000000000007E+0	407.588519824895750E-3
40.000000000000007E+0	364.958562782469690E-3
41.000000000000007E+0	27.080910156214017E-3
42.000000000000007E+0	123.972024387321190E-3
43.000000000000007E+0	251.676217422595490E-3
44.000000000000007E+0	212.307809231765370E-3
45.000000000000007E+0	210.259015695667570E-3
46.000000000000007E+0	410.268267965182400E-3
47.000000000000007E+0	1.217798424774997E-3
48.000000000000007E+0	16.890803560453100E-3
49.000000000000007E+0	75.576992408388513E-3
50.000000000000007E+0	133.416497548640540E-3
51.000000000000007E+0	94.711903797379163E-3
52.000000000000007E+0	20.555596457552970E-3
53.000000000000007E+0	57.520870032917740E-3
54.000000000000007E+0	3.729068058600934E-3
55.000000000000007E+0	12.188975183774197E-3
56.000000000000007E+0	153.853344812078990E-3
57.000000000000007E+0	1.488790029523540E-3
58.000000000000007E+0	38.105259498975176E-3
59.000000000000007E+0	52.491049867115953E-3
60.000000000000007E+0	227.821169112524670E-3
61.000000000000007E+0	139.161143690694520E-3
62.000000000000007E+0	75.070837519804562E-3
63.000000000000007E+0	29.051416403189284E-3
64.000000000000014E+0	18.048632889235586E-3
65.000000000000014E+0	102.171167471538040E-3
66.000000000000014E+0	253.118271140338470E-3
67.000000000000014E+0	175.102626345838260E-3
68.000000000000014E+0	79.451565238999711E-3
69.000000000000014E+0	165.377192263283370E-3
70.000000000000014E+0	62.036279125139558E-3
71.000000000000014E+0	16.570405136691602E-3
72.000000000000014E+0	37.358405992838961E-3
73.000000000000014E+0	263.064723553630530E-3
74.000000000000014E+0	488.745053889159340E-3
75.000000000000014E+0	390.696039106305130E-3
76.000000000000014E+0	97.416349466826785E-3
77.000000000000014E+0	405.152408771704220E-3
78.000000000000014E+0	184.368489029956590E-3
79.000000000000014E+0	407.111277491141510E-3
80.000000000000014E+0	512.712387679822970E-3
81.000000000000014E+0	687.956903203231330E-3
82.000000000000014E+0	378.507228543909000E-3
83.000000000000014E+0	342.294798084175460E-3
84.000000000000014E+0	63.576586316167513E-3
85.000000000000014E+0	74.231977498337140E-3
86.000000000000014E+0	352.285086539660400E-3
87.000000000000014E+0	743.364218048318430E-3
88.000000000000014E+0	658.256499059970750E-3
89.000000000000014E+0	573.311871977698730E-3
90.000000000000014E+0	13.347709027527223E-3
91.000000000000014E+0	282.372762239831320E-3
92.000000000000014E+0	641.050337295010710E-3
93.000000000000014E+0	77.902933060152044E-3
