Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
20.000000000000004E+0	177.514422985066060E-3	22.942930526157458E+0
21.000000000000004E+0	134.519754936480970E-3	25.044782838328899E+0
22.000000000000004E+0	88.181700559282900E-3	23.630779433767614E+0
23.000000000000004E+0	78.921078589856558E-3	21.515922980873444E+0
24.000000000000004E+0	43.579530529039880E-3	23.319309673500420E+0
25.000000000000004E+0	302.085645676468170E-3	24.023701244820757E+0
26.000000000000004E+0	110.104809735990680E-3	26.371481967113631E+0
27.000000000000004E+0	51.691453327914832E-3	29.266178658282982E+0
28.000000000000004E+0	282.440029288911990E-3	30.067405309099918E+0
29.000000000000004E+0	204.310467699261700E-3	32.561386123409648E+0
30.000000000000004E+0	746.226567814725960E-3	33.841348963937421E+0
31.000000000000004E+0	419.503577447857990E-3	34.484257465876233E+0
32.000000000000007E+0	46.103636402098622E-3	31.649600217480799E+0
33.000000000000007E+0	163.234123913259730E-3	29.606641953517052E+0
34.000000000000007E+0	41.007315604517952E-3	29.742815586677086E+0
35.000000000000007E+0	23.989685449975567E-3	27.243072492116784E+0
36.000000000000007E+0	55.016852483139755E-3	24.805037274837289E+0
37.000000000000007E+0	52.535604599714764E-3	25.738709064977414E+0
38.000000000000007E+0	92.487629710091626E-3	27.809625069098619E+0
39.000000000000007E+0	179.140666211843740E-3	24.994405919989074E+0
40.000000000000007E+0	46.083572584593627E-3	24.118762268315901E+0
41.000000000000007E+0	32.971221466308730E-3	21.059438276770251E+0
42.000000000000007E+0	118.111562713077600E-3	18.533949037553917E+0
43.000000000000007E+0	119.512886017856550E-3	16.039898582963247E+0
44.000000000000007E+0	51.946351503404167E-3	18.265569047111693E+0
45.000000000000007E+0	164.627494794010790E-3	16.528492443096486E+0
46.000000000000007E+0	88.472097744643499E-3	18.713398159681660E+0
47.000000000000007E+0	3.906671431552937E-3	17.492270249299885E+0
48.000000000000007E+0	49.474322504778692E-3	17.224696797844189E+0
49.000000000000007E+0	159.862413302933210E-3	17.785485996624484E+0
50.000000000000007E+0	519.526073284539480E-3	19.988220489588329E+0
51.000000000000007E+0	151.700301067535380E-3	19.183402105922418E+0
52.000000000000007E+0	54.535219362349160E-3	19.584846395605481E+0
53.000000000000007E+0	152.530123273655140E-3	22.670170986601803E+0
54.000000000000007E+0	18.720687935953592E-3	20.524267759479141E+0
55.000000000000007E+0	20.210743563614197E-3	20.649542585024236E+0
56.000000000000007E+0	380.371352006198930E-3	17.885583875182949E+0
