Freq (Hz)	Microphone/Source_Real	Microphone/Source_Imag
20.000000000000004E+0	-102.999672957446590E-3	-144.576753796659820E-3
21.000000000000004E+0	133.999722299445930E-3	-11.816890108749799E-3
22.000000000000004E+0	6.065153781596468E-3	-87.972872086414342E-3
23.000000000000004E+0	-70.175796468124330E-3	36.109475707225433E-3
24.000000000000004E+0	-10.470483180283503E-3	-42.303007731163973E-3
25.000000000000004E+0	134.585558417184560E-3	-270.448636138737600E-3
26.000000000000004E+0	35.892738381859676E-3	104.090251505364730E-3
27.000000000000004E+0	-28.282805375544610E-3	-43.267646888189591E-3
28.000000000000004E+0	62.263712584686430E-3	-275.491561104678870E-3
29.000000000000004E+0	84.304125864891818E-3	186.106371663217200E-3
30.000000000000004E+0	-562.897731948330040E-3	489.898187259324050E-3
31.000000000000004E+0	-418.378284285279290E-3	30.706069922037085E-3
32.000000000000007E+0	44.850646054741317E-3	10.675431512085616E-3
33.000000000000007E+0	-38.561440333973421E-3	-158.613979614341820E-3
34.000000000000007E+0	-4.188331638919363E-3	-40.792864709051371E-3
35.000000000000007E+0	-12.324390165254480E-3	20.581895321941275E-3
36.000000000000007E+0	52.089068340157203E-3	-17.708275370741031E-3
37.000000000000007E+0	43.181705551687190E-3	29.922066377590949E-3
38.000000000000007E+0	-82.679511035295056E-3	41.449488589795004E-3
39.000000000000007E+0	177.429321144402130E-3	-24.702515844744054E-3
40.000000000000007E+0	24.354569469256487E-3	-39.122252084033568E-3
41.000000000000007E+0	-19.666083972900209E-3	26.464062162699344E-3
42.000000000000007E+0	112.277817806762230E-3	-36.661053927523279E-3
43.000000000000007E+0	-112.989089520050950E-3	-38.946059797456856E-3
44.000000000000007E+0	43.337340081731006E-3	-28.640851753319266E-3
45.000000000000007E+0	-112.248657459317130E-3	-120.426122335367660E-3
46.000000000000007E+0	87.653274643223145E-3	-12.008976794775151E-3
47.000000000000007E+0	827.792957715427630E-6	-3.817962872170003E-3
48.000000000000007E+0	-2.673417500568519E-3	-49.402038684395459E-3
49.000000000000007E+0	77.584046182946009E-3	-139.773770661452580E-3
50.000000000000007E+0	217.581441619971370E-3	471.768647840260460E-3
51.000000000000007E+0	143.324778765450050E-3	49.709044808924616E-3
52.000000000000007E+0	40.445278343918215E-3	36.582367481923901E-3
53.000000000000007E+0	-118.696966352850970E-3	-95.793886467282444E-3
54.000000000000007E+0	-1.941870587901947E-3	18.619701807902289E-3
55.000000000000007E+0	-4.591660780807048E-3	19.682245976213465E-3
56.000000000000007E+0	216.911177118568050E-3	-312.461048241314210E-3
57.000000000000007E+0	14.030788860128204E-3	1.387104760953244E-3
58.000000000000007E+0	-49.943045020548034E-3	4.404607402323350E-3
59.000000000000007E+0	406.383570076262860E-3	215.694999598036900E-3
60.000000000000007E+0	55.269183837839707E-3	80.747278653546084E-3
61.000000000000007E+0	-33.929965786074268E-3	-91.284515847342873E-3
62.000000000000007E+0	-30.023176696929825E-3	32.277725854733284E-3
63.000000000000007E+0	-12.228094038780564E-3	-6.234963378185975E-3
64.000000000000014E+0	-18.721644131115260E-3	-36.041931960047700E-3
65.000000000000014E+0	-25.370936484157201E-3	-10.305910146171344E-3
66.000000000000014E+0	8.740931482207460E-3	69.686770347578475E-3
67.000000000000014E+0	-7.545938666789826E-3	-30.062955573169750E-3
68.000000000000014E+0	-19.363922892823602E-3	17.996348530986393E-3
69.000000000000014E+0	29.998998769628013E-3	-55.677999321278267E-3
70.000000000000014E+0	-39.432384408593681E-3	-8.659539078315666E-3
71.000000000000014E+0	-4.590283219605787E-3	-4.139726240517107E-3
72.000000000000014E+0	54.740080266192911E-3	-50.563788045065908E-3
73.000000000000014E+0	-17.333453352311613E-3	39.292215231320794E-3
74.000000000000014E+0	14.227351513998693E-3	-17.299372495189164E-3
75.000000000000014E+0	-31.710274322364528E-3	8.547572493062055E-3
76.000000000000014E+0	-12.061987179570452E-3	-8.349492121107659E-3
77.000000000000014E+0	57.560877291242533E-3	32.275955661753231E-3
78.000000000000014E+0	-36.587004543649666E-3	2.504008531432493E-3
79.000000000000014E+0	15.947783352153078E-3	43.628158876091130E-3
