Freq (Hz)	GxyMicrophone/Source_Real	GxyMicrophone/Source_Imag
20.000000000000004E+0	-1.134172080410947E-9	-1.591994546432819E-9
21.000000000000004E+0	4.099765585461586E-9	-361.541640263788560E-12
22.000000000000004E+0	47.642851067885176E-12	-691.042402839771280E-12
23.000000000000004E+0	-1.407323505039856E-9	724.148730403462260E-12
24.000000000000004E+0	-291.856890473872190E-12	-1.179164712986569E-9
25.000000000000004E+0	679.819914737728910E-12	-1.366092847724856E-9
26.000000000000004E+0	1.723376684719460E-9	4.997855294362075E-9
27.000000000000004E+0	-318.211438130386920E-12	-486.806734975223900E-12
28.000000000000004E+0	534.317161030452120E-12	-2.364135749487938E-9
29.000000000000004E+0	5.309852868163410E-9	11.721815999173426E-9
30.000000000000004E+0	-957.913516691483950E-12	833.686243065975800E-12
31.000000000000004E+0	-941.504438177449000E-12	69.099908375914166E-12
32.000000000000007E+0	2.021825163218124E-9	481.238464948816200E-12
33.000000000000007E+0	-116.674661615872040E-12	-479.915486526725580E-12
34.000000000000007E+0	-38.323219915424383E-12	-373.254570077093090E-12
35.000000000000007E+0	-479.946960612476150E-12	801.517800958541810E-12
36.000000000000007E+0	354.522101409836430E-12	-120.523848800329930E-12
37.000000000000007E+0	2.117206100174894E-9	1.467083818369430E-9
38.000000000000007E+0	-1.281905340649646E-9	642.654027885726570E-12
39.000000000000007E+0	452.307975528733160E-12	-62.972370407196085E-12
40.000000000000007E+0	1.117100960767365E-9	-1.794468403378069E-9
41.000000000000007E+0	-122.893266088388970E-12	165.373799767247650E-12
42.000000000000007E+0	707.594648967588810E-12	-231.044440401168030E-12
43.000000000000007E+0	-2.059140385502325E-9	-709.762375515916130E-12
44.000000000000007E+0	1.385607846802192E-9	-915.722765948592140E-12
45.000000000000007E+0	-190.614608168274380E-12	-204.501137401135310E-12
46.000000000000007E+0	1.950531198854220E-9	-267.233414836672960E-12
47.000000000000007E+0	33.636388228163479E-12	-155.138407752887730E-12
48.000000000000007E+0	-45.922241176167992E-12	-848.596350767039020E-12
49.000000000000007E+0	2.729136989212245E-9	-4.916755266080590E-9
50.000000000000007E+0	1.284606721915997E-9	2.785334869061703E-9
51.000000000000007E+0	3.842636145050331E-9	1.332733767071030E-9
