Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
20.000000000000004E+0	3.012192588456106E-9	11.011414384582753E-9
21.000000000000004E+0	4.062021014113413E-9	30.595328968667106E-9
22.000000000000004E+0	10.491734975914218E-9	7.855176106572620E-9
23.000000000000004E+0	3.672710505742188E-9	20.054257676706226E-9
24.000000000000004E+0	4.461735981055009E-9	27.874252357661468E-9
25.000000000000004E+0	3.059973288665503E-9	5.051209971804270E-9
26.000000000000004E+0	2.895717075901523E-9	48.014633667250650E-9
27.000000000000004E+0	1.743371712098254E-9	11.251056389389722E-9
28.000000000000004E+0	1.777851186200522E-9	8.581517851247843E-9
29.000000000000004E+0	6.054930155192467E-9	62.984495879515164E-9
30.000000000000004E+0	4.881560314404899E-9	1.701754088395249E-9
31.000000000000004E+0	1.217331491915400E-9	2.250366411310837E-9
32.000000000000007E+0	608.636092025071350E-12	45.079064429761763E-9
33.000000000000007E+0	361.122168505299660E-12	3.025682147901494E-9
34.000000000000007E+0	258.703917354278460E-12	9.149996518736105E-9
35.000000000000007E+0	236.110162025076810E-12	38.942856739927445E-9
36.000000000000007E+0	267.299421427078870E-12	6.806074915656026E-9
37.000000000000007E+0	324.190533452737050E-12	49.030163888285124E-9
38.000000000000007E+0	274.577876138641970E-12	15.504510423415701E-9
39.000000000000007E+0	200.712898045245520E-12	2.549229026022249E-9
40.000000000000007E+0	266.907446818921470E-12	45.868228636827928E-9
41.000000000000007E+0	250.851679966955170E-12	6.248995288423227E-9
42.000000000000007E+0	709.172220115943640E-12	6.302176714775551E-9
43.000000000000007E+0	1.034276690648213E-9	18.224240891302266E-9
44.000000000000007E+0	406.370537078417810E-12	31.972609398478049E-9
45.000000000000007E+0	218.889604791210230E-12	1.698145995531037E-9
46.000000000000007E+0	424.550618098712450E-12	22.252804664668899E-9
47.000000000000007E+0	509.244086319896420E-12	40.633817809944342E-9
48.000000000000007E+0	2.489233796413171E-9	17.177354889912348E-9
49.000000000000007E+0	11.894769618676799E-9	35.176523054454267E-9
50.000000000000007E+0	11.944101941724180E-9	5.904027073042821E-9
51.000000000000007E+0	6.514428209901894E-9	26.810689527306214E-9
52.000000000000007E+0	3.991762769143206E-9	27.589299743309444E-9
53.000000000000007E+0	1.080846691607313E-9	2.672257480027727E-9
54.000000000000007E+0	1.234575167703880E-9	13.136335726665117E-9
55.000000000000007E+0	1.676340414529459E-9	50.022434571264003E-9
56.000000000000007E+0	1.984435687184647E-9	2.110223088603087E-9
57.000000000000007E+0	2.418447803001140E-9	18.112649436126430E-9
58.000000000000007E+0	3.025660556013294E-9	45.865934435935155E-9
59.000000000000007E+0	1.713233022797440E-9	424.852724974725780E-12
60.000000000000007E+0	1.470363445750946E-9	34.985557932448081E-9
61.000000000000007E+0	1.030912369342065E-9	15.126671218259600E-9
62.000000000000007E+0	548.157579959560970E-12	21.176278230214112E-9
63.000000000000007E+0	152.059494256768770E-12	23.447553160307711E-9
64.000000000000014E+0	296.064120735762020E-12	3.239457524438135E-9
65.000000000000014E+0	415.722174709484660E-12	56.640932197320159E-9
66.000000000000014E+0	260.910053866747020E-12	13.388564734526026E-9
67.000000000000014E+0	105.356141105797450E-12	19.202357847031799E-9
68.000000000000014E+0	163.606854205285800E-12	18.600831881528259E-9
69.000000000000014E+0	244.509514945962080E-12	10.109125985153556E-9
70.000000000000014E+0	111.483255172866580E-12	4.243207541189603E-9
71.000000000000014E+0	187.047084035797620E-12	81.120269422707488E-9
72.000000000000014E+0	195.779505424427910E-12	1.317086678942870E-9
73.000000000000014E+0	99.886200444233154E-12	14.247223404385358E-9
74.000000000000014E+0	60.597402249278337E-12	59.034318805126521E-9
75.000000000000014E+0	50.852850104460343E-12	18.420138317629120E-9
76.000000000000014E+0	84.192848533458482E-12	38.111283959652830E-9
77.000000000000014E+0	184.437826717689080E-12	17.158569139673311E-9
78.000000000000014E+0	194.422247263950000E-12	26.653205992950509E-9
79.000000000000014E+0	156.372663562209890E-12	29.503479379799889E-9
80.000000000000014E+0	123.029167926613490E-12	106.863251765722460E-9
81.000000000000014E+0	174.026219288105730E-12	32.054231931059378E-9
82.000000000000014E+0	87.704988329948997E-12	136.256619589040150E-9
83.000000000000014E+0	113.198507750999730E-12	209.917767207686490E-9
84.000000000000014E+0	130.798258398480350E-12	55.290336351651262E-9
85.000000000000014E+0	167.166074233857680E-12	14.054338652119363E-9
86.000000000000014E+0	114.281513506500270E-12	200.260808735913300E-9
87.000000000000014E+0	163.633520681184290E-12	27.874001072283743E-9
88.000000000000014E+0	184.853157386462650E-12	104.851568020273360E-9
89.000000000000014E+0	124.627221061237320E-12	208.373212791442340E-9
90.000000000000014E+0	198.601025424254970E-12	366.022937628626190E-9
91.000000000000014E+0	145.604968833353210E-12	490.404575208259960E-9
92.000000000000014E+0	156.437371358007410E-12	332.011013171512780E-9
93.000000000000014E+0	172.074308638746940E-12	347.580854378672770E-9
94.000000000000014E+0	276.929476793843860E-12	189.907810347481670E-9
95.000000000000014E+0	143.307994144722010E-12	87.176490080571193E-9
96.000000000000014E+0	128.998170784817190E-12	62.829838237515961E-9
97.000000000000014E+0	242.819875664360710E-12	207.997153899142260E-9
98.000000000000014E+0	432.943122290468800E-12	818.320840431637470E-9
99.000000000000014E+0	223.615545229582250E-12	215.769203895196410E-9
100.000000000000010E+0	159.882666267342030E-12	625.562299427992120E-9
101.000000000000010E+0	173.227532246183450E-12	615.628199557398600E-9
102.000000000000010E+0	122.533439761160890E-12	165.474084066534790E-9
103.000000000000010E+0	148.470704742181680E-12	926.389823694355970E-9
104.000000000000010E+0	228.364913209420580E-12	577.822893421539430E-9
105.000000000000010E+0	104.357808462691530E-12	634.480901067276740E-9
106.000000000000010E+0	64.016860904753726E-12	1.110925485066014E-6
107.000000000000010E+0	48.134278985992537E-12	222.244792021909890E-9
108.000000000000010E+0	96.348202964804665E-12	465.011545399094450E-9
109.000000000000010E+0	59.542506858825888E-12	2.333739448093300E-6
110.000000000000010E+0	137.507316022324730E-12	2.283387807223126E-6
111.000000000000010E+0	81.318678688494757E-12	2.953829781282107E-6
112.000000000000010E+0	46.060890313307152E-12	19.200519926919189E-9
113.000000000000010E+0	28.028279300776203E-12	137.060714863341590E-9
114.000000000000010E+0	53.372709893074220E-12	2.466951078867472E-6
115.000000000000010E+0	44.364346268157961E-12	980.292399741446290E-9
116.000000000000010E+0	117.617566173900720E-12	1.095513438876445E-6
117.000000000000010E+0	145.816620263598200E-12	2.717434875277456E-6
118.000000000000010E+0	133.703933366802800E-12	1.223573325217250E-6
