Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
20.000000000000004E+0	2.416980723692352E-9	10.768607875900964E-9
21.000000000000004E+0	717.176290189411550E-12	34.022486847168123E-9
22.000000000000004E+0	7.752318235061085E-9	8.477388523904569E-9
23.000000000000004E+0	6.379479802197569E-9	21.561235989293586E-9
24.000000000000004E+0	2.477040071802598E-9	31.909591763716204E-9
25.000000000000004E+0	2.490249151968157E-9	5.831549869298542E-9
26.000000000000004E+0	2.748057851849600E-9	51.068247718529440E-9
27.000000000000004E+0	1.271442327191606E-9	12.463034252278900E-9
28.000000000000004E+0	2.018629350259185E-9	9.040072202679994E-9
29.000000000000004E+0	6.572005591403595E-9	64.328886203858599E-9
30.000000000000004E+0	4.161753397233752E-9	422.285502016223230E-12
31.000000000000004E+0	714.863367528210480E-12	1.917644091474606E-9
32.000000000000007E+0	595.062496863437910E-12	47.945872909531561E-9
33.000000000000007E+0	472.086337631945590E-12	4.201540259092508E-9
34.000000000000007E+0	398.201784940415820E-12	7.824809807320100E-9
35.000000000000007E+0	203.795557898112950E-12	44.981563139391840E-9
36.000000000000007E+0	176.882462760735130E-12	6.008539513386419E-9
37.000000000000007E+0	296.547580702359990E-12	47.163610077438756E-9
38.000000000000007E+0	401.859386298282150E-12	17.445597410525549E-9
39.000000000000007E+0	233.832020606674120E-12	3.951405328335324E-9
40.000000000000007E+0	400.579711333692540E-12	49.965629843377103E-9
41.000000000000007E+0	1.079614719495001E-9	7.314619563956970E-9
42.000000000000007E+0	1.114984485990360E-9	8.864234227718188E-9
43.000000000000007E+0	678.397569911839900E-12	19.446584558107661E-9
44.000000000000007E+0	234.070190259167590E-12	34.442858482412303E-9
45.000000000000007E+0	199.390543157007670E-12	2.186875466275085E-9
46.000000000000007E+0	76.049811207550885E-12	23.179639739047281E-9
47.000000000000007E+0	299.743624069460390E-12	42.573456266107384E-9
48.000000000000007E+0	2.514895695547036E-9	19.613698296564763E-9
49.000000000000007E+0	13.961707618110134E-9	36.146073012949663E-9
50.000000000000007E+0	13.903614798904154E-9	4.951673048763938E-9
51.000000000000007E+0	5.229730504679331E-9	24.913932364129308E-9
52.000000000000007E+0	3.545079419988448E-9	28.196087486290794E-9
53.000000000000007E+0	2.459714070120677E-9	3.954519100496342E-9
54.000000000000007E+0	819.613461528727930E-12	15.220039924432868E-9
55.000000000000007E+0	3.498172060220134E-9	49.881397593078751E-9
56.000000000000007E+0	5.959581242358003E-9	3.513183536277173E-9
57.000000000000007E+0	4.746234490111495E-9	21.654125704840054E-9
58.000000000000007E+0	6.707606079611673E-9	48.398110745071948E-9
59.000000000000007E+0	5.396136743474753E-9	371.517587123124340E-12
60.000000000000007E+0	2.176354169498808E-9	38.429130659485573E-9
61.000000000000007E+0	851.913090557001830E-12	18.252814386687721E-9
62.000000000000007E+0	488.923806927775220E-12	22.602077813144248E-9
63.000000000000007E+0	160.451816452171750E-12	27.412379660838710E-9
64.000000000000014E+0	166.422647298281060E-12	3.957745015708987E-9
65.000000000000014E+0	193.373405103888240E-12	60.043644310299823E-9
66.000000000000014E+0	400.610048096533840E-12	17.510836132499400E-9
67.000000000000014E+0	461.416751828389570E-12	21.218089884135691E-9
68.000000000000014E+0	273.490004383092910E-12	20.861170427746363E-9
69.000000000000014E+0	166.827969385155370E-12	11.167195382854671E-9
70.000000000000014E+0	172.650129927102020E-12	5.443681537970634E-9
71.000000000000014E+0	166.574642948467710E-12	87.692318490648378E-9
72.000000000000014E+0	95.726750896976212E-12	1.662895738108378E-9
73.000000000000014E+0	231.545488203872360E-12	17.195803833018990E-9
74.000000000000014E+0	198.622907455885770E-12	62.500002566812641E-9
75.000000000000014E+0	196.532573972552770E-12	19.858532400968965E-9
76.000000000000014E+0	130.003443332483300E-12	41.244309655318611E-9
77.000000000000014E+0	126.696229598521990E-12	19.241739647698322E-9
78.000000000000014E+0	209.838884936600480E-12	28.704406020003961E-9
79.000000000000014E+0	62.506740430583909E-12	27.242770196600411E-9
80.000000000000014E+0	126.630943281049700E-12	110.098547502693480E-9
81.000000000000014E+0	176.005120920900120E-12	35.754685115929853E-9
82.000000000000014E+0	297.712153980754130E-12	133.420433153617280E-9
83.000000000000014E+0	116.372976884862200E-12	208.504677762053720E-9
84.000000000000014E+0	172.462373521960210E-12	52.610467499315750E-9
85.000000000000014E+0	305.006392905458990E-12	15.716790644619595E-9
86.000000000000014E+0	113.721460307832390E-12	208.412779126091150E-9
87.000000000000014E+0	227.281888505846140E-12	23.489079809531187E-9
88.000000000000014E+0	136.954499007954290E-12	107.241903649539200E-9
89.000000000000014E+0	95.282465241803557E-12	211.740989403659060E-9
90.000000000000014E+0	194.858323222986600E-12	355.015698698551480E-9
91.000000000000014E+0	206.543329606003680E-12	495.609445127819840E-9
92.000000000000014E+0	213.470283005708350E-12	320.370578878361180E-9
93.000000000000014E+0	80.497358509673906E-12	345.597198065744600E-9
94.000000000000014E+0	176.486842299074960E-12	189.379842448546780E-9
95.000000000000014E+0	151.439134900221570E-12	84.711735731230536E-9
96.000000000000014E+0	71.046445416412736E-12	63.333836468394983E-9
97.000000000000014E+0	80.533082062132238E-12	201.054166469982840E-9
98.000000000000014E+0	154.978689515736280E-12	828.196767680004820E-9
99.000000000000014E+0	110.989013583842390E-12	192.968400089458360E-9
100.000000000000010E+0	195.946622403765370E-12	730.227864115076710E-9
101.000000000000010E+0	104.746726214444210E-12	618.645636250330900E-9
102.000000000000010E+0	142.086676995473730E-12	157.857574392300720E-9
103.000000000000010E+0	168.955288903123130E-12	931.071867926597490E-9
104.000000000000010E+0	94.238354955477924E-12	601.014173127214720E-9
105.000000000000010E+0	98.764814646825166E-12	628.735626528368640E-9
106.000000000000010E+0	145.066654642517830E-12	1.113033471922775E-6
107.000000000000010E+0	124.970912358473780E-12	241.440991146926510E-9
108.000000000000010E+0	94.755755403991188E-12	444.653337282547090E-9
109.000000000000010E+0	94.213290975586640E-12	2.339067567726078E-6
110.000000000000010E+0	114.907543493882740E-12	2.183455613046673E-6
111.000000000000010E+0	131.955866463348380E-12	2.981558772779377E-6
112.000000000000010E+0	84.677430878755480E-12	15.789786209282329E-9
113.000000000000010E+0	33.545361615397322E-12	123.456391309049510E-9
114.000000000000010E+0	52.897629292282745E-12	2.497695334341128E-6
115.000000000000010E+0	61.301352482118087E-12	987.523197221250980E-9
116.000000000000010E+0	43.977210712646869E-12	1.074054815065616E-6
117.000000000000010E+0	88.983207378867263E-12	2.796431938919398E-6
118.000000000000010E+0	99.469456525202138E-12	1.270116100071451E-6
119.000000000000010E+0	107.101652215643450E-12	1.593961828556722E-6
120.000000000000010E+0	96.022774034999169E-12	456.223372963212560E-9
121.000000000000010E+0	87.881938865704073E-12	4.365995069134502E-6
122.000000000000010E+0	43.801002474427808E-12	4.942487247921529E-6
123.000000000000010E+0	17.126229755706706E-12	1.905374900731147E-6
124.000000000000010E+0	29.846934355313862E-12	6.647463499880487E-6
125.000000000000010E+0	129.230434047307580E-12	6.526990541363377E-6
126.000000000000010E+0	107.532200741048690E-12	8.617631686512662E-6
127.000000000000010E+0	67.453568736150861E-12	2.787721749252533E-6
128.000000000000030E+0	67.037411454933743E-12	1.186073347210378E-6
129.000000000000030E+0	85.456575261094508E-12	4.104973922380525E-6
130.000000000000030E+0	41.733068522860756E-12	1.875224670513711E-6
131.000000000000030E+0	39.915098669707373E-12	2.809295398924660E-6
132.000000000000030E+0	65.600436068195230E-12	31.473953232232170E-6
133.000000000000030E+0	49.740075875803096E-12	13.179286862667938E-6
134.000000000000030E+0	144.930010687933650E-12	2.140966805783932E-6
135.000000000000030E+0	59.660165394142077E-12	4.356066687056762E-6
136.000000000000030E+0	79.505906978312825E-12	9.137393006426824E-6
137.000000000000030E+0	109.625255071149400E-12	3.758636944127296E-6
138.000000000000030E+0	132.402904737277690E-12	3.113517998089739E-6
139.000000000000030E+0	45.253553115468489E-12	17.237293221855343E-6
140.000000000000030E+0	15.208317594012139E-12	24.131059212475265E-6
141.000000000000030E+0	44.405046313342363E-12	2.293654055409507E-6
142.000000000000030E+0	57.203011245149159E-12	13.804317038434627E-6
143.000000000000030E+0	58.521775228684645E-12	24.913835208023155E-6
144.000000000000030E+0	113.153164657080660E-12	14.896477606702103E-6
145.000000000000030E+0	106.224306185390060E-12	9.045621321859024E-6
146.000000000000030E+0	58.182641411745647E-12	2.242866052972495E-6
147.000000000000030E+0	19.194284880671783E-12	8.123811081469520E-6
148.000000000000030E+0	26.097427592124776E-12	11.116180373073612E-6
149.000000000000030E+0	107.746679931947640E-12	36.548289862142938E-6
150.000000000000030E+0	93.347156264847056E-12	64.768140655332827E-6
151.000000000000030E+0	44.061814407645296E-12	15.159532748287949E-6
152.000000000000030E+0	50.636095584509880E-12	9.134662426159369E-6
153.000000000000030E+0	90.241928128133254E-12	3.858886804421305E-6
154.000000000000030E+0	82.126018042986463E-12	4.586611002351116E-6
155.000000000000030E+0	102.380075606168080E-12	39.301314631552198E-6
156.000000000000030E+0	98.567152532359521E-12	39.368832570669592E-6
157.000000000000030E+0	89.007686476629721E-12	39.389705170410737E-6
158.000000000000030E+0	33.959459893669393E-12	6.226399667044691E-6
159.000000000000030E+0	13.348540005449942E-12	5.791239296756875E-6
160.000000000000030E+0	104.399121309160700E-12	45.110086808447976E-6
161.000000000000030E+0	172.669351683635670E-12	18.369675688965069E-6
162.000000000000030E+0	93.217232708361255E-12	4.426210579234011E-6
163.000000000000030E+0	66.819084707181129E-12	625.892671478157300E-9
164.000000000000030E+0	32.742101376933642E-12	1.429256367142162E-6
165.000000000000030E+0	56.943295786309988E-12	14.607399647146562E-6
166.000000000000030E+0	96.203047516110602E-12	33.384458025805059E-6
167.000000000000030E+0	118.550915752419340E-12	188.158808779838010E-6
168.000000000000030E+0	84.751761749895984E-12	210.682229305637050E-6
169.000000000000030E+0	72.553909361383589E-12	39.286896111892958E-6
170.000000000000030E+0	39.738770526171013E-12	36.500038139696757E-6
171.000000000000030E+0	26.963861040071972E-12	28.291090427863315E-6
172.000000000000030E+0	79.475905921176972E-12	60.876481114394612E-6
173.000000000000030E+0	83.014755594980446E-12	79.499481736538836E-6
