Freq (Hz)	GxyMicrophone/Source_Real	GxyMicrophone/Source_Imag
20.000000000000004E+0	1.458377656708953E-9	1.358253478643814E-9
21.000000000000004E+0	1.870232441487543E-9	2.333910319528478E-9
22.000000000000004E+0	1.348629826012221E-9	-161.469988083588650E-12
23.000000000000004E+0	1.468512423534596E-9	-2.368100868191777E-9
24.000000000000004E+0	1.218142885939920E-9	1.106729288318514E-9
25.000000000000004E+0	-125.607029469161260E-12	-937.235574557668680E-12
26.000000000000004E+0	2.963876108762260E-9	-1.810161243236421E-9
27.000000000000004E+0	-40.359987599974631E-12	286.232916098924030E-12
28.000000000000004E+0	-1.035030060702355E-9	1.087790086573058E-9
29.000000000000004E+0	251.230161340967780E-12	-6.396650558860014E-9
30.000000000000004E+0	263.253892128487150E-12	251.470306801428430E-12
31.000000000000004E+0	46.960734640731875E-12	116.871949129739440E-12
32.000000000000007E+0	-1.368107780539693E-12	1.406547993460570E-9
33.000000000000007E+0	485.081906077597080E-12	-346.333760136244380E-12
34.000000000000007E+0	-289.729219313889070E-12	-387.946379045804920E-12
35.000000000000007E+0	969.381118320620120E-12	40.897585041479170E-12
36.000000000000007E+0	124.676948727200120E-12	-293.533559089604920E-12
37.000000000000007E+0	139.671586278950550E-12	333.555122423598930E-12
38.000000000000007E+0	-447.321098247443440E-12	-709.292301573782920E-12
39.000000000000007E+0	143.612707011399200E-12	259.140400048416040E-12
40.000000000000007E+0	181.486223764480360E-12	455.464036791450160E-12
41.000000000000007E+0	-165.881232126982520E-12	-838.594276938966690E-12
42.000000000000007E+0	-1.039830399752653E-9	742.610185904795150E-12
43.000000000000007E+0	1.888335813174155E-9	116.105392274303100E-12
44.000000000000007E+0	-1.780213968725154E-9	59.109803061718491E-12
45.000000000000007E+0	-463.019998913205100E-12	-137.832611873601640E-12
46.000000000000007E+0	467.498131606144800E-12	-173.994942837145740E-12
47.000000000000007E+0	1.579922486217589E-9	-951.115026883515050E-12
48.000000000000007E+0	-58.027248575880700E-12	-757.684399465520320E-12
49.000000000000007E+0	-7.842072068761316E-9	6.517496232079764E-9
50.000000000000007E+0	4.991079314498716E-9	-4.125916683727604E-9
51.000000000000007E+0	-6.796830797615416E-9	-2.381181642096644E-9
52.000000000000007E+0	3.352594377499682E-9	-2.983896296152549E-9
53.000000000000007E+0	-620.874355685069960E-12	-371.186712825213220E-12
54.000000000000007E+0	-163.389032633119440E-12	304.134049403771120E-12
55.000000000000007E+0	-8.601943178914862E-9	5.253884531628317E-9
56.000000000000007E+0	3.022975947027285E-9	-2.918214441712574E-9
57.000000000000007E+0	-4.840321391960708E-9	-2.956584693470533E-9
58.000000000000007E+0	974.511603057007330E-12	-233.033869052171680E-12
59.000000000000007E+0	-252.621180208201240E-12	-791.501629286646400E-12
60.000000000000007E+0	-1.208757895815533E-9	895.444101033121520E-12
61.000000000000007E+0	1.618197285671493E-9	-872.911595773366730E-12
62.000000000000007E+0	-966.727689107546020E-12	863.323686869260830E-12
63.000000000000007E+0	516.796346271190350E-12	-879.998829255508410E-12
64.000000000000014E+0	142.816729460838940E-12	-269.734915200051290E-12
65.000000000000014E+0	-1.294427900248471E-9	1.770131724086248E-9
66.000000000000014E+0	972.483647143355800E-12	-864.411738169133230E-12
67.000000000000014E+0	-675.197998941720310E-12	996.980651352330080E-12
68.000000000000014E+0	692.664325538940840E-12	106.308196462443140E-12
69.000000000000014E+0	-195.765535089528630E-12	17.281697751636335E-12
70.000000000000014E+0	297.709831884832320E-12	-253.338639522977110E-12
71.000000000000014E+0	-551.062281747106350E-12	-374.298490297878580E-12
72.000000000000014E+0	99.173689192691732E-12	296.099330477915490E-12
73.000000000000014E+0	1.169078044234569E-9	-216.129675941893510E-12
74.000000000000014E+0	-1.623411553350395E-9	-970.330247174732330E-12
75.000000000000014E+0	122.759173389632110E-12	851.138289474546490E-12
76.000000000000014E+0	150.985349250785740E-12	1.528443468736520E-9
77.000000000000014E+0	-889.972349307669370E-12	-282.896169768902720E-12
78.000000000000014E+0	1.606546627244374E-9	-704.028892852747940E-12
79.000000000000014E+0	-247.681469068288520E-12	-713.864447722802200E-12
80.000000000000014E+0	-703.240154834622410E-12	-1.622265514960029E-9
81.000000000000014E+0	-1.067688535487240E-9	851.825563475460360E-12
82.000000000000014E+0	-1.345278248985511E-9	2.159358570331726E-9
83.000000000000014E+0	-680.126545801120520E-12	-1.287888839289036E-9
84.000000000000014E+0	201.557491559923160E-12	-380.857352676631140E-12
85.000000000000014E+0	-176.505822231213080E-12	-349.248813552936800E-12
86.000000000000014E+0	-1.234562105843264E-9	586.722456019773580E-12
87.000000000000014E+0	356.462984451339770E-12	-192.091572601257820E-12
88.000000000000014E+0	205.827282611074870E-12	866.711748628108580E-12
89.000000000000014E+0	-335.398827175217870E-12	525.949431472554340E-12
90.000000000000014E+0	-3.958874892111376E-9	246.973896078466510E-12
91.000000000000014E+0	-751.158559963174040E-12	-4.034059231575273E-9
92.000000000000014E+0	1.569602623368967E-9	1.727692965256828E-9
93.000000000000014E+0	-1.564699704442039E-9	-76.064346550692735E-12
94.000000000000014E+0	930.017826101597660E-12	543.180265896073820E-12
95.000000000000014E+0	-1.125888506845143E-9	533.042914898191650E-12
96.000000000000014E+0	-1.101079738225990E-9	574.807453417309570E-12
97.000000000000014E+0	-1.981256619729783E-9	440.993715563761220E-12
98.000000000000014E+0	-2.871227459925582E-9	3.191289746783789E-9
99.000000000000014E+0	-1.231322723197803E-9	1.264246411721009E-9
100.000000000000010E+0	6.211184288297437E-9	8.155492077586652E-9
101.000000000000010E+0	404.577841144334540E-12	5.355450881557899E-9
102.000000000000010E+0	2.599490641717219E-12	-1.544946551673491E-9
103.000000000000010E+0	5.998327453802661E-9	-2.356724065114556E-9
104.000000000000010E+0	2.196168114815594E-9	-1.673794917178683E-9
105.000000000000010E+0	4.262201858866870E-9	-1.554211723242624E-9
106.000000000000010E+0	4.286967886002370E-9	-639.528534117918010E-12
107.000000000000010E+0	502.667523511254830E-12	338.775887881691140E-12
108.000000000000010E+0	749.591315701171700E-12	-878.114474667515430E-12
109.000000000000010E+0	2.768007236410074E-9	-5.031486066506473E-9
110.000000000000010E+0	6.840559602142778E-9	2.545309079719269E-9
111.000000000000010E+0	-971.154455779602830E-12	10.114761150160088E-9
112.000000000000010E+0	-393.788855524018460E-12	203.837214456140160E-12
113.000000000000010E+0	112.103880534652710E-12	1.352978789810598E-9
114.000000000000010E+0	-6.728501109923204E-9	2.361766602275733E-9
115.000000000000010E+0	-2.448566641597313E-9	-1.436505660998075E-9
116.000000000000010E+0	461.885810524672640E-12	1.052348788193380E-9
117.000000000000010E+0	7.253178098139924E-9	4.657438448949977E-9
118.000000000000010E+0	3.770781013726578E-9	-4.725009793933069E-9
119.000000000000010E+0	652.800851356923120E-12	-1.792208158277224E-9
120.000000000000010E+0	-2.407054487000026E-9	-1.942299557270741E-9
121.000000000000010E+0	9.475558315616700E-9	-3.937185651945045E-9
122.000000000000010E+0	2.026348137621501E-9	894.216776417518680E-12
123.000000000000010E+0	2.646285104725986E-9	-701.770590829149080E-12
124.000000000000010E+0	496.247786541357780E-12	1.940699193956451E-9
125.000000000000010E+0	-2.125205171641699E-9	-8.062199849296205E-9
126.000000000000010E+0	7.870019239257767E-9	-6.031280548677871E-9
127.000000000000010E+0	-1.897146258625216E-9	1.425182802524238E-9
128.000000000000030E+0	2.084491863074248E-9	70.056554136359124E-12
129.000000000000030E+0	5.967065448957764E-9	-1.642404559831469E-9
130.000000000000030E+0	500.291152832306320E-12	-1.936229592204882E-9
131.000000000000030E+0	7.343167865864513E-9	3.757013406660376E-9
132.000000000000030E+0	37.717882907288280E-9	-6.339593485340416E-9
133.000000000000030E+0	12.960143833452863E-9	-13.645868111720565E-9
134.000000000000030E+0	10.003519364092434E-9	-6.651680156987840E-9
135.000000000000030E+0	-7.444617194021101E-9	-1.787582060466963E-9
136.000000000000030E+0	-7.774254983027595E-9	-14.383039894725332E-9
137.000000000000030E+0	2.971590428321152E-9	-12.113959899026975E-9
138.000000000000030E+0	-4.638462521569837E-9	-7.621458060956335E-9
139.000000000000030E+0	-11.647180738580105E-9	-9.612597965159823E-9
140.000000000000030E+0	6.464958110703540E-9	2.303484844579690E-9
141.000000000000030E+0	2.339728710114526E-9	1.907362689606290E-9
142.000000000000030E+0	9.193915001621089E-9	4.555438636016208E-9
143.000000000000030E+0	14.856399066573285E-9	13.162759788238398E-9
144.000000000000030E+0	-4.874739219770032E-9	17.227005510089528E-9
145.000000000000030E+0	-5.969245246886972E-9	6.539098029204211E-9
146.000000000000030E+0	-3.039242451429109E-9	-485.633488541142850E-12
147.000000000000030E+0	-177.133173220758300E-12	6.660358631220860E-9
148.000000000000030E+0	-3.986418991737948E-9	5.285575542366522E-9
149.000000000000030E+0	-1.126110444149714E-9	28.568396951772050E-9
150.000000000000030E+0	36.671662088966005E-9	39.943229112819355E-9
151.000000000000030E+0	18.979217383352733E-9	2.116296915334867E-9
152.000000000000030E+0	1.639440535257832E-9	-2.492788101961563E-9
153.000000000000030E+0	10.688546991270771E-9	-9.952662733442699E-9
154.000000000000030E+0	11.836526954876734E-9	-8.231619337367315E-9
155.000000000000030E+0	41.732232211465111E-9	-24.975656986078105E-9
156.000000000000030E+0	41.078892313006307E-9	-17.094057816283228E-9
157.000000000000030E+0	25.923640936917184E-9	-24.377254000968283E-9
158.000000000000030E+0	3.964094730034238E-9	-8.814504872676391E-9
159.000000000000030E+0	-1.892502293235538E-9	-3.225636480957474E-9
160.000000000000030E+0	50.138226606790760E-9	-34.564361712057761E-9
161.000000000000030E+0	37.384424796649629E-9	-31.456914718281293E-9
162.000000000000030E+0	9.248756962312259E-9	-8.281164949819357E-9
163.000000000000030E+0	-812.929850357681740E-12	-171.708206481091890E-12
164.000000000000030E+0	1.764806397877537E-9	-525.927492248589210E-12
165.000000000000030E+0	5.602855045370792E-9	-6.648057220511610E-9
166.000000000000030E+0	14.299947400039148E-9	-32.945452300677698E-9
167.000000000000030E+0	52.004162534022687E-9	-123.559552573948410E-9
168.000000000000030E+0	60.539817301940401E-9	-106.970372700777550E-9
169.000000000000030E+0	5.038815633688326E-9	-19.952912658688897E-9
170.000000000000030E+0	7.291924756114922E-9	-3.184144796745067E-9
171.000000000000030E+0	2.660232428168440E-9	-13.368487459818791E-9
172.000000000000030E+0	15.214016722183211E-9	-53.151142415457031E-9
173.000000000000030E+0	27.185320904517491E-9	-55.562403434439226E-9
174.000000000000030E+0	16.285626015331976E-9	-23.501046023611534E-9
175.000000000000030E+0	14.893099047786235E-9	-31.889027021475389E-9
176.000000000000030E+0	-11.277978976872440E-9	-13.858077707682326E-9
177.000000000000030E+0	757.903391853461370E-12	5.950228275535436E-9
178.000000000000030E+0	28.875458317645335E-9	-30.173781561614676E-9
179.000000000000030E+0	24.996710650798471E-9	-78.293761574497191E-9
180.000000000000030E+0	18.953040632544486E-9	-14.459117762124864E-9
181.000000000000030E+0	2.155775446271107E-9	-20.524635725051408E-9
182.000000000000030E+0	-2.973167075923394E-9	-19.733896177152100E-9
183.000000000000030E+0	6.635289077603835E-9	-9.771941155984541E-9
184.000000000000030E+0	9.453555716800556E-9	-18.367159708870570E-9
185.000000000000030E+0	8.051822374395663E-9	-50.345557363056056E-9
186.000000000000030E+0	18.839751507381409E-9	-76.084641369909033E-9
187.000000000000030E+0	13.582501949531456E-9	-40.977655259460555E-9
188.000000000000030E+0	6.642003015201509E-9	-7.544034706513443E-9
189.000000000000030E+0	-4.773404500100732E-9	-3.482147322778589E-9
190.000000000000030E+0	35.870462709547143E-9	-61.459799078643232E-9
191.000000000000030E+0	97.347047507627126E-9	-152.379102322121990E-9
192.000000000000030E+0	12.147173244747859E-9	-118.958390636403050E-9
193.000000000000030E+0	-14.591771200263254E-9	-50.581983358210247E-9
194.000000000000030E+0	52.680945073643466E-9	-115.435450712910650E-9
195.000000000000030E+0	61.140922005983573E-9	-139.722541784933060E-9
196.000000000000030E+0	8.832319982264993E-9	-31.726144745831471E-9
197.000000000000030E+0	24.592935598499554E-9	-137.319351836201290E-9
198.000000000000030E+0	9.089074951508651E-9	-26.900953184427731E-9
199.000000000000030E+0	21.536892159785312E-9	-126.443425219551040E-9
200.000000000000030E+0	6.646655671429773E-9	-18.333910383354044E-9
201.000000000000030E+0	-34.675093600737601E-9	-79.426232612425474E-9
202.000000000000030E+0	-117.003091061512030E-9	-226.030318547620120E-9
203.000000000000030E+0	-29.173017119117249E-9	-50.641430193881237E-9
204.000000000000030E+0	-917.679744539942080E-12	2.490998954880453E-9
205.000000000000030E+0	-50.658419784513929E-9	-53.852714378035126E-9
206.000000000000030E+0	-3.764049782852815E-9	-11.941342719029091E-9
207.000000000000030E+0	-6.353722111438763E-9	-9.077992324684905E-9
208.000000000000030E+0	-5.514863419624023E-9	-2.201799207456171E-9
209.000000000000030E+0	-42.965433949137962E-9	-66.807643169144962E-9
210.000000000000030E+0	-38.532511063825889E-9	-118.750946626815890E-9
211.000000000000030E+0	-11.263507102587723E-9	-42.373922652683746E-9
212.000000000000030E+0	-59.692941975841050E-9	-40.387589738448275E-9
213.000000000000030E+0	-148.774578818646370E-9	-133.237885295746690E-9
214.000000000000030E+0	-76.215981850716451E-9	-33.359516638406674E-9
215.000000000000030E+0	1.327380750780993E-9	-174.350754380270490E-12
216.000000000000030E+0	-1.268411293857741E-9	-2.918055599997511E-9
217.000000000000030E+0	-45.439346256959599E-9	-75.009975018434001E-9
218.000000000000030E+0	-52.222593209819421E-9	-78.085368381130242E-9
219.000000000000030E+0	-4.810495681410661E-9	1.104386514606036E-9
220.000000000000030E+0	-78.948210163096241E-9	-83.134570034273029E-9
221.000000000000030E+0	-73.981829837816655E-9	-68.828296341404611E-9
222.000000000000030E+0	-51.579501592915875E-9	-60.080556291128795E-9
223.000000000000030E+0	-730.589264387768460E-12	-8.008852486582469E-9
224.000000000000030E+0	-13.121803578395573E-9	1.269347205195815E-9
225.000000000000030E+0	-38.107597110810485E-9	-7.299932642007557E-9
226.000000000000030E+0	-12.911961304098980E-9	-11.830544229142449E-9
227.000000000000030E+0	-1.918124687593955E-9	-3.459524169443233E-9
228.000000000000030E+0	-29.181040637496184E-9	-12.250282418850278E-9
229.000000000000030E+0	-32.638688466694929E-9	-16.457628973375116E-9
230.000000000000030E+0	-18.138033727591757E-9	-49.548880901370690E-9
231.000000000000030E+0	-106.354210812007750E-9	-155.116472225036710E-9
232.000000000000030E+0	-80.708843352498185E-9	-75.039637935868395E-9
233.000000000000030E+0	-22.118482150312364E-9	-21.641725758262976E-9
234.000000000000030E+0	-14.241359009847109E-9	-15.514037325859118E-9
235.000000000000030E+0	-56.103372041016759E-9	-8.201937877715175E-9
236.000000000000030E+0	-102.300976133801640E-9	-25.304500502278024E-9
237.000000000000030E+0	-86.747883666626777E-9	-42.160383190489942E-9
238.000000000000030E+0	-20.290819704900314E-9	-10.397156949055929E-9
239.000000000000030E+0	-16.790258308273783E-9	-15.512321405451683E-9
240.000000000000030E+0	-57.251169865847460E-9	-29.648740314362447E-9
241.000000000000030E+0	-7.507457874573000E-9	-3.272988441004147E-9
242.000000000000030E+0	-5.371333816583540E-9	1.744749424153853E-9
243.000000000000030E+0	-35.123769573645784E-9	-4.856178997457608E-9
244.000000000000030E+0	-52.616555590495242E-9	2.263933292519859E-9
245.000000000000030E+0	-173.100309897161940E-9	26.539000507484759E-9
246.000000000000030E+0	-11.018788566147904E-9	7.769849152183464E-9
247.000000000000030E+0	-5.047618291491409E-9	-10.671096611514638E-9
248.000000000000030E+0	-21.536430030469744E-9	-3.528351982085700E-9
249.000000000000030E+0	-15.141556026405883E-9	8.430401356432696E-9
250.000000000000030E+0	-26.473620360137135E-9	3.040276026891044E-9
251.000000000000030E+0	-22.280389297217164E-9	-13.176440401851180E-9
252.000000000000030E+0	-11.800644586440035E-9	9.677278894558956E-9
253.000000000000030E+0	-3.416402468862032E-9	-1.851958673903935E-9
254.000000000000030E+0	-39.446835001229686E-9	10.917345931413499E-9
255.000000000000030E+0	-90.429306999417199E-9	33.480293448762526E-9
256.000000000000060E+0	-56.625970815036321E-9	28.399140140816977E-9
257.000000000000060E+0	-5.733867129178652E-9	674.046427426411140E-12
258.000000000000060E+0	-41.905113928043426E-9	-609.085467056064500E-12
259.000000000000060E+0	-12.799121800650449E-9	7.319356789357328E-9
260.000000000000060E+0	-910.585708108792640E-12	-3.071889647748524E-9
261.000000000000060E+0	968.961690246472120E-12	-281.785616198387660E-12
262.000000000000060E+0	-5.263106116125393E-9	-40.872818138063089E-12
263.000000000000060E+0	-28.599211173289965E-9	-13.093889010104685E-9
264.000000000000060E+0	-2.532487312823162E-9	8.879803010251116E-9
265.000000000000060E+0	2.810169711565277E-9	-1.963797167736571E-9
266.000000000000060E+0	-14.561200204363255E-9	19.761705183559600E-9
267.000000000000060E+0	693.388469864121140E-12	1.371228290924293E-9
268.000000000000060E+0	2.434441254921244E-9	5.094572393703698E-9
269.000000000000060E+0	711.571341304554220E-12	6.243144624094467E-9
270.000000000000060E+0	-567.498869201059520E-12	3.603645105135955E-9
271.000000000000060E+0	-3.462057730446680E-9	2.356911230959416E-9
272.000000000000060E+0	373.803626765394620E-12	3.506436436549845E-9
273.000000000000060E+0	-3.482395490665960E-9	6.931181171950237E-9
274.000000000000060E+0	-12.250105149450709E-9	16.760119801836646E-9
275.000000000000060E+0	-1.221630444024266E-9	8.214011321937909E-9
276.000000000000060E+0	-101.977091267843220E-12	3.249712406617047E-9
277.000000000000060E+0	1.217847820299549E-9	24.411408808838776E-9
278.000000000000060E+0	1.577640332559557E-9	15.715238612212589E-9
