Freq (Hz)	Microphone/Source_Real	Microphone/Source_Imag
20.000000000000004E+0	135.428615612669140E-3	126.130832721975670E-3
21.000000000000004E+0	54.970480255860946E-3	68.599051269020980E-3
22.000000000000004E+0	159.085527601967370E-3	-19.047137880760727E-3
23.000000000000004E+0	68.108916588260460E-3	-109.831406203599700E-3
24.000000000000004E+0	38.174818874525597E-3	34.683279451320173E-3
25.000000000000004E+0	-21.539218952828804E-3	-160.718093056521460E-3
26.000000000000004E+0	58.037552514002874E-3	-35.445924309238201E-3
27.000000000000004E+0	-3.238375726408256E-3	22.966551347364333E-3
28.000000000000004E+0	-114.493561278803960E-3	120.329800712274730E-3
29.000000000000004E+0	3.905402007813734E-3	-99.436675128945870E-3
30.000000000000004E+0	623.402628959716430E-3	595.498319503679260E-3
31.000000000000004E+0	24.488764546825033E-3	60.945589251584553E-3
32.000000000000007E+0	-28.534422203995836E-6	29.336164055550031E-3
33.000000000000007E+0	115.453351905372490E-3	-82.430189592197139E-3
34.000000000000007E+0	-37.026998284718421E-3	-49.579017075006948E-3
35.000000000000007E+0	21.550632096013152E-3	909.207732838074710E-6
36.000000000000007E+0	20.749959029050646E-3	-48.852730091171352E-3
37.000000000000007E+0	2.961426957131173E-3	7.072298364691103E-3
38.000000000000007E+0	-25.640916027189695E-3	-40.657381050524632E-3
39.000000000000007E+0	36.344716645887953E-3	65.581831909304195E-3
40.000000000000007E+0	3.632221275572210E-3	9.115546791247375E-3
41.000000000000007E+0	-22.678039599539474E-3	-114.646328439440350E-3
42.000000000000007E+0	-117.306286481141820E-3	83.776011195944730E-3
43.000000000000007E+0	97.103725722719303E-3	5.970477331244087E-3
44.000000000000007E+0	-51.686011183833418E-3	1.716170076066777E-3
45.000000000000007E+0	-211.726733439407590E-3	-63.027188332938147E-3
46.000000000000007E+0	20.168481342642292E-3	-7.506369589689629E-3
47.000000000000007E+0	37.110505577517827E-3	-22.340564058001916E-3
48.000000000000007E+0	-2.958506228580252E-3	-38.630368837590676E-3
49.000000000000007E+0	-216.955022083638870E-3	180.309939332685220E-3
50.000000000000007E+0	1.007958171984843E+0	-833.236896518750550E-3
51.000000000000007E+0	-272.812444790987260E-3	-95.576306754570545E-3
52.000000000000007E+0	118.902822213533900E-3	-105.826607950601230E-3
53.000000000000007E+0	-157.003756944085140E-3	-93.863932223421237E-3
54.000000000000007E+0	-10.735125101139166E-3	19.982473824890695E-3
55.000000000000007E+0	-172.447918341975590E-3	105.327532610219310E-3
56.000000000000007E+0	860.466273911397410E-3	-830.646737233924460E-3
57.000000000000007E+0	-223.528830391836940E-3	-136.536784434094590E-3
58.000000000000007E+0	20.135323219331154E-3	-4.814937307772871E-3
59.000000000000007E+0	-679.970986473058310E-3	-2.130455345104122E+0
60.000000000000007E+0	-31.454208697202758E-3	23.301180267841830E-3
61.000000000000007E+0	88.654672720043071E-3	-47.823397383036190E-3
62.000000000000007E+0	-42.771629099752281E-3	38.196651387829246E-3
63.000000000000007E+0	18.852662653344364E-3	-32.102241401270014E-3
64.000000000000014E+0	36.085379147462536E-3	-68.153687043866110E-3
65.000000000000014E+0	-21.558116851785193E-3	29.480750950731386E-3
66.000000000000014E+0	55.536105745314236E-3	-49.364389662971055E-3
67.000000000000014E+0	-31.821808778675749E-3	46.987295123947580E-3
68.000000000000014E+0	33.203521726550105E-3	5.095984275218238E-3
69.000000000000014E+0	-17.530411923310053E-3	1.547541451470395E-3
70.000000000000014E+0	54.689061034936363E-3	-46.538108035140475E-3
71.000000000000014E+0	-6.284042789972219E-3	-4.268315591835953E-3
72.000000000000014E+0	59.639150501105027E-3	178.062474809600750E-3
73.000000000000014E+0	67.986239874970641E-3	-12.568745145073489E-3
74.000000000000014E+0	-25.974583786856069E-3	-15.525283317187824E-3
75.000000000000014E+0	6.181684069646666E-3	42.860080105064390E-3
76.000000000000014E+0	3.660755883965087E-3	37.058287106992986E-3
77.000000000000014E+0	-46.252177069349698E-3	-14.702213778406591E-3
78.000000000000014E+0	55.968642100616160E-3	-24.526858084508479E-3
79.000000000000014E+0	-9.091640361125839E-3	-26.203812702273732E-3
80.000000000000014E+0	-6.387369958876327E-3	-14.734667729566020E-3
81.000000000000014E+0	-29.861500164954625E-3	23.824166279566669E-3
82.000000000000014E+0	-10.083000161126647E-3	16.184616698444457E-3
83.000000000000014E+0	-3.261924639298901E-3	-6.176786310563158E-3
84.000000000000014E+0	3.831129072604127E-3	-7.239193468136063E-3
85.000000000000014E+0	-11.230398509611578E-3	-22.221382306984980E-3
86.000000000000014E+0	-5.923639188633176E-3	2.815194243270478E-3
87.000000000000014E+0	15.175689611591226E-3	-8.177909656695554E-3
88.000000000000014E+0	1.919280389536049E-3	8.081838527041406E-3
89.000000000000014E+0	-1.584005194836509E-3	2.483928279327599E-3
90.000000000000014E+0	-11.151267131634396E-3	695.670351998082820E-6
91.000000000000014E+0	-1.515625998147486E-3	-8.139593123643703E-3
92.000000000000014E+0	4.899334479664926E-3	5.392795341275082E-3
93.000000000000014E+0	-4.527524277394109E-3	-220.095379755429910E-6
94.000000000000014E+0	4.910859646291433E-3	2.868205289819334E-3
95.000000000000014E+0	-13.290820889531881E-3	6.292432923218633E-3
96.000000000000014E+0	-17.385331437729246E-3	9.075835058628598E-3
97.000000000000014E+0	-9.854342511352941E-3	2.193407494639517E-3
98.000000000000014E+0	-3.466842146665989E-3	3.853298963872347E-3
99.000000000000014E+0	-6.380955237370331E-3	6.551572232214788E-3
100.000000000000010E+0	8.505816599897119E-3	11.168420815425672E-3
101.000000000000010E+0	653.973482455188290E-6	8.656734272010367E-3
102.000000000000010E+0	16.467316514424113E-6	-9.786964975364802E-3
103.000000000000010E+0	6.442389315403040E-3	-2.531194579385952E-3
104.000000000000010E+0	3.654103701728741E-3	-2.784950824819228E-3
105.000000000000010E+0	6.779004845647247E-3	-2.471963823370994E-3
106.000000000000010E+0	3.851607336297439E-3	-574.581582899862070E-6
107.000000000000010E+0	2.081947730264913E-3	1.403141555509653E-3
108.000000000000010E+0	1.685788124929459E-3	-1.974829380645205E-3
109.000000000000010E+0	1.183380623374205E-3	-2.151064867013579E-3
110.000000000000010E+0	3.132905272389686E-3	1.165725130618838E-3
111.000000000000010E+0	-325.720379771116290E-6	3.392440639609200E-3
112.000000000000010E+0	-24.939467216631615E-3	12.909434729161213E-3
113.000000000000010E+0	908.044365674209440E-6	10.959163599911764E-3
114.000000000000010E+0	-2.693883844603541E-3	945.578337679342470E-6
115.000000000000010E+0	-2.479502910399705E-3	-1.454655105865054E-3
116.000000000000010E+0	430.039327644981790E-6	979.790578127141780E-6
117.000000000000010E+0	2.593725953846282E-3	1.665493225180983E-3
118.000000000000010E+0	2.968847504188357E-3	-3.720140067248387E-3
119.000000000000010E+0	409.546100578840070E-6	-1.124373323230711E-3
120.000000000000010E+0	-5.276043775148973E-3	-4.257343381281253E-3
121.000000000000010E+0	2.170308982390833E-3	-901.784264434713690E-6
122.000000000000010E+0	409.985506482317210E-6	180.924447866520030E-6
123.000000000000010E+0	1.388852715395028E-3	-368.311029267709420E-6
