Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
20.000000000000004E+0	218.170511474838870E-3	12.547131892570995E+0
21.000000000000004E+0	61.214290498399451E-3	13.994925937121939E+0
22.000000000000004E+0	137.518263656736190E-3	13.429340725029339E+0
23.000000000000004E+0	142.127247899792640E-3	10.295331708974999E+0
24.000000000000004E+0	110.162024464478940E-3	7.878785862378291E+0
25.000000000000004E+0	267.262267775974340E-3	7.614987395334426E+0
26.000000000000004E+0	65.429319023374108E-3	8.250375005818304E+0
27.000000000000004E+0	283.950208085049000E-3	8.546365916595143E+0
28.000000000000004E+0	78.485680593487303E-3	7.580888887228697E+0
29.000000000000004E+0	85.399369232886699E-3	7.123701040821184E+0
30.000000000000004E+0	372.673900253937870E-3	5.069280628797893E+0
31.000000000000004E+0	446.662385892640070E-3	2.005014125887061E+0
32.000000000000007E+0	76.684598663786921E-3	2.944778637275353E+0
33.000000000000007E+0	169.862403882256370E-3	5.068381038024762E+0
34.000000000000007E+0	136.906950383189040E-3	3.485975419457213E+0
35.000000000000007E+0	86.431921456583655E-3	5.632683035442071E+0
36.000000000000007E+0	275.956346466685490E-3	7.516330425493567E+0
37.000000000000007E+0	83.729986804131504E-3	7.244029178781078E+0
38.000000000000007E+0	65.854261660013125E-3	9.945289227090939E+0
39.000000000000007E+0	83.304197410809189E-3	8.882167912187210E+0
40.000000000000007E+0	34.947492167666808E-3	7.944468679860773E+0
41.000000000000007E+0	137.069028132417090E-3	5.131559152088327E+0
42.000000000000007E+0	364.417391674912160E-3	3.115382232431634E+0
43.000000000000007E+0	223.042120760372190E-3	1.046366582979081E+0
44.000000000000007E+0	130.645619885310320E-3	3.586606023685726E+0
45.000000000000007E+0	226.878354707364700E-3	2.097792089785538E+0
46.000000000000007E+0	116.263586324623760E-3	3.568448875793234E+0
47.000000000000007E+0	137.963801865568060E-3	6.347477539549066E+0
48.000000000000007E+0	77.986393451212097E-3	5.030353149196746E+0
49.000000000000007E+0	127.134039389874410E-3	4.368229967334308E+0
50.000000000000007E+0	492.529171252153840E-3	5.223984191954093E+0
51.000000000000007E+0	558.368383071348950E-3	4.006397530278667E+0
52.000000000000007E+0	186.566684452326690E-3	6.040071793421330E+0
53.000000000000007E+0	203.871241784173040E-3	8.407603564038160E+0
