Freq (Hz)	Coh_Microphone/Source
20.000000000000004E+0	122.805655925307860E-3
21.000000000000004E+0	44.762231801484656E-3
22.000000000000004E+0	22.857169909223325E-3
23.000000000000004E+0	38.426505662616621E-3
24.000000000000004E+0	74.390673181054176E-3
25.000000000000004E+0	115.955937874997750E-3
26.000000000000004E+0	136.029125912696310E-3
27.000000000000004E+0	377.197852433315050E-3
28.000000000000004E+0	11.108673326923854E-3
29.000000000000004E+0	28.889762078701895E-3
30.000000000000004E+0	9.260276761652421E-3
31.000000000000004E+0	288.095705487612100E-3
32.000000000000007E+0	194.243902362446150E-3
33.000000000000007E+0	150.679931380263950E-3
34.000000000000007E+0	259.740124436461940E-3
35.000000000000007E+0	405.057701352768700E-3
36.000000000000007E+0	673.666800083045470E-3
37.000000000000007E+0	492.203843371779410E-3
38.000000000000007E+0	144.512148403563300E-3
39.000000000000007E+0	168.167662727201600E-3
40.000000000000007E+0	113.573876997024300E-3
41.000000000000007E+0	62.718804027883754E-3
42.000000000000007E+0	209.921537899541320E-3
43.000000000000007E+0	166.598875525446720E-3
44.000000000000007E+0	227.478222391057800E-3
45.000000000000007E+0	63.324631344915713E-3
46.000000000000007E+0	158.037109846173310E-3
47.000000000000007E+0	213.958696408789150E-3
48.000000000000007E+0	29.892972463263331E-3
49.000000000000007E+0	32.812968762514827E-3
50.000000000000007E+0	200.926156948112720E-3
51.000000000000007E+0	198.999144030693080E-3
52.000000000000007E+0	121.200371396659840E-3
53.000000000000007E+0	52.795136918633336E-3
54.000000000000007E+0	2.567411441865660E-3
55.000000000000007E+0	25.900723539661861E-3
56.000000000000007E+0	140.484027649782600E-3
57.000000000000007E+0	80.240764029929121E-3
58.000000000000007E+0	17.723043673757776E-3
59.000000000000007E+0	28.340942691075441E-3
60.000000000000007E+0	263.907902837048570E-3
61.000000000000007E+0	257.146767306411730E-3
62.000000000000007E+0	102.121591223436890E-3
63.000000000000007E+0	145.353780337607990E-3
64.000000000000014E+0	169.906904384846400E-3
65.000000000000014E+0	75.314456840897187E-3
66.000000000000014E+0	95.949038777966442E-3
67.000000000000014E+0	241.464207166798760E-3
68.000000000000014E+0	70.278418311209526E-3
69.000000000000014E+0	117.455216382603800E-3
70.000000000000014E+0	257.250897111086560E-3
71.000000000000014E+0	119.368330598371670E-3
72.000000000000014E+0	11.365549212117788E-3
73.000000000000014E+0	48.108972014143971E-3
74.000000000000014E+0	148.744520126213360E-3
75.000000000000014E+0	327.809758000269740E-3
76.000000000000014E+0	91.747441291042800E-3
77.000000000000014E+0	2.598999805651481E-3
78.000000000000014E+0	46.816239370547588E-3
79.000000000000014E+0	161.050309285729720E-3
80.000000000000014E+0	375.080754673041920E-3
81.000000000000014E+0	311.514311773510190E-3
82.000000000000014E+0	161.311753038519000E-3
83.000000000000014E+0	38.284781106476588E-3
84.000000000000014E+0	165.797508841498740E-3
85.000000000000014E+0	438.276127896101040E-3
86.000000000000014E+0	336.971229518221390E-3
87.000000000000014E+0	134.589352521893300E-3
88.000000000000014E+0	464.006369184397640E-3
89.000000000000014E+0	676.000849701390290E-3
90.000000000000014E+0	469.539713152231470E-3
91.000000000000014E+0	98.145106781491534E-3
92.000000000000014E+0	51.124997774651376E-3
93.000000000000014E+0	200.912207086376670E-3
94.000000000000014E+0	148.573014556393180E-3
95.000000000000014E+0	79.534092990556221E-3
96.000000000000014E+0	39.276452166246381E-3
97.000000000000014E+0	75.867158890571162E-3
98.000000000000014E+0	322.715168370369450E-3
99.000000000000014E+0	161.185240561222990E-3
100.000000000000010E+0	331.228043889271410E-3
101.000000000000010E+0	155.104417066545740E-3
102.000000000000010E+0	132.131942581632970E-3
103.000000000000010E+0	186.119181959420120E-3
104.000000000000010E+0	449.901753450744680E-3
105.000000000000010E+0	63.692632020970363E-3
106.000000000000010E+0	184.042552985905580E-3
107.000000000000010E+0	133.805121085386170E-3
108.000000000000010E+0	41.712307116172992E-3
109.000000000000010E+0	15.895214372412453E-3
110.000000000000010E+0	88.601579619928192E-3
111.000000000000010E+0	421.136389858782770E-3
112.000000000000010E+0	295.208317535755160E-3
113.000000000000010E+0	156.300031468258240E-3
114.000000000000010E+0	242.821267176276940E-3
115.000000000000010E+0	102.397769330385900E-3
116.000000000000010E+0	52.172112360407308E-3
117.000000000000010E+0	236.308714777869520E-3
118.000000000000010E+0	202.587991088082560E-3
119.000000000000010E+0	198.679313487445690E-3
120.000000000000010E+0	160.333447430696140E-3
121.000000000000010E+0	73.095601429199714E-3
122.000000000000010E+0	89.285537646394922E-3
123.000000000000010E+0	235.869403460550960E-3
124.000000000000010E+0	435.933203251358920E-3
125.000000000000010E+0	31.492181135491973E-3
126.000000000000010E+0	13.473525932212113E-3
127.000000000000010E+0	21.164273019826055E-3
128.000000000000030E+0	272.518951820123370E-3
129.000000000000030E+0	644.093557037259570E-3
130.000000000000030E+0	229.053221229549710E-3
131.000000000000030E+0	193.615037300957550E-3
132.000000000000030E+0	418.319146866638620E-3
133.000000000000030E+0	126.637705165535050E-3
134.000000000000030E+0	291.848035623230030E-3
135.000000000000030E+0	56.416457701947628E-3
136.000000000000030E+0	180.913093982988990E-3
137.000000000000030E+0	57.910990526524077E-3
138.000000000000030E+0	5.916427456550775E-3
139.000000000000030E+0	88.881574769526489E-3
140.000000000000030E+0	25.616181539237802E-3
141.000000000000030E+0	214.106435202547410E-3
142.000000000000030E+0	255.574933578444410E-3
143.000000000000030E+0	361.357444993272990E-3
144.000000000000030E+0	283.433889851414100E-3
145.000000000000030E+0	349.161956096304460E-3
146.000000000000030E+0	597.981377938937130E-3
147.000000000000030E+0	358.889715442594850E-3
148.000000000000030E+0	146.197850989995910E-3
149.000000000000030E+0	255.626496053271310E-3
150.000000000000030E+0	187.626604120619960E-3
151.000000000000030E+0	4.069039725113086E-3
152.000000000000030E+0	148.862876276845750E-3
153.000000000000030E+0	176.125645613739560E-3
154.000000000000030E+0	358.452870991045170E-3
155.000000000000030E+0	222.363087983520840E-3
156.000000000000030E+0	416.510107000111650E-3
157.000000000000030E+0	665.288123008530460E-3
158.000000000000030E+0	393.581839117135350E-3
