Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
20.000000000000004E+0	1.456335498507191E-9	15.328213470459733E-9
21.000000000000004E+0	7.427170683070498E-9	29.707523654685371E-9
22.000000000000004E+0	11.224115637300769E-9	6.913676843646370E-9
23.000000000000004E+0	2.100556992173825E-9	24.107599947127745E-9
24.000000000000004E+0	5.342715717955763E-9	25.569475757903477E-9
25.000000000000004E+0	5.367201730227408E-9	4.958520446459062E-9
26.000000000000004E+0	1.599585037279267E-9	46.526381752762999E-9
27.000000000000004E+0	2.937580901950618E-9	13.559282088662891E-9
28.000000000000004E+0	2.921465440190145E-9	9.295705981157977E-9
29.000000000000004E+0	8.313333586433249E-9	61.594769225318135E-9
30.000000000000004E+0	5.763193885817443E-9	1.031933971808831E-9
31.000000000000004E+0	954.506997914080570E-12	2.492531356765638E-9
32.000000000000007E+0	1.650407434944226E-9	44.134317970834107E-9
33.000000000000007E+0	854.156792139980400E-12	4.133456958801733E-9
34.000000000000007E+0	701.265144164535670E-12	7.582791070792673E-9
35.000000000000007E+0	1.052135517033273E-9	42.066074341575404E-9
36.000000000000007E+0	745.079630571449230E-12	6.372136526683983E-9
37.000000000000007E+0	477.631632820512550E-12	47.099203256278612E-9
38.000000000000007E+0	682.088285992414780E-12	16.453371224997664E-9
39.000000000000007E+0	686.323090001968870E-12	3.584898619722555E-9
40.000000000000007E+0	761.615260925873780E-12	49.648020075532405E-9
41.000000000000007E+0	866.065852270523520E-12	5.182979842967772E-9
42.000000000000007E+0	2.327182674734987E-9	6.110874732844841E-9
43.000000000000007E+0	1.259343944376243E-9	17.619230620056484E-9
44.000000000000007E+0	317.994681512203480E-12	28.785883211831075E-9
45.000000000000007E+0	322.039449116608780E-12	2.231164952730764E-9
46.000000000000007E+0	366.410055924302640E-12	19.151586548439611E-9
47.000000000000007E+0	418.419295158942750E-12	41.457344391769886E-9
48.000000000000007E+0	2.913300056777513E-9	18.029536164496162E-9
49.000000000000007E+0	9.445525576308773E-9	26.424406357705911E-9
50.000000000000007E+0	2.617762543067186E-9	17.543862977835981E-9
51.000000000000007E+0	12.538214287247924E-9	10.813916792678246E-9
52.000000000000007E+0	18.227662085739875E-9	26.462279665616971E-9
53.000000000000007E+0	1.874602299971045E-9	2.993608492656803E-9
54.000000000000007E+0	2.650941452465316E-9	11.498741384329367E-9
55.000000000000007E+0	3.141022758115233E-9	46.507086631018517E-9
56.000000000000007E+0	3.618576280088602E-9	2.177283357582460E-9
57.000000000000007E+0	4.310636837274592E-9	18.712654907202835E-9
58.000000000000007E+0	2.433653083709448E-9	41.592662779875284E-9
59.000000000000007E+0	2.077800970807409E-9	1.035400335534058E-9
60.000000000000007E+0	1.043204670662698E-9	34.410189063238949E-9
61.000000000000007E+0	706.051364832573510E-12	14.651446292835605E-9
62.000000000000007E+0	643.090440210657360E-12	18.522988401633612E-9
63.000000000000007E+0	406.653770343489410E-12	23.221479277799308E-9
64.000000000000014E+0	404.201892351576820E-12	2.910061369814447E-9
65.000000000000014E+0	711.815056957953080E-12	53.671506264644063E-9
66.000000000000014E+0	732.943637518345290E-12	12.690322937647404E-9
67.000000000000014E+0	515.428802886151830E-12	17.665518917719643E-9
68.000000000000014E+0	197.292111546649370E-12	17.640940121902841E-9
69.000000000000014E+0	382.395553268479460E-12	9.504549912134561E-9
70.000000000000014E+0	261.421828121731320E-12	3.455977579800542E-9
71.000000000000014E+0	129.659384281383890E-12	79.562403515025348E-9
72.000000000000014E+0	214.830431857835530E-12	1.385216102147468E-9
73.000000000000014E+0	71.027165221599667E-12	14.187449806226115E-9
74.000000000000014E+0	190.574758960159450E-12	56.279060549080780E-9
75.000000000000014E+0	233.880359614110390E-12	17.367466202882128E-9
76.000000000000014E+0	129.216405164804320E-12	36.381680083523303E-9
77.000000000000014E+0	207.506511665370180E-12	16.139700788132580E-9
78.000000000000014E+0	97.973152292154243E-12	25.088032744946624E-9
79.000000000000014E+0	255.876098612778610E-12	28.980719465488994E-9
80.000000000000014E+0	222.634034412677330E-12	101.694760449602400E-9
81.000000000000014E+0	72.300536171360724E-12	29.542068395159696E-9
82.000000000000014E+0	236.165739076925550E-12	133.158138618739260E-9
83.000000000000014E+0	352.515551947622670E-12	204.933391692527240E-9
84.000000000000014E+0	176.423252021019580E-12	54.240078287798680E-9
85.000000000000014E+0	376.656135961515380E-12	13.415397105442885E-9
86.000000000000014E+0	256.699931680234660E-12	195.607112921962670E-9
87.000000000000014E+0	296.973404831855920E-12	29.597237026734020E-9
88.000000000000014E+0	397.911649730486650E-12	104.796294319950780E-9
89.000000000000014E+0	207.147319854749110E-12	205.871723033150790E-9
90.000000000000014E+0	189.941555310928010E-12	375.141556063071600E-9
91.000000000000014E+0	193.007472781033010E-12	489.139894948973560E-9
92.000000000000014E+0	127.215069414864670E-12	335.130699204588900E-9
93.000000000000014E+0	126.523334645078810E-12	348.966078464090140E-9
94.000000000000014E+0	157.926303407457550E-12	187.701561142889900E-9
95.000000000000014E+0	291.480305452000880E-12	87.712036470874267E-9
96.000000000000014E+0	266.676060007475100E-12	62.051064086335221E-9
97.000000000000014E+0	370.047086418526830E-12	212.946404844810060E-9
98.000000000000014E+0	380.027335526544250E-12	819.026421363781950E-9
99.000000000000014E+0	269.861068494529160E-12	210.341435097486480E-9
100.000000000000010E+0	162.093882945904410E-12	576.764869162368450E-9
101.000000000000010E+0	51.764086197581548E-12	589.741763904366840E-9
102.000000000000010E+0	96.758344394332686E-12	169.415108825759540E-9
103.000000000000010E+0	61.752032616959875E-12	924.582874217246620E-9
104.000000000000010E+0	39.292537632611678E-12	568.188408481820510E-9
105.000000000000010E+0	95.142815967265507E-12	639.581072694065720E-9
106.000000000000010E+0	214.267398186664590E-12	1.110603757311821E-6
107.000000000000010E+0	160.770869213970440E-12	215.133689824021750E-9
108.000000000000010E+0	187.537755138376490E-12	474.196369918858970E-9
109.000000000000010E+0	230.079998006985420E-12	2.336265389740276E-6
110.000000000000010E+0	197.551039687602430E-12	2.331342104330398E-6
111.000000000000010E+0	114.507684095644030E-12	2.938379340552941E-6
112.000000000000010E+0	118.731193206967850E-12	21.668257022187037E-9
113.000000000000010E+0	62.720390539151641E-12	140.585260034032830E-9
114.000000000000010E+0	132.047835603003570E-12	2.436169196229946E-6
115.000000000000010E+0	111.239031504721090E-12	971.719250651345360E-9
116.000000000000010E+0	243.661142130141790E-12	1.102693077964194E-6
117.000000000000010E+0	587.460628856586860E-12	2.674590297578445E-6
118.000000000000010E+0	584.480208366951220E-12	1.205728307412200E-6
119.000000000000010E+0	359.114320274182380E-12	1.665960878581206E-6
120.000000000000010E+0	276.686517456178810E-12	450.268034243126130E-9
121.000000000000010E+0	194.416106117286200E-12	4.280085329304979E-6
122.000000000000010E+0	134.654134148477130E-12	4.722047525285687E-6
123.000000000000010E+0	168.225796214014060E-12	1.828522286163946E-6
124.000000000000010E+0	63.432784908161839E-12	6.812128807514667E-6
125.000000000000010E+0	211.379397667706240E-12	6.773555849395077E-6
126.000000000000010E+0	210.552144853505200E-12	8.488847091435524E-6
127.000000000000010E+0	97.868784069859477E-12	2.622269262527461E-6
128.000000000000030E+0	154.319933594564860E-12	1.124056883353291E-6
129.000000000000030E+0	122.668864138986570E-12	3.951180207133984E-6
130.000000000000030E+0	162.304135098436910E-12	1.960675948980839E-6
131.000000000000030E+0	210.302185727402390E-12	2.673899732532573E-6
132.000000000000030E+0	182.988685014283050E-12	30.919786076286589E-6
133.000000000000030E+0	119.949990756171310E-12	13.620564088398553E-6
134.000000000000030E+0	77.183328754603637E-12	1.987719243471389E-6
135.000000000000030E+0	97.678384053800386E-12	4.154138215050572E-6
136.000000000000030E+0	194.778237004868510E-12	9.206226007473370E-6
137.000000000000030E+0	87.062371125518893E-12	3.778046027098222E-6
138.000000000000030E+0	149.842080501631880E-12	3.155571519539924E-6
139.000000000000030E+0	238.114258719142220E-12	17.154888081600990E-6
140.000000000000030E+0	296.438879739352790E-12	23.867944173648147E-6
141.000000000000030E+0	252.015584175149870E-12	2.339122088496508E-6
142.000000000000030E+0	91.449692264769122E-12	13.562157630554414E-6
143.000000000000030E+0	48.267899779420826E-12	24.847177411107623E-6
144.000000000000030E+0	141.262824204414390E-12	15.174403187914634E-6
145.000000000000030E+0	183.263065528642440E-12	8.992472932078361E-6
146.000000000000030E+0	82.297656007553083E-12	2.219602823092206E-6
147.000000000000030E+0	100.993769081326720E-12	7.643629853125164E-6
148.000000000000030E+0	110.295870184490440E-12	11.328681264511691E-6
149.000000000000030E+0	67.316743516497371E-12	35.958879307277236E-6
150.000000000000030E+0	180.570088400207950E-12	63.422128130552084E-6
151.000000000000030E+0	261.285182112517610E-12	15.257024491024029E-6
152.000000000000030E+0	190.759207491879210E-12	9.144052619867349E-6
153.000000000000030E+0	121.681800917483290E-12	4.296884409128143E-6
154.000000000000030E+0	110.810562600962940E-12	3.966747665025472E-6
155.000000000000030E+0	97.663073107873152E-12	38.185963720034250E-6
156.000000000000030E+0	156.401355147711690E-12	40.246483147437674E-6
157.000000000000030E+0	135.233415643164120E-12	39.034726002384911E-6
158.000000000000030E+0	142.984059529907210E-12	6.459906379887938E-6
159.000000000000030E+0	158.217097535701910E-12	6.057356725577837E-6
160.000000000000030E+0	296.226606421577700E-12	44.261446622204486E-6
161.000000000000030E+0	262.270074833573730E-12	17.979048023197539E-6
162.000000000000030E+0	140.041924269074240E-12	4.598395957024612E-6
163.000000000000030E+0	212.820172568390500E-12	494.959860283708820E-9
164.000000000000030E+0	135.232043599156930E-12	1.328026567385512E-6
165.000000000000030E+0	142.716099852016740E-12	14.214169078737420E-6
166.000000000000030E+0	71.660520194115822E-12	32.408811998025661E-6
167.000000000000030E+0	28.617027700357148E-12	190.478386651818120E-6
168.000000000000030E+0	74.811952568736444E-12	208.605980960423300E-6
169.000000000000030E+0	71.558408985800736E-12	37.894631162867027E-6
170.000000000000030E+0	71.196526298919494E-12	36.139355396646730E-6
171.000000000000030E+0	51.251585824861917E-12	28.271710864777837E-6
172.000000000000030E+0	153.898623160229010E-12	62.384598118768114E-6
173.000000000000030E+0	136.113562254368410E-12	78.244522425007001E-6
174.000000000000030E+0	120.197168667129880E-12	36.527693891868631E-6
175.000000000000030E+0	214.298636414406050E-12	64.277759689686654E-6
176.000000000000030E+0	225.982691895676400E-12	28.782827036478906E-6
177.000000000000030E+0	126.499375427596110E-12	3.250854700703920E-6
178.000000000000030E+0	146.604175875195740E-12	89.200850182180515E-6
179.000000000000030E+0	495.196652063725130E-12	122.980470850225150E-6
180.000000000000030E+0	167.734356800478560E-12	21.707019606351723E-6
181.000000000000030E+0	138.252277529848010E-12	76.714644401278416E-6
182.000000000000030E+0	179.434130459900310E-12	25.848626331620808E-6
183.000000000000030E+0	151.842784294140920E-12	17.529529893611545E-6
184.000000000000030E+0	120.101900104662820E-12	18.264191405800372E-6
185.000000000000030E+0	129.958596855922840E-12	49.470415684158148E-6
186.000000000000030E+0	215.702911230779250E-12	86.754361759219751E-6
187.000000000000030E+0	171.886824726869110E-12	50.502087790382852E-6
188.000000000000030E+0	111.078834328082960E-12	5.780619688267254E-6
189.000000000000030E+0	166.378650501280300E-12	14.509221023220665E-6
190.000000000000030E+0	143.300501994905220E-12	88.403514137628549E-6
191.000000000000030E+0	165.964526819367790E-12	234.601942225677280E-6
192.000000000000030E+0	192.720815077229580E-12	138.680152551825710E-6
193.000000000000030E+0	133.942554266429880E-12	61.805419677916804E-6
194.000000000000030E+0	157.784776664766810E-12	136.449604170082530E-6
195.000000000000030E+0	83.866624337886174E-12	157.269290599069140E-6
196.000000000000030E+0	33.275768704679293E-12	31.778296095134773E-6
197.000000000000030E+0	89.351871898061481E-12	111.976522536059380E-6
198.000000000000030E+0	102.761266167537880E-12	25.734126888078093E-6
199.000000000000030E+0	208.779402636364060E-12	118.373890171937830E-6
200.000000000000030E+0	174.131447524172890E-12	19.533299272034940E-6
201.000000000000030E+0	70.517603163759322E-12	64.413652157714667E-6
202.000000000000030E+0	83.425738969787608E-12	210.033295584454740E-6
203.000000000000030E+0	38.722334306006006E-12	42.929071957465121E-6
204.000000000000030E+0	35.504611530511439E-12	2.208881990702463E-6
205.000000000000030E+0	67.583033062892610E-12	57.915709047607551E-6
206.000000000000030E+0	73.337587932035460E-12	10.415315471665514E-6
207.000000000000030E+0	91.464390657726564E-12	9.078777886232608E-6
208.000000000000030E+0	99.226489770297003E-12	5.814929352812778E-6
209.000000000000030E+0	56.274712814828275E-12	63.920447064417209E-6
210.000000000000030E+0	106.086034914250950E-12	122.748540013912410E-6
211.000000000000030E+0	136.019847836588430E-12	60.602121079772138E-6
212.000000000000030E+0	54.942060323054244E-12	75.930250334176362E-6
213.000000000000030E+0	262.919364396682400E-12	282.232046443397840E-6
214.000000000000030E+0	165.522343899718670E-12	134.568381683371220E-6
215.000000000000030E+0	62.580281207362424E-12	4.374886457614139E-6
216.000000000000030E+0	47.378979374957328E-12	1.335899899008805E-6
217.000000000000030E+0	86.702242021328254E-12	101.777850538584900E-6
218.000000000000030E+0	134.749919994068160E-12	98.096748845322683E-6
219.000000000000030E+0	113.467362711433230E-12	4.733301964828395E-6
220.000000000000030E+0	194.687067440786500E-12	208.255371920684640E-6
221.000000000000030E+0	105.214817123651040E-12	141.979752825792570E-6
222.000000000000030E+0	109.958732312833110E-12	85.142276935809306E-6
223.000000000000030E+0	35.582589706837256E-12	6.370462298821375E-6
224.000000000000030E+0	111.409013453178130E-12	29.747729487226266E-6
225.000000000000030E+0	171.579517972925200E-12	50.096248802426987E-6
226.000000000000030E+0	179.491156242453090E-12	18.278935729825500E-6
227.000000000000030E+0	53.871743673502864E-12	2.221035823501452E-6
228.000000000000030E+0	89.127278847563854E-12	64.824843341279055E-6
229.000000000000030E+0	117.840998761377670E-12	56.920859498498846E-6
230.000000000000030E+0	109.845832639340240E-12	49.370568788063419E-6
231.000000000000030E+0	151.249550906449700E-12	200.288573823619610E-6
232.000000000000030E+0	46.805299556606588E-12	120.992430157564440E-6
233.000000000000030E+0	75.100324194765243E-12	37.957095027080818E-6
234.000000000000030E+0	38.838269614294393E-12	17.691124554347834E-6
235.000000000000030E+0	97.044220686577927E-12	54.505116910199343E-6
236.000000000000030E+0	163.243460520974530E-12	87.329488431202171E-6
237.000000000000030E+0	67.597403130767184E-12	59.464403741277314E-6
238.000000000000030E+0	17.990954481640845E-12	17.129011461660273E-6
239.000000000000030E+0	71.437922754293144E-12	18.034233374642843E-6
240.000000000000030E+0	78.202893064947825E-12	46.388059280816147E-6
241.000000000000030E+0	50.502363331279613E-12	10.365455021442390E-6
242.000000000000030E+0	64.835694122917515E-12	9.444760360491488E-6
243.000000000000030E+0	80.027274973955667E-12	14.005554172671599E-6
244.000000000000030E+0	206.922464152165530E-12	56.937006956659675E-6
245.000000000000030E+0	257.233881480392030E-12	131.525250404113360E-6
246.000000000000030E+0	77.950168559385975E-12	8.863627273804586E-6
247.000000000000030E+0	102.018003581256280E-12	17.847438436103395E-6
248.000000000000030E+0	116.707351588682710E-12	28.705468176473274E-6
249.000000000000030E+0	69.413039438261691E-12	11.800773499102612E-6
250.000000000000030E+0	99.935777287009950E-12	17.700372085748480E-6
251.000000000000030E+0	94.359107623691564E-12	25.409040729210650E-6
252.000000000000030E+0	183.199951201362670E-12	20.790200224632199E-6
253.000000000000030E+0	66.856834314416660E-12	4.262559915471950E-6
254.000000000000030E+0	162.540533221377840E-12	40.925530371500853E-6
255.000000000000030E+0	339.591037296134650E-12	100.158271834362540E-6
256.000000000000060E+0	235.874247205436520E-12	58.016109523835003E-6
257.000000000000060E+0	56.147219246155203E-12	7.333255738241860E-6
258.000000000000060E+0	129.855681034272250E-12	58.169608393336759E-6
259.000000000000060E+0	114.383632748372970E-12	17.908912695173398E-6
260.000000000000060E+0	66.873146159867883E-12	1.156619112963022E-6
261.000000000000060E+0	103.301886598554180E-12	1.018783317497034E-6
262.000000000000060E+0	52.793893508218047E-12	3.630947388033316E-6
263.000000000000060E+0	152.246629874464380E-12	37.266416202627327E-6
264.000000000000060E+0	60.913247819458203E-12	6.961986985308235E-6
265.000000000000060E+0	84.302897527797383E-12	3.823591594476069E-6
266.000000000000060E+0	72.868328234968272E-12	24.191298686208802E-6
267.000000000000060E+0	48.653195232268423E-12	306.812836292283430E-9
268.000000000000060E+0	94.224157795564529E-12	3.302521987139196E-6
269.000000000000060E+0	29.890434325390524E-12	1.699691332593101E-6
270.000000000000060E+0	30.428028364792082E-12	1.835019736064766E-6
271.000000000000060E+0	55.068947286576545E-12	1.267135988106155E-6
