Freq (Hz)	Coh_Microphone/Source
20.000000000000004E+0	76.222072779784905E-3
21.000000000000004E+0	843.885531894246310E-3
22.000000000000004E+0	852.927932848045910E-3
23.000000000000004E+0	475.088314821528250E-3
24.000000000000004E+0	48.441658875864532E-3
25.000000000000004E+0	254.370379867522530E-3
26.000000000000004E+0	198.393371847194080E-3
27.000000000000004E+0	140.667561701981720E-3
28.000000000000004E+0	170.645133769789680E-3
29.000000000000004E+0	3.208140386717060E-3
30.000000000000004E+0	201.302302347909580E-3
31.000000000000004E+0	55.161207481841966E-3
32.000000000000007E+0	168.679636614620880E-3
33.000000000000007E+0	594.338730215204220E-3
34.000000000000007E+0	67.857284718312788E-3
35.000000000000007E+0	32.774599467887786E-3
36.000000000000007E+0	37.600864926063272E-3
37.000000000000007E+0	10.133729969484346E-3
38.000000000000007E+0	89.607859402062048E-3
39.000000000000007E+0	219.687679313727540E-3
40.000000000000007E+0	41.473450756045846E-3
41.000000000000007E+0	171.618330678467910E-3
42.000000000000007E+0	210.966421641388510E-3
43.000000000000007E+0	365.808933337079870E-3
44.000000000000007E+0	78.021715297730568E-3
45.000000000000007E+0	441.350140871715920E-3
46.000000000000007E+0	497.844197047839660E-3
47.000000000000007E+0	143.980928099242480E-3
48.000000000000007E+0	1.172506256032834E-3
49.000000000000007E+0	14.641084502490969E-3
50.000000000000007E+0	244.474893711258520E-3
51.000000000000007E+0	141.025713644611140E-3
52.000000000000007E+0	210.313589520183170E-3
53.000000000000007E+0	109.610527907815840E-3
54.000000000000007E+0	74.601683533407903E-3
55.000000000000007E+0	32.132709691002931E-3
56.000000000000007E+0	189.413706496741050E-3
57.000000000000007E+0	52.083440209231349E-3
58.000000000000007E+0	163.263495396937570E-3
59.000000000000007E+0	127.459856016017480E-3
60.000000000000007E+0	175.014860132896800E-3
61.000000000000007E+0	62.940326808304511E-3
62.000000000000007E+0	8.494707762602560E-3
63.000000000000007E+0	54.137813905571132E-3
64.000000000000014E+0	276.181874511760910E-3
65.000000000000014E+0	133.005270150605450E-3
66.000000000000014E+0	4.246588142559768E-3
67.000000000000014E+0	69.410685867864155E-3
68.000000000000014E+0	48.890488387186432E-3
69.000000000000014E+0	166.377633929231220E-3
70.000000000000014E+0	371.548976906159840E-3
71.000000000000014E+0	345.050344112875550E-3
72.000000000000014E+0	430.152202963595300E-3
73.000000000000014E+0	71.553558131970812E-3
74.000000000000014E+0	30.043487326783413E-3
75.000000000000014E+0	3.026758319957388E-3
76.000000000000014E+0	335.224505778089320E-3
77.000000000000014E+0	506.697165673802070E-3
78.000000000000014E+0	199.007203782735510E-3
79.000000000000014E+0	25.976953502618878E-3
80.000000000000014E+0	15.005780761214964E-3
81.000000000000014E+0	14.082026376233434E-3
82.000000000000014E+0	21.343109662127133E-3
83.000000000000014E+0	56.764335530402846E-3
84.000000000000014E+0	126.414559627192030E-3
85.000000000000014E+0	138.938922211659960E-3
86.000000000000014E+0	45.055567135240657E-3
87.000000000000014E+0	350.948637954555000E-3
88.000000000000014E+0	516.063867509038880E-3
89.000000000000014E+0	767.332792814397260E-3
90.000000000000014E+0	738.452849107196330E-3
91.000000000000014E+0	452.316038925788530E-3
92.000000000000014E+0	333.335600602007950E-3
93.000000000000014E+0	195.468190535419780E-3
94.000000000000014E+0	563.348025260599680E-3
95.000000000000014E+0	100.423709024165520E-3
96.000000000000014E+0	194.331860501270100E-3
97.000000000000014E+0	357.672560607514730E-3
98.000000000000014E+0	128.525024554920510E-3
99.000000000000014E+0	203.192470191820930E-3
100.000000000000010E+0	312.614554928786370E-3
101.000000000000010E+0	88.434548750153677E-3
102.000000000000010E+0	46.833294995914335E-3
103.000000000000010E+0	369.992325889960890E-3
104.000000000000010E+0	218.893580783462720E-3
105.000000000000010E+0	41.421654592683481E-3
106.000000000000010E+0	84.520068295645651E-3
107.000000000000010E+0	154.789682256790960E-3
108.000000000000010E+0	196.456452231728670E-3
109.000000000000010E+0	102.491323634718980E-3
110.000000000000010E+0	65.391185156491810E-3
111.000000000000010E+0	284.279742440778750E-3
112.000000000000010E+0	234.291526808487530E-3
113.000000000000010E+0	139.840808380818330E-3
114.000000000000010E+0	234.202264605111480E-3
115.000000000000010E+0	119.435937436075430E-3
116.000000000000010E+0	99.810889855701843E-3
