Freq (Hz)	Microphone/Source_Real	Microphone/Source_Imag
20.000000000000004E+0	-85.097891528882572E-3	466.500376325180230E-6
21.000000000000004E+0	-1.431499318974999E-3	459.322942063223160E-3
22.000000000000004E+0	199.331965626263260E-3	1.159726612698807E+0
23.000000000000004E+0	-87.842374154984415E-3	-183.519427414241540E-3
24.000000000000004E+0	-75.980100405236728E-3	-65.945881216388669E-3
25.000000000000004E+0	-406.228631403450220E-3	-332.135344505783860E-3
26.000000000000004E+0	65.962350197677461E-3	-49.696747704820736E-3
27.000000000000004E+0	-158.350190017094050E-3	73.487787287534606E-3
28.000000000000004E+0	-223.322941550060990E-3	61.297778893074355E-3
29.000000000000004E+0	8.931272829698522E-3	-18.794393272899501E-3
30.000000000000004E+0	177.802197429467350E-3	-1.045288975894271E+0
31.000000000000004E+0	54.680774105850490E-3	-134.661883415729410E-3
32.000000000000007E+0	-68.625548678483431E-3	-39.979078477776674E-3
33.000000000000007E+0	261.582497167210660E-3	233.219895684839080E-3
34.000000000000007E+0	79.115901262977351E-3	-4.024058939255394E-3
35.000000000000007E+0	20.870101011515759E-3	-19.600528038489145E-3
36.000000000000007E+0	35.879445362039228E-3	55.760650936898228E-3
37.000000000000007E+0	-8.652730615649678E-3	5.281676817471650E-3
38.000000000000007E+0	-43.145799029619791E-3	43.048912831377871E-3
39.000000000000007E+0	199.163190700902830E-3	-48.917044684789399E-3
40.000000000000007E+0	23.934523614384782E-3	-7.959493551265212E-3
41.000000000000007E+0	92.219882690792496E-3	-142.030217002523750E-3
42.000000000000007E+0	-227.067484389000290E-3	169.652435930095210E-3
43.000000000000007E+0	160.033129317120380E-3	-23.147071880830518E-3
44.000000000000007E+0	-19.048938991300127E-3	22.339108338810622E-3
45.000000000000007E+0	186.852487371300830E-3	-169.673988475850860E-3
46.000000000000007E+0	-61.772134841531094E-3	75.557977603085580E-3
47.000000000000007E+0	19.287405542165816E-3	-32.881025987808732E-3
48.000000000000007E+0	-7.188200608389728E-3	-11.738357207390122E-3
49.000000000000007E+0	-32.828830117355122E-3	64.465424079318601E-3
50.000000000000007E+0	148.628587930232920E-3	119.950979315495910E-3
51.000000000000007E+0	395.755186123778520E-3	83.008054467346964E-3
52.000000000000007E+0	-352.211433116519030E-3	-144.272777873383770E-3
53.000000000000007E+0	116.033225392386640E-3	234.892685868598570E-3
54.000000000000007E+0	131.035477336029880E-3	-5.340039971461557E-3
55.000000000000007E+0	22.031377245163030E-3	-41.046511620721780E-3
56.000000000000007E+0	-477.633845229736950E-3	294.390076197725390E-3
57.000000000000007E+0	92.739953716087856E-3	58.285619768831266E-3
58.000000000000007E+0	78.818905400864447E-3	-57.796088498338005E-3
59.000000000000007E+0	-50.241581658726532E-3	-503.246705333888710E-3
60.000000000000007E+0	66.544840395947685E-3	-29.625391096008678E-3
61.000000000000007E+0	-17.446243248544387E-3	-52.237104392723971E-3
62.000000000000007E+0	426.059060669438670E-6	17.168052191129914E-3
63.000000000000007E+0	-4.571486087749319E-3	-30.449320284555464E-3
64.000000000000014E+0	35.788627555695639E-3	192.562462607772630E-3
65.000000000000014E+0	17.067875206498502E-3	-38.375276756736201E-3
66.000000000000014E+0	-5.267120419134217E-3	-14.748689353423853E-3
67.000000000000014E+0	-31.500732615623347E-3	32.138872371025931E-3
68.000000000000014E+0	-21.653461004902712E-3	8.826511871671923E-3
69.000000000000014E+0	71.516461621481939E-3	39.739772261389604E-3
70.000000000000014E+0	98.653488429852929E-3	-135.545969945145730E-3
71.000000000000014E+0	304.646614368630290E-6	-23.711193774960667E-3
72.000000000000014E+0	38.280904500695233E-3	255.433021937151840E-3
73.000000000000014E+0	18.180480397960327E-3	-5.262262831777088E-3
74.000000000000014E+0	-7.225426689719487E-3	7.037603008215196E-3
75.000000000000014E+0	-4.347170531025684E-3	-4.675701989486316E-3
76.000000000000014E+0	-7.563450111413736E-3	33.666115611139857E-3
77.000000000000014E+0	-5.328040495320687E-3	-80.536740321352565E-3
78.000000000000014E+0	1.705083801693883E-3	27.825358916021035E-3
79.000000000000014E+0	9.662157020483075E-3	-11.661818836147093E-3
80.000000000000014E+0	693.237788451394540E-6	-5.689520796609011E-3
81.000000000000014E+0	-3.134751239731655E-3	-4.963601701216677E-3
82.000000000000014E+0	-4.125622090249738E-3	-4.564297861552771E-3
83.000000000000014E+0	8.895099360485256E-3	4.303510997489543E-3
84.000000000000014E+0	7.276321563673529E-3	18.927116537011311E-3
85.000000000000014E+0	-19.923690252252588E-3	-59.194190236808573E-3
86.000000000000014E+0	-7.667545050364656E-3	-579.879506946004860E-6
87.000000000000014E+0	50.076856182115617E-3	31.838099841445096E-3
88.000000000000014E+0	-32.646476029106114E-3	29.894860757658282E-3
89.000000000000014E+0	18.092431473708218E-3	-21.089124410664500E-3
90.000000000000014E+0	18.240365455787774E-3	-6.417342408680493E-3
91.000000000000014E+0	11.614249211463120E-3	6.602009633252579E-3
92.000000000000014E+0	-11.229158221596237E-3	663.067518122083260E-6
93.000000000000014E+0	-8.255373912613948E-3	1.648932149246330E-3
94.000000000000014E+0	-3.819857059382020E-3	-21.433439821436553E-3
