Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
20.000000000000004E+0	85.099170179635572E-3	9.419296089303311E+0
21.000000000000004E+0	459.325172721804230E-3	7.857098166055230E+0
22.000000000000004E+0	1.176732360701565E+0	7.683766397037092E+0
23.000000000000004E+0	203.459241460385240E-3	10.549148546647178E+0
24.000000000000004E+0	100.607330284606490E-3	10.139593203298041E+0
25.000000000000004E+0	524.724297171282110E-3	10.110163011375198E+0
26.000000000000004E+0	82.588124909321228E-3	11.920690158499649E+0
27.000000000000004E+0	174.571582907607630E-3	8.990273713673496E+0
28.000000000000004E+0	231.582715071302740E-3	9.156894846315851E+0
29.000000000000004E+0	20.808576425477093E-3	11.439193482520803E+0
30.000000000000004E+0	1.060303100314642E+0	11.164060279259568E+0
31.000000000000004E+0	145.340324417852270E-3	11.381293668504778E+0
32.000000000000007E+0	79.421613225589452E-3	9.952281517672187E+0
33.000000000000007E+0	350.452454075415200E-3	7.011325059389076E+0
34.000000000000007E+0	79.218172681524174E-3	6.232366266582469E+0
35.000000000000007E+0	28.631133676794398E-3	5.529147090240588E+0
36.000000000000007E+0	66.306747713895359E-3	7.282221544706871E+0
37.000000000000007E+0	10.137349609795388E-3	8.876742260834149E+0
38.000000000000007E+0	60.948903762642941E-3	8.640503835672495E+0
39.000000000000007E+0	205.082553599417290E-3	6.042339942128960E+0
40.000000000000007E+0	25.223301890120873E-3	5.962137370614799E+0
41.000000000000007E+0	169.343111183441750E-3	5.288270282069802E+0
42.000000000000007E+0	283.445923385332810E-3	2.499920966692482E+0
43.000000000000007E+0	161.698452112834120E-3	-143.643082701541250E-3
44.000000000000007E+0	29.358096635636863E-3	2.276865676274447E+0
45.000000000000007E+0	252.394759062357140E-3	-737.252444371116590E-3
46.000000000000007E+0	97.595105524553236E-3	2.256144956647673E+0
47.000000000000007E+0	38.120412937938143E-3	5.242883595818300E+0
48.000000000000007E+0	13.764419999213264E-3	4.162924572378145E+0
49.000000000000007E+0	72.343092196840417E-3	2.041814218552029E+0
50.000000000000007E+0	190.993964797010030E-3	679.026093904788410E-3
51.000000000000007E+0	404.366794445736640E-3	206.748879095062480E-3
52.000000000000007E+0	380.614671358442120E-3	-2.752820949164526E+0
53.000000000000007E+0	261.989089981862650E-3	-5.171212206596904E+0
54.000000000000007E+0	131.144242525465110E-3	-6.323915396600402E+0
55.000000000000007E+0	46.585380749208601E-3	-7.361374438076121E+0
56.000000000000007E+0	561.070055405425210E-3	-9.977133547585012E+0
57.000000000000007E+0	109.534982937410870E-3	-12.005269542728405E+0
58.000000000000007E+0	97.738465786496448E-3	-13.199082798949876E+0
59.000000000000007E+0	505.748418640122210E-3	-14.236672120033248E+0
60.000000000000007E+0	72.841468827266387E-3	-12.985221031213362E+0
61.000000000000007E+0	55.073464380078020E-3	-14.459501020856530E+0
62.000000000000007E+0	17.173338125144429E-3	-17.303571473275909E+0
63.000000000000007E+0	30.790576331759793E-3	-14.286188189209065E+0
64.000000000000014E+0	195.859970049752970E-3	-11.179332287159578E+0
65.000000000000014E+0	41.999693215792708E-3	-13.718677242067880E+0
66.000000000000014E+0	15.660983211582175E-3	-14.480174727706489E+0
67.000000000000014E+0	45.002258527790474E-3	-16.503388494977251E+0
68.000000000000014E+0	23.383320664773166E-3	-16.095026374423643E+0
69.000000000000014E+0	81.815975104156821E-3	-18.342367617760342E+0
70.000000000000014E+0	167.646117604164870E-3	-19.791196080746342E+0
71.000000000000014E+0	23.713150777435289E-3	-20.407504736075786E+0
72.000000000000014E+0	258.285610023742620E-3	-17.427519174710447E+0
73.000000000000014E+0	18.926734467713185E-3	-19.131302016596198E+0
74.000000000000014E+0	10.086359449759377E-3	-16.480193624106171E+0
75.000000000000014E+0	6.384362201528390E-3	-14.886170221582551E+0
76.000000000000014E+0	34.505262177390847E-3	-17.057768210969424E+0
77.000000000000014E+0	80.712790542198168E-3	-14.203227322312262E+0
78.000000000000014E+0	27.877552072880972E-3	-17.339961119796143E+0
79.000000000000014E+0	15.144480739054262E-3	-19.728455926202386E+0
80.000000000000014E+0	5.731598863003534E-3	-20.299105236440507E+0
81.000000000000014E+0	5.870605350670426E-3	-20.983646172514963E+0
82.000000000000014E+0	6.152525709050862E-3	-21.155312235985672E+0
83.000000000000014E+0	9.881447239064664E-3	-18.398946459832032E+0
84.000000000000014E+0	20.277588513025593E-3	-17.645779756064833E+0
85.000000000000014E+0	62.457230094354874E-3	-20.745023615856180E+0
86.000000000000014E+0	7.689441289323138E-3	-21.915664475691425E+0
87.000000000000014E+0	59.341015550781716E-3	-24.566424173540359E+0
88.000000000000014E+0	44.266184575122096E-3	-22.732578348568854E+0
89.000000000000014E+0	27.786457943381575E-3	-19.711287712017395E+0
90.000000000000014E+0	19.336318562511973E-3	-19.187852031773208E+0
91.000000000000014E+0	13.359540259437506E-3	-18.332665252482528E+0
92.000000000000014E+0	11.248717833568008E-3	-15.766943510505193E+0
93.000000000000014E+0	8.418442591708103E-3	-15.905109253749382E+0
94.000000000000014E+0	21.771165575899993E-3	-14.313534729242557E+0
95.000000000000014E+0	18.268089871533319E-3	-14.216400755265230E+0
96.000000000000014E+0	28.899438356672611E-3	-15.422553835852330E+0
97.000000000000014E+0	24.930796303747067E-3	-14.386717182877414E+0
98.000000000000014E+0	7.722400300277540E-3	-13.765740164574128E+0
99.000000000000014E+0	16.145872047854014E-3	-16.396640431599891E+0
100.000000000000010E+0	9.373213520811810E-3	-19.072564433542066E+0
101.000000000000010E+0	2.786084702534455E-3	-16.365752131361884E+0
102.000000000000010E+0	5.171845013977780E-3	-18.662386740600397E+0
103.000000000000010E+0	4.971060679347045E-3	-16.294504033351927E+0
104.000000000000010E+0	3.890678696710947E-3	-15.800315390606475E+0
105.000000000000010E+0	2.482298017868890E-3	-16.366998885665094E+0
106.000000000000010E+0	4.038112355524595E-3	-16.861977849512897E+0
107.000000000000010E+0	10.755249046300536E-3	-17.972120981269459E+0
108.000000000000010E+0	8.814514418616975E-3	-20.190421670639470E+0
109.000000000000010E+0	3.177034243015712E-3	-19.634545173982108E+0
110.000000000000010E+0	2.353944724896123E-3	-21.607413630550781E+0
111.000000000000010E+0	3.328406345569214E-3	-20.616189052482433E+0
112.000000000000010E+0	35.830157584099784E-3	-18.951893964651781E+0
113.000000000000010E+0	7.898624092789359E-3	-21.164079673298097E+0
114.000000000000010E+0	3.562931434780824E-3	-19.474122347639284E+0
115.000000000000010E+0	3.697649206429520E-3	-20.332833627382413E+0
116.000000000000010E+0	4.696288596895293E-3	-22.281690548808708E+0
117.000000000000010E+0	4.040485278973407E-3	-22.317562245363373E+0
118.000000000000010E+0	4.536256856937857E-3	-23.193085214474859E+0
119.000000000000010E+0	2.836858841847069E-3	-21.146024728685919E+0
120.000000000000010E+0	14.063412726185717E-3	-19.673215911090157E+0
121.000000000000010E+0	5.181489956383719E-3	-17.483953616423779E+0
122.000000000000010E+0	2.024499177876635E-3	-17.820077935285742E+0
123.000000000000010E+0	1.931728067275618E-3	-18.498799720999997E+0
