Freq (Hz)	Coh_Microphone/Source
20.000000000000004E+0	251.891495386283250E-3
21.000000000000004E+0	55.287996939958908E-3
22.000000000000004E+0	147.480892302745160E-3
23.000000000000004E+0	275.904610566733320E-3
24.000000000000004E+0	39.670765832242286E-3
25.000000000000004E+0	36.727445339142989E-3
26.000000000000004E+0	339.186711797591410E-3
27.000000000000004E+0	237.696198567716010E-3
28.000000000000004E+0	7.803008775911110E-3
29.000000000000004E+0	380.015993496186530E-3
30.000000000000004E+0	334.875645070392410E-3
31.000000000000004E+0	59.215707606420587E-3
32.000000000000007E+0	592.663506542107310E-3
33.000000000000007E+0	102.754016833748950E-3
34.000000000000007E+0	6.969294206522024E-3
35.000000000000007E+0	45.723054994987619E-3
36.000000000000007E+0	125.010892702092480E-3
37.000000000000007E+0	580.442848457780380E-3
38.000000000000007E+0	298.280725144943080E-3
39.000000000000007E+0	5.288145221912329E-3
40.000000000000007E+0	332.727019667366560E-3
41.000000000000007E+0	429.690206803146180E-3
42.000000000000007E+0	590.399414605245590E-3
43.000000000000007E+0	444.651704001577390E-3
44.000000000000007E+0	240.198022534755250E-3
45.000000000000007E+0	307.524401556194700E-3
46.000000000000007E+0	281.290154230373180E-3
47.000000000000007E+0	237.304754981467190E-3
48.000000000000007E+0	169.657008392649610E-3
49.000000000000007E+0	65.615712612368426E-3
50.000000000000007E+0	183.473937349553500E-3
51.000000000000007E+0	65.913835372618537E-3
52.000000000000007E+0	285.714359756625290E-3
53.000000000000007E+0	170.063757980183920E-3
54.000000000000007E+0	101.149605858342750E-3
55.000000000000007E+0	243.497025167487530E-3
56.000000000000007E+0	223.374529022749150E-3
57.000000000000007E+0	129.772833216592640E-3
58.000000000000007E+0	192.040785446718210E-3
59.000000000000007E+0	62.697047644887149E-3
60.000000000000007E+0	67.585585273201992E-3
61.000000000000007E+0	53.975680145384342E-3
62.000000000000007E+0	362.948695356498710E-3
63.000000000000007E+0	457.236072535378290E-3
64.000000000000014E+0	185.586566013805690E-3
65.000000000000014E+0	188.844532958409170E-3
66.000000000000014E+0	459.237463453740780E-3
67.000000000000014E+0	422.027724554278560E-3
68.000000000000014E+0	100.631072540385430E-3
69.000000000000014E+0	153.147322208127070E-3
70.000000000000014E+0	500.915727966012690E-3
71.000000000000014E+0	34.905179492193177E-3
72.000000000000014E+0	147.024266253365450E-3
73.000000000000014E+0	224.506949259924590E-3
74.000000000000014E+0	75.125386864941801E-3
75.000000000000014E+0	120.175474381198150E-3
76.000000000000014E+0	197.214941067419270E-3
77.000000000000014E+0	223.399026568185060E-3
78.000000000000014E+0	52.909744648223761E-3
79.000000000000014E+0	3.037587642964387E-3
80.000000000000014E+0	166.697198207174410E-3
81.000000000000014E+0	229.933103103242440E-3
82.000000000000014E+0	388.266542423513270E-3
83.000000000000014E+0	187.686748674671560E-3
84.000000000000014E+0	121.705937727174320E-3
85.000000000000014E+0	295.469026402944310E-3
86.000000000000014E+0	534.773197190403500E-3
87.000000000000014E+0	186.631799854980740E-3
88.000000000000014E+0	1.058420129233220E-3
89.000000000000014E+0	411.295243455240100E-3
90.000000000000014E+0	406.074833336063590E-3
91.000000000000014E+0	714.298307528121400E-3
92.000000000000014E+0	451.746705970229980E-3
93.000000000000014E+0	10.717550556393606E-3
94.000000000000014E+0	321.646522259456610E-3
95.000000000000014E+0	452.644487398985660E-3
96.000000000000014E+0	228.282453389831000E-3
97.000000000000014E+0	696.147937524899900E-3
98.000000000000014E+0	330.886450171911480E-3
99.000000000000014E+0	92.547309463326552E-3
100.000000000000010E+0	316.002468929134140E-3
101.000000000000010E+0	217.226950846691830E-3
102.000000000000010E+0	200.531474968451000E-3
103.000000000000010E+0	179.300128561294820E-3
104.000000000000010E+0	7.865129726745865E-3
105.000000000000010E+0	159.950656436634170E-3
106.000000000000010E+0	462.172489905429750E-3
107.000000000000010E+0	541.386723043932540E-3
108.000000000000010E+0	104.500775954159660E-3
109.000000000000010E+0	109.870674651705220E-3
110.000000000000010E+0	222.947451500657950E-3
111.000000000000010E+0	103.513561500755700E-3
112.000000000000010E+0	42.588719875662533E-3
113.000000000000010E+0	627.575391205695050E-3
114.000000000000010E+0	212.685676500735050E-3
115.000000000000010E+0	252.923089002859370E-3
116.000000000000010E+0	548.117328946173710E-3
