Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
20.000000000000004E+0	2.093739461823575E-9	12.041017273955152E-9
21.000000000000004E+0	3.011460491598688E-9	31.708148987697097E-9
22.000000000000004E+0	9.574758975486569E-9	7.114307921409730E-9
23.000000000000004E+0	2.344751704596371E-9	23.414139932019272E-9
24.000000000000004E+0	4.715477800607807E-9	31.971260808294536E-9
25.000000000000004E+0	5.232911294829911E-9	4.801072798008554E-9
26.000000000000004E+0	996.495803542934840E-12	45.883613735603303E-9
27.000000000000004E+0	6.054481059135129E-9	10.824164973337753E-9
28.000000000000004E+0	5.428998878271837E-9	7.269027740515727E-9
29.000000000000004E+0	8.411833530601715E-9	66.726447888158069E-9
30.000000000000004E+0	9.005143303831621E-9	965.329305407060040E-12
31.000000000000004E+0	1.267411776683807E-9	1.529812521518587E-9
32.000000000000007E+0	1.301353851803203E-9	50.942160249635795E-9
33.000000000000007E+0	1.121257561155482E-9	2.546454784118664E-9
34.000000000000007E+0	665.176918574681880E-12	7.389636579418597E-9
35.000000000000007E+0	707.173713098765430E-12	37.611494018207552E-9
36.000000000000007E+0	466.342784158827070E-12	6.571297103157028E-9
37.000000000000007E+0	420.208498333968580E-12	46.024999104244179E-9
38.000000000000007E+0	496.778861974969090E-12	16.871398278277624E-9
39.000000000000007E+0	258.577824837248880E-12	4.009437227256056E-9
40.000000000000007E+0	268.780568831206850E-12	53.296641764225218E-9
41.000000000000007E+0	537.369259840631230E-12	6.058873236468201E-9
42.000000000000007E+0	1.050113542742384E-9	8.204353284990720E-9
43.000000000000007E+0	1.519246342740443E-9	15.930292641337665E-9
44.000000000000007E+0	928.134539870804250E-12	34.478324176875743E-9
45.000000000000007E+0	447.590499477289380E-12	1.419780478438111E-9
46.000000000000007E+0	433.820778597570350E-12	25.505246488663347E-9
47.000000000000007E+0	628.417330441192270E-12	38.194529756009904E-9
48.000000000000007E+0	3.528098058909337E-9	17.666466621080513E-9
49.000000000000007E+0	10.160781675123037E-9	18.865235850362319E-9
50.000000000000007E+0	2.123137898118140E-9	29.281829233998932E-9
51.000000000000007E+0	3.347175207347285E-9	21.768014775660030E-9
52.000000000000007E+0	7.325553771865963E-9	24.743354161522356E-9
53.000000000000007E+0	6.115487550596698E-9	4.570722545635921E-9
54.000000000000007E+0	4.155270789155685E-9	12.165414785925621E-9
55.000000000000007E+0	3.074032008123693E-9	51.093740255945422E-9
56.000000000000007E+0	3.390613574074194E-9	2.593823857340383E-9
57.000000000000007E+0	6.665038707807871E-9	21.700840848017016E-9
58.000000000000007E+0	4.582275341550518E-9	44.146131995693651E-9
59.000000000000007E+0	2.180071144567372E-9	510.354279573110530E-12
60.000000000000007E+0	827.723913491498920E-12	37.340961417423191E-9
61.000000000000007E+0	1.043453325501665E-9	15.407849348205758E-9
62.000000000000007E+0	933.817550155462420E-12	20.925046072595182E-9
63.000000000000007E+0	519.261092105191120E-12	26.831815393562469E-9
64.000000000000014E+0	225.817753678778640E-12	3.456246325502128E-9
65.000000000000014E+0	330.980942955095680E-12	57.470553580563541E-9
66.000000000000014E+0	185.658497520819780E-12	14.617372253566693E-9
67.000000000000014E+0	187.119720927722260E-12	20.751150730611326E-9
68.000000000000014E+0	287.661605976224680E-12	18.859772885993245E-9
69.000000000000014E+0	315.746885069492420E-12	10.392442686806182E-9
70.000000000000014E+0	87.408675628682187E-12	4.790506058065832E-9
71.000000000000014E+0	179.080455164539560E-12	83.157012655347894E-9
72.000000000000014E+0	127.924568475466600E-12	1.441885006315267E-9
73.000000000000014E+0	89.890746277334030E-12	15.600788198727843E-9
74.000000000000014E+0	199.945847140483940E-12	58.173958285237043E-9
75.000000000000014E+0	142.717727996931610E-12	19.544617060261733E-9
76.000000000000014E+0	173.073892575448050E-12	39.400281246230045E-9
77.000000000000014E+0	238.328444259410560E-12	17.163225125948279E-9
78.000000000000014E+0	220.526777405255670E-12	28.443397957447754E-9
