Freq (Hz)	Microphone/Source_Real	Microphone/Source_Imag
141.000000000000030E+0	-504.159057733106390E-6	-425.314489516968720E-6
142.000000000000030E+0	362.850130079532170E-6	-654.996847995980650E-6
143.000000000000030E+0	193.991796457872030E-6	-1.483616236762090E-3
144.000000000000030E+0	1.125265569660556E-3	-1.824337308639495E-3
145.000000000000030E+0	370.979753427561350E-6	-957.965459196466730E-6
146.000000000000030E+0	-705.472868797899250E-6	-1.403270660782670E-3
147.000000000000030E+0	53.215900871018833E-6	183.916346664732600E-6
148.000000000000030E+0	715.553578425836160E-6	159.147802599641210E-6
149.000000000000030E+0	1.159199659535103E-3	-11.268273802231914E-6
150.000000000000030E+0	605.329548389217760E-6	-449.427136184625230E-6
151.000000000000030E+0	-403.320334342445370E-6	-102.875052709572110E-6
152.000000000000030E+0	438.137681421829020E-6	541.679665884903300E-6
153.000000000000030E+0	1.394418745100133E-3	-422.540011455225710E-6
154.000000000000030E+0	2.012817035721467E-3	-606.837903893534280E-6
155.000000000000030E+0	1.336708301272414E-3	-107.475877412533020E-6
156.000000000000030E+0	1.355526724805746E-3	-3.406290561651325E-6
157.000000000000030E+0	1.209605181281538E-3	24.872234548887055E-6
158.000000000000030E+0	1.454925239415087E-3	583.464073786180840E-6
159.000000000000030E+0	-971.432477783421600E-6	-1.460399211145543E-3
160.000000000000030E+0	-172.121030252669120E-6	-1.038518828646799E-3
161.000000000000030E+0	990.035406535971990E-6	-803.221692280593320E-6
162.000000000000030E+0	1.189788843118967E-3	-1.898461882512774E-3
163.000000000000030E+0	-3.299457347736172E-3	5.986270639880016E-3
164.000000000000030E+0	2.370716925093848E-3	1.136038668621699E-3
165.000000000000030E+0	814.513389080175630E-6	-1.782245029124511E-3
166.000000000000030E+0	450.747699629249050E-6	-1.710183741129117E-3
167.000000000000030E+0	554.722665387317080E-6	-796.853379425818600E-6
168.000000000000030E+0	423.689638346624680E-6	-561.307655853461860E-6
169.000000000000030E+0	499.350027547948480E-6	-466.195718446222470E-6
170.000000000000030E+0	542.454335895318230E-6	-508.434859805202940E-6
171.000000000000030E+0	432.830100194846980E-6	-859.146210817773590E-6
172.000000000000030E+0	726.375078756406480E-6	-1.118980001192527E-3
173.000000000000030E+0	683.709982477210270E-6	-919.887872035302570E-6
174.000000000000030E+0	114.888614493493230E-6	-947.381216795156660E-6
175.000000000000030E+0	-133.140524255139830E-6	-1.120098572981095E-3
176.000000000000030E+0	-147.095946626646370E-6	-1.092679378788447E-3
177.000000000000030E+0	690.394558641566260E-6	-1.726583211008114E-3
178.000000000000030E+0	168.005740287255120E-6	-1.439653334448472E-3
179.000000000000030E+0	141.227864831043510E-6	-1.321651569249789E-3
180.000000000000030E+0	562.279506828118810E-6	-1.120999651840431E-3
181.000000000000030E+0	197.455418254665850E-6	-1.244143862844515E-3
182.000000000000030E+0	463.554437353285180E-6	-1.415676021852707E-3
183.000000000000030E+0	671.275751883502440E-6	-1.490874741910251E-3
