Freq (Hz)	Coh_Microphone/Source
20.000000000000004E+0	109.138423569878910E-3
21.000000000000004E+0	91.984777470437443E-3
22.000000000000004E+0	76.423278087073915E-3
23.000000000000004E+0	103.185999926959860E-3
24.000000000000004E+0	39.549660279724334E-3
25.000000000000004E+0	144.164966609256260E-3
26.000000000000004E+0	439.978701936575840E-3
27.000000000000004E+0	195.069743637868030E-3
28.000000000000004E+0	107.461907326565810E-3
29.000000000000004E+0	142.219143277198170E-3
30.000000000000004E+0	52.603081595719539E-3
31.000000000000004E+0	428.229578597612740E-3
32.000000000000007E+0	76.174891296251990E-3
33.000000000000007E+0	97.539006780339957E-3
34.000000000000007E+0	266.337074542868480E-3
35.000000000000007E+0	19.340155936343327E-3
36.000000000000007E+0	363.480029423387700E-3
37.000000000000007E+0	395.035214681890290E-3
38.000000000000007E+0	104.039864481801120E-3
39.000000000000007E+0	479.325128145518860E-3
40.000000000000007E+0	169.586804781843740E-3
41.000000000000007E+0	49.194769395886594E-3
42.000000000000007E+0	212.975846763825750E-3
43.000000000000007E+0	295.582836864301030E-3
44.000000000000007E+0	334.713668943516730E-3
45.000000000000007E+0	499.866998732870940E-3
46.000000000000007E+0	14.310710152827937E-3
47.000000000000007E+0	415.208647784091780E-3
48.000000000000007E+0	221.410130454169520E-3
49.000000000000007E+0	16.350182060195451E-3
50.000000000000007E+0	83.937663237219309E-3
51.000000000000007E+0	67.974946038887193E-3
52.000000000000007E+0	143.758068530658510E-3
53.000000000000007E+0	36.993719471073647E-3
54.000000000000007E+0	16.887593799152043E-3
55.000000000000007E+0	55.017734410071670E-3
56.000000000000007E+0	262.219673931786300E-3
57.000000000000007E+0	364.078167368697080E-3
58.000000000000007E+0	49.265218082952977E-3
59.000000000000007E+0	272.103346635665650E-3
60.000000000000007E+0	445.477772526814470E-3
61.000000000000007E+0	654.672456513954450E-3
62.000000000000007E+0	475.812722253601380E-3
63.000000000000007E+0	199.544168676564050E-3
64.000000000000014E+0	80.409905117776889E-3
65.000000000000014E+0	61.061481276039241E-3
66.000000000000014E+0	303.213257680644280E-3
67.000000000000014E+0	260.992401996158200E-3
68.000000000000014E+0	76.897308357059990E-3
69.000000000000014E+0	43.497341247821390E-3
70.000000000000014E+0	75.797294496817630E-3
71.000000000000014E+0	65.177624694228692E-3
72.000000000000014E+0	17.079058158470252E-3
73.000000000000014E+0	67.204394426586420E-3
74.000000000000014E+0	68.698887343650317E-3
75.000000000000014E+0	366.151853077717190E-3
76.000000000000014E+0	157.260749381590760E-3
77.000000000000014E+0	147.709616665182290E-3
78.000000000000014E+0	163.401067071563540E-3
79.000000000000014E+0	314.794210407262350E-3
80.000000000000014E+0	211.371971195659450E-3
81.000000000000014E+0	82.320487342390877E-3
82.000000000000014E+0	91.290375788169925E-3
83.000000000000014E+0	52.303424672637398E-3
84.000000000000014E+0	69.327810487667785E-3
85.000000000000014E+0	301.346599673429250E-3
86.000000000000014E+0	164.384806510768310E-3
87.000000000000014E+0	12.094984423652871E-3
88.000000000000014E+0	39.958373175313394E-3
89.000000000000014E+0	316.190973329768030E-3
90.000000000000014E+0	152.460808393297540E-3
91.000000000000014E+0	93.766589231922132E-3
92.000000000000014E+0	14.981196357712208E-3
93.000000000000014E+0	572.387123676269650E-3
94.000000000000014E+0	764.188335100534740E-3
95.000000000000014E+0	627.921383112327920E-3
96.000000000000014E+0	330.083458083471280E-3
97.000000000000014E+0	83.444126806440325E-3
98.000000000000014E+0	105.701801101133270E-3
99.000000000000014E+0	263.502784868995810E-3
100.000000000000010E+0	255.593897225139370E-3
101.000000000000010E+0	269.545556336202530E-3
102.000000000000010E+0	87.156538153468688E-3
103.000000000000010E+0	81.108356875536455E-3
104.000000000000010E+0	146.837398463002870E-3
105.000000000000010E+0	52.661005246500400E-3
106.000000000000010E+0	169.918189221388020E-3
107.000000000000010E+0	481.768869309850800E-3
108.000000000000010E+0	493.585932429121960E-3
109.000000000000010E+0	325.472788483157580E-3
110.000000000000010E+0	100.815576376314070E-3
111.000000000000010E+0	317.927847098306740E-3
112.000000000000010E+0	485.143990856934880E-3
113.000000000000010E+0	269.998988591673260E-3
114.000000000000010E+0	52.944999168306466E-3
115.000000000000010E+0	432.295816812143300E-3
116.000000000000010E+0	17.292378309895676E-3
117.000000000000010E+0	156.159697284074360E-3
118.000000000000010E+0	80.702596881161673E-3
119.000000000000010E+0	88.653426584833023E-3
120.000000000000010E+0	255.072500203197440E-3
121.000000000000010E+0	418.103962139925510E-3
122.000000000000010E+0	15.642525099221497E-6
123.000000000000010E+0	32.094829412568783E-3
124.000000000000010E+0	59.135161961257357E-3
125.000000000000010E+0	57.542060283306509E-3
126.000000000000010E+0	84.057760768347589E-3
127.000000000000010E+0	163.483851728245870E-3
128.000000000000030E+0	138.473084678788490E-3
129.000000000000030E+0	212.686130799708550E-3
130.000000000000030E+0	280.545889706502740E-3
131.000000000000030E+0	288.862968048981650E-3
