Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
20.000000000000004E+0	4.672616761122755E-9	11.034083558498357E-9
21.000000000000004E+0	5.115760585148946E-9	30.282520946391037E-9
22.000000000000004E+0	10.439371188647715E-9	5.742680066505417E-9
23.000000000000004E+0	2.827774276981557E-9	23.326067962492493E-9
24.000000000000004E+0	4.842139872359123E-9	30.210444560129269E-9
25.000000000000004E+0	3.870975206461772E-9	6.632832550419410E-9
26.000000000000004E+0	1.456488195031896E-9	45.031287525813089E-9
27.000000000000004E+0	1.522668181808806E-9	13.383690728128422E-9
28.000000000000004E+0	3.756943482833979E-9	10.442361062440454E-9
29.000000000000004E+0	14.722032044632708E-9	63.526856991759264E-9
30.000000000000004E+0	7.841883034379989E-9	1.975427601459827E-9
31.000000000000004E+0	1.262427258645790E-9	2.648387680066443E-9
32.000000000000007E+0	992.531229339034070E-12	46.612198369342957E-9
33.000000000000007E+0	1.901116893158305E-9	2.311455943491020E-9
34.000000000000007E+0	908.301587474253430E-12	6.954910112176906E-9
35.000000000000007E+0	864.974165995933840E-12	43.320219884031022E-9
36.000000000000007E+0	905.877034883927120E-12	4.769772438536002E-9
37.000000000000007E+0	1.772843490477028E-9	45.812051160783741E-9
38.000000000000007E+0	1.097610841715962E-9	15.741282657112483E-9
39.000000000000007E+0	434.761433826580340E-12	3.814877265490076E-9
40.000000000000007E+0	1.066380938976900E-9	47.016985646933750E-9
41.000000000000007E+0	1.985951427480126E-9	5.850168810787242E-9
42.000000000000007E+0	3.069763138950318E-9	8.057730431171349E-9
43.000000000000007E+0	2.002696000785878E-9	15.399576964719013E-9
44.000000000000007E+0	1.398845183152762E-9	32.880901819533910E-9
45.000000000000007E+0	1.057565159760247E-9	2.106633282905819E-9
46.000000000000007E+0	1.045274769836607E-9	22.168923189983051E-9
47.000000000000007E+0	447.559763260273780E-12	40.466797883838798E-9
48.000000000000007E+0	2.089547777066247E-9	18.321709371450705E-9
49.000000000000007E+0	9.728216082121732E-9	21.095103660204079E-9
50.000000000000007E+0	10.580111538175932E-9	26.057041993108361E-9
51.000000000000007E+0	7.912975183868957E-9	20.677794118946893E-9
52.000000000000007E+0	5.121772047106444E-9	24.034298444469618E-9
53.000000000000007E+0	4.219055936115918E-9	3.803827361271458E-9
54.000000000000007E+0	2.099189124449299E-9	13.708468440758929E-9
55.000000000000007E+0	3.650066377403921E-9	47.524517721556165E-9
56.000000000000007E+0	13.850858010579169E-9	3.081494868586219E-9
57.000000000000007E+0	14.209401853248735E-9	17.956057845265421E-9
58.000000000000007E+0	6.944602812121521E-9	45.263749179783269E-9
59.000000000000007E+0	4.836398172078382E-9	603.064872269609440E-12
60.000000000000007E+0	1.634096275764732E-9	36.143388494721636E-9
61.000000000000007E+0	770.489416483782590E-12	14.204676672351776E-9
62.000000000000007E+0	406.301145521827630E-12	22.259858062972459E-9
63.000000000000007E+0	521.536061055720550E-12	24.102820270139599E-9
64.000000000000014E+0	780.786334986281370E-12	3.061051431315066E-9
65.000000000000014E+0	809.410837987746900E-12	57.124955078161903E-9
66.000000000000014E+0	340.644638020570610E-12	13.045193616961280E-9
67.000000000000014E+0	248.826684729064410E-12	20.876031569621343E-9
68.000000000000014E+0	217.140078599818510E-12	17.062780316362089E-9
69.000000000000014E+0	381.494628000077700E-12	9.880826948733244E-9
70.000000000000014E+0	716.705793588968720E-12	4.605489408925243E-9
71.000000000000014E+0	969.085604571484640E-12	82.963257087546009E-9
72.000000000000014E+0	743.022175094029090E-12	1.316263415164818E-9
73.000000000000014E+0	581.771209343223720E-12	14.473547620535386E-9
74.000000000000014E+0	626.597950211975120E-12	60.705672931936316E-9
75.000000000000014E+0	289.918441373277130E-12	17.508017206923024E-9
76.000000000000014E+0	165.510033550088930E-12	37.729310444480744E-9
77.000000000000014E+0	426.663063673149110E-12	16.797752495558773E-9
78.000000000000014E+0	464.104365633512490E-12	27.765067943474245E-9
79.000000000000014E+0	377.337765989305670E-12	29.273831396430977E-9
80.000000000000014E+0	298.397945563943280E-12	104.080671841924480E-9
81.000000000000014E+0	262.973877716476660E-12	32.620484297412173E-9
82.000000000000014E+0	348.308341565295340E-12	130.485191895676880E-9
83.000000000000014E+0	325.192658957825220E-12	206.067848123700550E-9
84.000000000000014E+0	379.011004510029330E-12	53.752894908647657E-9
85.000000000000014E+0	559.675564910714610E-12	13.970982818893724E-9
86.000000000000014E+0	608.833702047978320E-12	200.819752992391180E-9
87.000000000000014E+0	1.021913375026758E-9	28.352883847408515E-9
88.000000000000014E+0	609.251628516848160E-12	107.844959767869840E-9
89.000000000000014E+0	436.794112650279910E-12	207.643905777073110E-9
90.000000000000014E+0	443.853335063061710E-12	366.109553959046710E-9
91.000000000000014E+0	424.328875026424830E-12	492.567898244914670E-9
92.000000000000014E+0	284.281682325307900E-12	330.010370951093530E-9
93.000000000000014E+0	634.274325969757650E-12	347.012300693111030E-9
94.000000000000014E+0	943.183992396068680E-12	190.007303916468560E-9
95.000000000000014E+0	409.219490616330420E-12	87.835797282329049E-9
96.000000000000014E+0	246.446758883337140E-12	62.694201662365504E-9
97.000000000000014E+0	248.179882613307050E-12	208.155277740931670E-9
98.000000000000014E+0	307.406370271937270E-12	824.859845145676180E-9
99.000000000000014E+0	368.863710225410690E-12	191.081544395513010E-9
100.000000000000010E+0	304.630415562657820E-12	701.660822658669620E-9
101.000000000000010E+0	311.198244781182040E-12	638.685688652096670E-9
102.000000000000010E+0	453.466092753076940E-12	166.158264918813540E-9
103.000000000000010E+0	362.892311004902360E-12	924.558429020505590E-9
104.000000000000010E+0	481.322369772266790E-12	578.877276213040990E-9
105.000000000000010E+0	676.160812411914900E-12	631.683950294180720E-9
106.000000000000010E+0	366.367145497963240E-12	1.109653595344943E-6
107.000000000000010E+0	295.115959478711350E-12	224.524602548803730E-9
108.000000000000010E+0	259.681186619826620E-12	461.405907396290060E-9
