Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
20.000000000000004E+0	214.981349738364910E-3	8.825994868556617E+0
21.000000000000004E+0	124.657115590548110E-3	9.192305062671064E+0
22.000000000000004E+0	372.728576105927520E-3	8.492810266655734E+0
23.000000000000004E+0	111.843819514844040E-3	5.503560001064695E+0
24.000000000000004E+0	79.618040688652039E-3	7.911485349910059E+0
25.000000000000004E+0	290.061805538719240E-3	7.433618262539001E+0
26.000000000000004E+0	119.292222350333790E-3	8.674933830835679E+0
27.000000000000004E+0	148.973714569070580E-3	9.795251705390044E+0
28.000000000000004E+0	196.627949551380850E-3	10.943359444252357E+0
29.000000000000004E+0	181.544971390725920E-3	13.925538317701200E+0
30.000000000000004E+0	456.967395854616380E-3	15.231758225367003E+0
31.000000000000004E+0	451.804688048876630E-3	16.323056524422736E+0
32.000000000000007E+0	40.274320217192607E-3	18.693595430774987E+0
33.000000000000007E+0	283.237508116782330E-3	15.776079496727068E+0
34.000000000000007E+0	186.502684974512330E-3	13.781187032452729E+0
35.000000000000007E+0	19.651071139997776E-3	16.846269921754832E+0
36.000000000000007E+0	262.739925445271190E-3	14.598918923589142E+0
37.000000000000007E+0	123.641206951025840E-3	14.535113070386860E+0
38.000000000000007E+0	85.173407904642687E-3	15.856638831900888E+0
39.000000000000007E+0	233.722390521798660E-3	17.863989141195745E+0
40.000000000000007E+0	62.019009311422991E-3	16.482337816548121E+0
41.000000000000007E+0	129.228878879838690E-3	17.174216325804082E+0
42.000000000000007E+0	284.846733284288610E-3	14.409609234811889E+0
43.000000000000007E+0	196.061683052118800E-3	12.169476798109871E+0
44.000000000000007E+0	119.330013521941140E-3	15.244754943544407E+0
45.000000000000007E+0	500.940713040666780E-3	14.809083717439421E+0
46.000000000000007E+0	25.976074871923563E-3	17.561089323195965E+0
47.000000000000007E+0	67.765600743696197E-3	16.897589181189847E+0
48.000000000000007E+0	158.906587671852310E-3	15.749548506577149E+0
49.000000000000007E+0	86.833452478501993E-3	16.848244446156372E+0
50.000000000000007E+0	184.612457681503720E-3	18.184668397006103E+0
51.000000000000007E+0	161.284352184089290E-3	15.623019184847280E+0
52.000000000000007E+0	175.029201909065930E-3	17.053973514824108E+0
53.000000000000007E+0	202.563523187141520E-3	14.423865956489728E+0
54.000000000000007E+0	50.852838890711190E-3	15.525739469708027E+0
55.000000000000007E+0	65.004417837898815E-3	12.419586606715372E+0
56.000000000000007E+0	1.085651034859742E+0	15.022861357188173E+0
57.000000000000007E+0	536.759473990952360E-3	12.955822135759110E+0
58.000000000000007E+0	86.939802436857394E-3	10.403448713941705E+0
59.000000000000007E+0	1.477222621937617E+0	13.263919041831528E+0
60.000000000000007E+0	141.917975398432590E-3	13.368950133893611E+0
61.000000000000007E+0	188.442864475195450E-3	15.928628181391751E+0
62.000000000000007E+0	93.192476532119789E-3	13.468339286799896E+0
63.000000000000007E+0	65.709439178726195E-3	11.090483054669857E+0
64.000000000000014E+0	143.214029219522980E-3	13.955817620978616E+0
65.000000000000014E+0	29.414077992423293E-3	13.879212390548252E+0
66.000000000000014E+0	88.981476362277503E-3	11.372250633030683E+0
67.000000000000014E+0	55.774853255027394E-3	13.605611791017726E+0
68.000000000000014E+0	31.282443217611366E-3	16.128850989727653E+0
69.000000000000014E+0	40.980657564436834E-3	16.711483054282404E+0
70.000000000000014E+0	108.607399671861550E-3	18.818375798859691E+0
71.000000000000014E+0	27.592270490353888E-3	21.800056912516936E+0
72.000000000000014E+0	98.188684399284271E-3	24.412532282628003E+0
73.000000000000014E+0	51.974156691043029E-3	22.674626384667395E+0
74.000000000000014E+0	26.628990190718523E-3	23.678824318216186E+0
75.000000000000014E+0	77.866392831597075E-3	25.647540222971017E+0
76.000000000000014E+0	26.265332305364406E-3	23.343465297994260E+0
77.000000000000014E+0	61.252147593553671E-3	24.771484392261129E+0
78.000000000000014E+0	52.261984970028125E-3	27.890584684899398E+0
79.000000000000014E+0	63.699895744924129E-3	26.966094735180715E+0
80.000000000000014E+0	24.617081850818352E-3	29.441211737437005E+0
81.000000000000014E+0	25.761139497971857E-3	28.219852717429532E+0
82.000000000000014E+0	15.610392425735291E-3	29.110281789819634E+0
83.000000000000014E+0	9.085112544065785E-3	30.381767597775902E+0
84.000000000000014E+0	22.109489902518178E-3	31.522233302725564E+0
85.000000000000014E+0	109.872205297851590E-3	33.648943456793866E+0
86.000000000000014E+0	22.324254533016192E-3	32.043797020448487E+0
87.000000000000014E+0	20.879066571165308E-3	34.758680225435476E+0
88.000000000000014E+0	15.024579367861625E-3	31.750840784752615E+0
89.000000000000014E+0	25.790129751098987E-3	29.527424638746211E+0
90.000000000000014E+0	13.595441693544912E-3	30.914435791730803E+0
91.000000000000014E+0	8.987570294038232E-3	32.560670242794508E+0
92.000000000000014E+0	3.592393421661782E-3	35.266211124534863E+0
93.000000000000014E+0	32.345290730596776E-3	37.385282287086255E+0
94.000000000000014E+0	61.590434078699796E-3	39.917586525065793E+0
95.000000000000014E+0	54.087264555006072E-3	39.811685606667275E+0
96.000000000000014E+0	36.021330283438104E-3	38.845182921578072E+0
97.000000000000014E+0	9.974415631022641E-3	38.442870724560514E+0
98.000000000000014E+0	6.276355637937192E-3	36.542044717130160E+0
99.000000000000014E+0	22.553616866680518E-3	35.879457580389378E+0
100.000000000000010E+0	10.534119902632281E-3	33.730798730048171E+0
101.000000000000010E+0	11.460170139302643E-3	34.871842154946229E+0
102.000000000000010E+0	15.422735876284692E-3	36.934578006688497E+0
103.000000000000010E+0	5.642278303007179E-3	34.867643200332452E+0
104.000000000000010E+0	11.049512384471320E-3	34.278348005875195E+0
105.000000000000010E+0	7.507920232919060E-3	36.748476917225560E+0
106.000000000000010E+0	7.490045978737789E-3	37.394209495262409E+0
107.000000000000010E+0	25.164235839196372E-3	37.745056460064909E+0
108.000000000000010E+0	16.667100532055414E-3	37.068669836840996E+0
109.000000000000010E+0	5.017395312085384E-3	37.952201571379433E+0
110.000000000000010E+0	3.458484229689314E-3	39.101720840398968E+0
111.000000000000010E+0	8.167189052872078E-3	40.934991459156045E+0
112.000000000000010E+0	147.193794762305980E-3	41.138530101192515E+0
113.000000000000010E+0	35.685962816944604E-3	38.027981663137197E+0
114.000000000000010E+0	2.548141180556794E-3	39.896187317105351E+0
115.000000000000010E+0	8.690661598053295E-3	40.559551309821316E+0
116.000000000000010E+0	1.353822052700511E-3	38.109867255077880E+0
117.000000000000010E+0	4.915544763878224E-3	36.698415695002801E+0
118.000000000000010E+0	5.530497028204224E-3	34.272300717066372E+0
119.000000000000010E+0	4.001620109490257E-3	33.054276253008865E+0
120.000000000000010E+0	16.941348795038530E-3	32.255034937894180E+0
121.000000000000010E+0	5.252743741004601E-3	33.980369146686371E+0
122.000000000000010E+0	22.660503210993823E-6	36.185522701004515E+0
123.000000000000010E+0	2.794524780279447E-3	34.585922145765785E+0
124.000000000000010E+0	2.591916433710162E-3	34.102099132949419E+0
125.000000000000010E+0	2.288371237922927E-3	34.367497879438524E+0
126.000000000000010E+0	1.951217803317832E-3	34.695182273269516E+0
127.000000000000010E+0	4.475783521735366E-3	34.999698810596413E+0
128.000000000000030E+0	5.633991127842910E-3	37.253287217438881E+0
129.000000000000030E+0	3.315657277336807E-3	36.261658436391265E+0
130.000000000000030E+0	6.722304082004423E-3	36.381902763008334E+0
131.000000000000030E+0	7.090259600412157E-3	34.711969454280421E+0
132.000000000000030E+0	1.668405878454282E-3	34.077179223752658E+0
133.000000000000030E+0	2.046883507426954E-3	32.869262224988304E+0
134.000000000000030E+0	4.657379660161686E-3	33.502681276338123E+0
135.000000000000030E+0	3.682778556145575E-3	32.350650423054908E+0
136.000000000000030E+0	1.858799848682440E-3	31.982015863666092E+0
137.000000000000030E+0	3.396865788776232E-3	32.284654151715308E+0
138.000000000000030E+0	2.465536678918614E-3	32.202394507135175E+0
139.000000000000030E+0	479.349801185882080E-6	33.187341046320981E+0
140.000000000000030E+0	994.089941011635450E-6	33.119647034241055E+0
141.000000000000030E+0	3.874741060426096E-3	33.193250981570983E+0
142.000000000000030E+0	1.701492842773874E-3	32.708143844566500E+0
143.000000000000030E+0	1.161591328128372E-3	32.593435896435487E+0
144.000000000000030E+0	1.238006698939939E-3	33.580226630060118E+0
145.000000000000030E+0	2.900463058223022E-3	34.594437418875351E+0
146.000000000000030E+0	6.496019744238964E-3	36.127443906644544E+0
147.000000000000030E+0	3.645058249381193E-3	34.790821820144373E+0
148.000000000000030E+0	2.028422108829995E-3	33.985821534956642E+0
149.000000000000030E+0	982.702692059831110E-6	33.330323285887808E+0
150.000000000000030E+0	626.310203344147220E-6	33.841220150403814E+0
151.000000000000030E+0	928.143455743780690E-6	34.631465857172259E+0
152.000000000000030E+0	228.666400726432490E-6	34.195130765533321E+0
153.000000000000030E+0	1.007457866723247E-3	34.064728200968268E+0
154.000000000000030E+0	3.342576125056440E-3	35.725997358010247E+0
155.000000000000030E+0	2.396224508821255E-3	34.352830344224017E+0
156.000000000000030E+0	1.374712376804143E-3	34.653240099201753E+0
157.000000000000030E+0	43.628226407427436E-6	36.670543285372112E+0
158.000000000000030E+0	2.114610568396190E-3	37.916971924498462E+0
159.000000000000030E+0	716.212386170164020E-6	36.629844628813629E+0
160.000000000000030E+0	1.419923530602129E-3	39.131159028683960E+0
161.000000000000030E+0	2.321726421909653E-3	39.038616133829223E+0
162.000000000000030E+0	2.784513575492509E-3	39.075651468502571E+0
163.000000000000030E+0	8.069279280745465E-3	39.102219903344597E+0
164.000000000000030E+0	3.497741081951445E-3	38.521914717104877E+0
165.000000000000030E+0	1.521686151752319E-3	38.447626673502249E+0
166.000000000000030E+0	405.244418834381590E-6	37.742081708373462E+0
167.000000000000030E+0	587.167165412887150E-6	39.568709752223796E+0
168.000000000000030E+0	910.580310678927490E-6	39.483764873359185E+0
169.000000000000030E+0	1.426741310976861E-3	39.282045499681601E+0
170.000000000000030E+0	1.651911025217229E-3	39.664678746726778E+0
171.000000000000030E+0	2.475078873721901E-3	40.018493540763707E+0
172.000000000000030E+0	1.276813975612086E-3	40.666744213660920E+0
173.000000000000030E+0	858.294659395692350E-6	40.570448231668756E+0
