Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
20.000000000000004E+0	455.030005066203890E-3	10.750976410643091E+0
21.000000000000004E+0	131.811681011319260E-3	12.839239526520430E+0
22.000000000000004E+0	81.383639654955806E-3	13.133524156873163E+0
23.000000000000004E+0	118.502346017299680E-3	10.436950872989462E+0
24.000000000000004E+0	95.772011589031689E-3	11.820211092217489E+0
25.000000000000004E+0	102.830030615101690E-3	11.708565985708512E+0
26.000000000000004E+0	121.475869173662180E-3	10.205381510088573E+0
27.000000000000004E+0	327.668441565385880E-3	12.381131190637465E+0
28.000000000000004E+0	184.010756188477480E-3	10.771267926095790E+0
29.000000000000004E+0	222.310080396526080E-3	12.530876802875538E+0
30.000000000000004E+0	613.553386385720430E-3	13.611365385852928E+0
31.000000000000004E+0	323.240263530178870E-3	16.358002459226753E+0
32.000000000000007E+0	103.423119705781930E-3	13.499370909342867E+0
33.000000000000007E+0	564.209079619778060E-3	16.119162775706076E+0
34.000000000000007E+0	94.370568685379255E-3	12.979074807623853E+0
35.000000000000007E+0	125.249325700848510E-3	14.196237440211776E+0
36.000000000000007E+0	280.514932386028870E-3	15.800465939241811E+0
37.000000000000007E+0	81.604961257626188E-3	15.787641520695470E+0
38.000000000000007E+0	71.727590135092084E-3	17.296754047787001E+0
39.000000000000007E+0	258.418035045397790E-3	19.795916011138519E+0
40.000000000000007E+0	30.376698911329710E-3	20.833045297788253E+0
41.000000000000007E+0	271.434076236923890E-3	18.010809741531762E+0
42.000000000000007E+0	311.241599938847760E-3	17.150947940943702E+0
43.000000000000007E+0	211.078396125059630E-3	15.712855047352990E+0
44.000000000000007E+0	90.663221578327791E-3	18.051176698586211E+0
45.000000000000007E+0	194.139068581359400E-3	17.330251064034119E+0
46.000000000000007E+0	52.402427950198692E-3	19.004271443114195E+0
47.000000000000007E+0	42.005878212979041E-3	21.556674128775683E+0
48.000000000000007E+0	33.589031364068281E-3	22.032527805115517E+0
49.000000000000007E+0	24.225907515339734E-3	22.569240887445282E+0
50.000000000000007E+0	287.426417393128020E-3	24.198385130173747E+0
51.000000000000007E+0	227.789752616673110E-3	22.394020473185002E+0
52.000000000000007E+0	128.135999517533900E-3	23.658962328210059E+0
53.000000000000007E+0	138.332259356864550E-3	22.879964719919084E+0
54.000000000000007E+0	126.385185017831770E-3	20.226372410162391E+0
55.000000000000007E+0	148.189664225805730E-3	19.373539280569485E+0
