Freq (Hz)	Microphone/Source_Real	Microphone/Source_Imag
20.000000000000004E+0	-110.192882926505860E-3	-441.485938692156910E-3
21.000000000000004E+0	126.934873173461890E-3	35.522629737491672E-3
22.000000000000004E+0	68.641696346146058E-3	43.722011918611144E-3
23.000000000000004E+0	-62.808539485470702E-3	-100.488274834957190E-3
24.000000000000004E+0	70.325511183769659E-3	-65.012311761320316E-3
25.000000000000004E+0	67.261086049330648E-3	-77.781498441257160E-3
26.000000000000004E+0	-86.307262100632623E-3	-85.483584975066376E-3
27.000000000000004E+0	322.062749271479540E-3	-60.350585163565791E-3
28.000000000000004E+0	-40.929540792669417E-3	-179.401034232126190E-3
29.000000000000004E+0	222.170060793453970E-3	-7.888975405137139E-3
30.000000000000004E+0	307.946401174935550E-3	530.675769136664810E-3
31.000000000000004E+0	-257.318670015687760E-3	-195.630698072713220E-3
32.000000000000007E+0	61.580835037368227E-3	83.091169481341029E-3
33.000000000000007E+0	-517.177755051781210E-3	-225.519522891027970E-3
34.000000000000007E+0	86.447173665841315E-3	37.850896940360028E-3
35.000000000000007E+0	-7.394238275935636E-3	125.030871503144850E-3
36.000000000000007E+0	-279.315640661565110E-3	-25.911390803231241E-3
37.000000000000007E+0	-81.346058667871146E-3	-6.495262970960885E-3
38.000000000000007E+0	1.290629098928623E-3	-71.715977739390535E-3
39.000000000000007E+0	151.081517202907610E-3	209.652703289015500E-3
40.000000000000007E+0	-12.183417482870686E-3	27.826393499475646E-3
41.000000000000007E+0	181.425437080703720E-3	-201.894201310161030E-3
42.000000000000007E+0	-39.672084744015887E-3	-308.702865591748860E-3
43.000000000000007E+0	-211.075870629250210E-3	-1.032544832739826E-3
44.000000000000007E+0	63.271003549488794E-3	-64.935351364272587E-3
45.000000000000007E+0	9.992089065150637E-3	-193.881758053076950E-3
46.000000000000007E+0	51.776502360080523E-3	8.075163059179736E-3
47.000000000000007E+0	-38.103170490858575E-3	17.681691180093367E-3
48.000000000000007E+0	-33.560279214113399E-3	-1.389491650608595E-3
49.000000000000007E+0	-20.289357089581839E-3	-13.237695563549926E-3
50.000000000000007E+0	170.827978083773510E-3	-231.153082002508560E-3
51.000000000000007E+0	-209.552637915850630E-3	-89.307689140821114E-3
52.000000000000007E+0	12.411932512355540E-3	-127.533439942887850E-3
53.000000000000007E+0	-87.195184098185274E-3	-107.390939323848060E-3
54.000000000000007E+0	24.362716895917701E-3	124.014809669817000E-3
55.000000000000007E+0	128.307508662945710E-3	74.144182536900097E-3
56.000000000000007E+0	-1.055378468379433E+0	142.080900909976270E-3
57.000000000000007E+0	-179.849366772624340E-3	306.634130758113470E-3
58.000000000000007E+0	111.962266776461260E-3	-123.102617488318650E-3
59.000000000000007E+0	410.762803724398660E-3	-131.283922508956070E-3
60.000000000000007E+0	1.660537826624752E-3	-1.002600559266508E-3
61.000000000000007E+0	-123.200625034302180E-3	-45.063712383529166E-3
62.000000000000007E+0	46.382219260542985E-3	50.339181778046811E-3
63.000000000000007E+0	16.167231876418053E-3	35.304051441312698E-3
64.000000000000014E+0	-221.036819357364490E-3	47.099086573494355E-3
65.000000000000014E+0	-939.449329587539090E-6	10.923397317686609E-3
66.000000000000014E+0	-4.364715832247554E-3	16.361375475228326E-3
67.000000000000014E+0	35.226821789805192E-3	-71.844482532604170E-3
68.000000000000014E+0	-97.467999323996080E-3	10.077438091365959E-3
69.000000000000014E+0	12.005699478313312E-3	16.272180094530051E-3
70.000000000000014E+0	-118.271259335224600E-3	35.519880918351288E-3
71.000000000000014E+0	55.070831160328494E-3	11.553238834917285E-3
72.000000000000014E+0	-174.297792122812290E-3	197.048164313426030E-3
73.000000000000014E+0	-108.475569036230970E-3	-110.836403583134900E-3
