Freq (Hz)	GxyMicrophone/Source_Real	GxyMicrophone/Source_Imag
20.000000000000004E+0	-821.455227113133070E-12	-3.291146600434262E-9
21.000000000000004E+0	3.577270241562542E-9	1.001096413341994E-9
22.000000000000004E+0	439.653258177927510E-12	280.041520203351440E-12
23.000000000000004E+0	-1.181315407621645E-9	-1.890003307198598E-9
24.000000000000004E+0	2.120808509406916E-9	-1.960578198135362E-9
25.000000000000004E+0	350.669073068610050E-12	-405.517775021930700E-12
26.000000000000004E+0	-3.858242192015833E-9	-3.821420889136909E-9
27.000000000000004E+0	3.625904254521718E-9	-679.449715940267410E-12
28.000000000000004E+0	-271.033458219362880E-12	-1.187985053689439E-9
29.000000000000004E+0	12.169795361675601E-9	-432.133906571085910E-12
30.000000000000004E+0	532.707069889396530E-12	917.999797885294220E-12
31.000000000000004E+0	-438.799549029221440E-12	-333.604483830671110E-12
32.000000000000007E+0	2.600245922430113E-9	3.508518104743128E-9
33.000000000000007E+0	-709.064121747251310E-12	-309.193117595662120E-12
34.000000000000007E+0	746.688677194304320E-12	326.937654159341520E-12
35.000000000000007E+0	-243.494234019179580E-12	4.117299869073589E-9
36.000000000000007E+0	-1.936161130864839E-9	-179.612669025764270E-12
37.000000000000007E+0	-3.219720311690691E-9	-257.085966546465500E-12
38.000000000000007E+0	20.594874084135092E-12	-1.144388835328028E-9
39.000000000000007E+0	388.905434959845170E-12	539.676045572255850E-12
40.000000000000007E+0	-483.789564310920770E-12	1.104954238528120E-9
41.000000000000007E+0	879.219451949922390E-12	-978.414669321289260E-12
42.000000000000007E+0	-163.245734138526500E-12	-1.270274205385521E-9
43.000000000000007E+0	-2.916341107797911E-9	-14.266211160880146E-12
44.000000000000007E+0	1.618327116529666E-9	-1.660897315339533E-9
45.000000000000007E+0	19.696628395158091E-12	-382.184037399172230E-12
46.000000000000007E+0	1.029388581328443E-9	160.545426334046230E-12
47.000000000000007E+0	-1.186559697610279E-9	550.620378031884770E-12
48.000000000000007E+0	-514.358921569884180E-12	-21.295932086191797E-12
49.000000000000007E+0	-314.984952381727770E-12	-205.510450051155600E-12
50.000000000000007E+0	3.565160576025601E-9	-4.824138669943289E-9
51.000000000000007E+0	-3.953480843997550E-9	-1.684904765463788E-9
52.000000000000007E+0	260.554420171656560E-12	-2.677214161754228E-9
53.000000000000007E+0	-99.427439161447911E-12	-122.456374128291780E-12
54.000000000000007E+0	214.774965808361670E-12	1.093280220771625E-9
55.000000000000007E+0	5.240385098323421E-9	3.028225497811038E-9
56.000000000000007E+0	-1.610695878579190E-9	216.840809602570670E-12
57.000000000000007E+0	-2.592345437026030E-9	4.419818673658151E-9
58.000000000000007E+0	4.005488471634734E-9	-4.404038336969310E-9
59.000000000000007E+0	577.389521695639850E-12	-184.539497092908440E-12
60.000000000000007E+0	48.201967745780822E-12	-29.103413993222697E-12
61.000000000000007E+0	-1.245454947207436E-9	-455.556321341493260E-12
62.000000000000007E+0	707.132237529901960E-12	767.459143043126590E-12
63.000000000000007E+0	301.721013772426070E-12	658.861966759070820E-12
64.000000000000014E+0	-493.048540600336650E-12	105.060034641222360E-12
65.000000000000014E+0	-43.839565476560582E-12	509.742225422055700E-12
66.000000000000014E+0	-40.584281279211281E-12	152.132393017560480E-12
67.000000000000014E+0	507.639098735307680E-12	-1.035320999991848E-9
68.000000000000014E+0	-1.331150239824087E-9	137.630650317776760E-12
69.000000000000014E+0	80.221940631318038E-12	108.730513190298540E-12
70.000000000000014E+0	-212.222447969473350E-12	63.735823246042214E-12
71.000000000000014E+0	3.878354944427529E-9	813.635095303078210E-12
72.000000000000014E+0	-211.643545297318210E-12	239.268504676392370E-12
73.000000000000014E+0	-1.177334973470630E-9	-1.202958190784377E-9
74.000000000000014E+0	3.984488125425177E-9	3.558065992343392E-9
75.000000000000014E+0	-2.159733509216241E-9	-820.549546602325220E-12
76.000000000000014E+0	-1.557591412734031E-9	1.230658187231034E-9
77.000000000000014E+0	-441.524624336998210E-12	-1.283814752788737E-9
78.000000000000014E+0	-244.311399598423910E-12	2.030942807173836E-9
79.000000000000014E+0	179.976037719708230E-12	1.939932845330381E-9
80.000000000000014E+0	240.174107966279340E-12	2.413810846989196E-9
