Freq (Hz)	Coh_Microphone/Source
20.000000000000004E+0	547.744679833672370E-3
21.000000000000004E+0	70.121209278967075E-3
22.000000000000004E+0	4.107795300434556E-3
23.000000000000004E+0	73.538787244962059E-3
24.000000000000004E+0	58.351597415239549E-3
25.000000000000004E+0	9.913806622422472E-3
26.000000000000004E+0	137.204426401465270E-3
27.000000000000004E+0	231.816282458671280E-3
28.000000000000004E+0	100.317556127916850E-3
29.000000000000004E+0	247.286959219372100E-3
30.000000000000004E+0	97.161980122347391E-3
31.000000000000004E+0	62.076066186243964E-3
32.000000000000007E+0	243.382011503457780E-3
33.000000000000007E+0	462.128936890767060E-3
34.000000000000007E+0	118.747152355594440E-3
35.000000000000007E+0	448.678191164409050E-3
36.000000000000007E+0	664.059944108767340E-3
37.000000000000007E+0	310.603342765452040E-3
38.000000000000007E+0	130.043498888453180E-3
39.000000000000007E+0	296.687409960365410E-3
40.000000000000007E+0	49.070563095830202E-3
41.000000000000007E+0	315.259019785647080E-3
42.000000000000007E+0	309.819832304175870E-3
43.000000000000007E+0	403.026330786436850E-3
44.000000000000007E+0	223.724309962410970E-3
45.000000000000007E+0	126.792295066694120E-3
46.000000000000007E+0	98.760378523901265E-3
47.000000000000007E+0	82.589177992424309E-3
48.000000000000007E+0	6.765960221972161E-3
49.000000000000007E+0	1.283249291944205E-3
50.000000000000007E+0	239.396460963956530E-3
51.000000000000007E+0	299.958751045033280E-3
52.000000000000007E+0	141.334367061936140E-3
53.000000000000007E+0	9.308304875484345E-3
54.000000000000007E+0	53.833000946529243E-3
55.000000000000007E+0	246.032174153419240E-3
56.000000000000007E+0	552.895998665265510E-3
57.000000000000007E+0	270.944156330556960E-3
58.000000000000007E+0	266.645074944829860E-3
59.000000000000007E+0	65.473701763037934E-3
60.000000000000007E+0	39.182921854809046E-6
61.000000000000007E+0	187.454363021268690E-3
62.000000000000007E+0	117.835817205890310E-3
63.000000000000007E+0	70.086209980522951E-3
64.000000000000014E+0	485.886811312961080E-3
65.000000000000014E+0	12.803805369459147E-3
66.000000000000014E+0	5.265206593901459E-3
67.000000000000014E+0	183.445878170115590E-3
68.000000000000014E+0	245.253481893742580E-3
69.000000000000014E+0	6.188827763355529E-3
70.000000000000014E+0	84.559997328396405E-3
71.000000000000014E+0	286.552350932221030E-3
72.000000000000014E+0	179.666812339811690E-3
73.000000000000014E+0	527.646528020520810E-3
74.000000000000014E+0	586.866973439218450E-3
75.000000000000014E+0	401.501596664355860E-3
76.000000000000014E+0	277.305683963234520E-3
77.000000000000014E+0	182.246750705087330E-3
78.000000000000014E+0	367.146179054294250E-3
79.000000000000014E+0	349.062942977663050E-3
80.000000000000014E+0	151.145544657231370E-3
81.000000000000014E+0	296.029636814833850E-3
82.000000000000014E+0	437.054921358255740E-3
83.000000000000014E+0	316.941488470820210E-3
84.000000000000014E+0	422.395065153979450E-3
85.000000000000014E+0	200.928684955869240E-3
86.000000000000014E+0	37.922710663258627E-3
87.000000000000014E+0	370.656989446239650E-3
88.000000000000014E+0	266.821868731825900E-3
89.000000000000014E+0	23.199289821618556E-3
90.000000000000014E+0	155.246164643747990E-3
91.000000000000014E+0	214.343952375459780E-3
92.000000000000014E+0	54.875775799257398E-3
